Method,Top-K,Model,Metric,Mean,SD,Mean ± SD
ANOVA,5,Logistic Regression,Accuracy,0.8500352991116724,0.0002824251259339617,0.8500 ± 0.0003
ANOVA,5,Logistic Regression,Precision,0.540977792060029,0.004225850774643574,0.5410 ± 0.0042
ANOVA,5,Logistic Regression,Recall,0.128814467365543,0.0034139868791970875,0.1288 ± 0.0034
ANOVA,5,Logistic Regression,F1,0.20805814359787766,0.004349733961877309,0.2081 ± 0.0043
ANOVA,5,Logistic Regression,ROC-AUC,0.7877966980942226,0.0035877320757526773,0.7878 ± 0.0036
ANOVA,5,Random Forest,Accuracy,0.8505974557446955,0.000692729817716883,0.8506 ± 0.0007
ANOVA,5,Random Forest,Precision,0.5505955408766959,0.010242823352390653,0.5506 ± 0.0102
ANOVA,5,Random Forest,Recall,0.12627870464741814,0.0038803705426238132,0.1263 ± 0.0039
ANOVA,5,Random Forest,F1,0.20541329707584421,0.00533917679664299,0.2054 ± 0.0053
ANOVA,5,Random Forest,ROC-AUC,0.7852217804708215,0.0034328903880114833,0.7852 ± 0.0034
ANOVA,5,XGBoost,Accuracy,0.851891724918317,0.0011807550403669632,0.8519 ± 0.0012
ANOVA,5,XGBoost,Precision,0.5738145002236978,0.020025799250019426,0.5738 ± 0.0200
ANOVA,5,XGBoost,Recall,0.12360037407622533,0.004796754704195253,0.1236 ± 0.0048
ANOVA,5,XGBoost,F1,0.20333502111840968,0.006781689592002834,0.2033 ± 0.0068
ANOVA,5,XGBoost,ROC-AUC,0.7930778417719238,0.0033307102417281863,0.7931 ± 0.0033
ANOVA,10,Logistic Regression,Accuracy,0.8496736027035171,0.0004289913751760931,0.8497 ± 0.0004
ANOVA,10,Logistic Regression,Precision,0.5326072259077663,0.005777635712371097,0.5326 ± 0.0058
ANOVA,10,Logistic Regression,Recall,0.14015444850749023,0.0014840998130385345,0.1402 ± 0.0015
ANOVA,10,Logistic Regression,F1,0.22190284544527422,0.0016664159320848547,0.2219 ± 0.0017
ANOVA,10,Logistic Regression,ROC-AUC,0.8019634448667452,0.0032028450065668,0.8020 ± 0.0032
ANOVA,10,Random Forest,Accuracy,0.8328743157929829,0.0006978767894957803,0.8329 ± 0.0007
ANOVA,10,Random Forest,Precision,0.41207473999482547,0.004385567637360582,0.4121 ± 0.0044
ANOVA,10,Random Forest,Recall,0.21731234187709472,0.005457098601319141,0.2173 ± 0.0055
ANOVA,10,Random Forest,F1,0.2845379353031411,0.00538362487793368,0.2845 ± 0.0054
ANOVA,10,Random Forest,ROC-AUC,0.7498561464054369,0.002488376027227967,0.7499 ± 0.0025
ANOVA,10,XGBoost,Accuracy,0.8533210774642134,0.00112894614102238,0.8533 ± 0.0011
ANOVA,10,XGBoost,Precision,0.5765534237763597,0.012650757126338024,0.5766 ± 0.0127
ANOVA,10,XGBoost,Recall,0.15400194993726837,0.0063259700943073885,0.1540 ± 0.0063
ANOVA,10,XGBoost,F1,0.24305955801713713,0.00894898920313037,0.2431 ± 0.0089
ANOVA,10,XGBoost,ROC-AUC,0.8106652496197766,0.002771930927461082,0.8107 ± 0.0028
ANOVA,15,Logistic Regression,Accuracy,0.8500396576444743,0.0004538827890509559,0.8500 ± 0.0005
ANOVA,15,Logistic Regression,Precision,0.5357517009080447,0.005556966299483231,0.5358 ± 0.0056
ANOVA,15,Logistic Regression,Recall,0.14633736918392853,0.00284395938111299,0.1463 ± 0.0028
ANOVA,15,Logistic Regression,F1,0.22987122945404614,0.0036600613880957114,0.2299 ± 0.0037
ANOVA,15,Logistic Regression,ROC-AUC,0.8055971944848525,0.003259830959144291,0.8056 ± 0.0033
ANOVA,15,Random Forest,Accuracy,0.838726830143551,0.000585876562984665,0.8387 ± 0.0006
ANOVA,15,Random Forest,Precision,0.43918472330248404,0.003572886882564494,0.4392 ± 0.0036
ANOVA,15,Random Forest,Recall,0.1965412033840585,0.005038493225621742,0.1965 ± 0.0050
ANOVA,15,Random Forest,F1,0.27152495584873204,0.004897882884993525,0.2715 ± 0.0049
ANOVA,15,Random Forest,ROC-AUC,0.7635708710715166,0.0030036361961101703,0.7636 ± 0.0030
ANOVA,15,XGBoost,Accuracy,0.8536174090788071,0.0014008166143542643,0.8536 ± 0.0014
ANOVA,15,XGBoost,Precision,0.5773080385323575,0.015448968191253592,0.5773 ± 0.0154
ANOVA,15,XGBoost,Recall,0.15984299433081312,0.00755925820479118,0.1598 ± 0.0076
ANOVA,15,XGBoost,F1,0.2503428989703872,0.010649059750731184,0.2503 ± 0.0106
ANOVA,15,XGBoost,ROC-AUC,0.814680427535426,0.0028062099170794927,0.8147 ± 0.0028
ANOVA,20,Logistic Regression,Accuracy,0.8504013556668306,0.000701769544313769,0.8504 ± 0.0007
ANOVA,20,Logistic Regression,Precision,0.5393361557976546,0.00855382022329039,0.5393 ± 0.0086
ANOVA,20,Logistic Regression,Recall,0.15026931377551125,0.0023159304615569132,0.1503 ± 0.0023
ANOVA,20,Logistic Regression,F1,0.23503909466709022,0.0032098283075191994,0.2350 ± 0.0032
ANOVA,20,Logistic Regression,ROC-AUC,0.8069670116735381,0.003007328761791181,0.8070 ± 0.0030
ANOVA,20,Random Forest,Accuracy,0.8438646640907151,0.0010266128430294044,0.8439 ± 0.0010
ANOVA,20,Random Forest,Precision,0.4711476345288229,0.009043989528288382,0.4711 ± 0.0090
ANOVA,20,Random Forest,Recall,0.1703850801386063,0.00556903364922409,0.1704 ± 0.0056
ANOVA,20,Random Forest,F1,0.25024114109143974,0.0069298173650995665,0.2502 ± 0.0069
ANOVA,20,Random Forest,ROC-AUC,0.7783431567184753,0.002305948953376322,0.7783 ± 0.0023
ANOVA,20,XGBoost,Accuracy,0.8538004344128431,0.0010886236890142067,0.8538 ± 0.0011
ANOVA,20,XGBoost,Precision,0.5783024263861505,0.012179892819934472,0.5783 ± 0.0122
ANOVA,20,XGBoost,Recall,0.1627776174477984,0.005615162021777079,0.1628 ± 0.0056
ANOVA,20,XGBoost,F1,0.2540287002244147,0.0077907882735431516,0.2540 ± 0.0078
ANOVA,20,XGBoost,ROC-AUC,0.8159944789420134,0.0026210909920133564,0.8160 ± 0.0026
DODA,5,Logistic Regression,Accuracy,0.8500352991116724,0.0002824251259339617,0.8500 ± 0.0003
DODA,5,Logistic Regression,Precision,0.540977792060029,0.004225850774643574,0.5410 ± 0.0042
DODA,5,Logistic Regression,Recall,0.128814467365543,0.0034139868791970875,0.1288 ± 0.0034
DODA,5,Logistic Regression,F1,0.20805814359787766,0.004349733961877309,0.2081 ± 0.0043
DODA,5,Logistic Regression,ROC-AUC,0.7877966980942226,0.0035877320757526773,0.7878 ± 0.0036
DODA,5,Random Forest,Accuracy,0.8506018135178733,0.0006929404877408316,0.8506 ± 0.0007
DODA,5,Random Forest,Precision,0.550668870212958,0.010280728378417626,0.5507 ± 0.0103
DODA,5,Random Forest,Recall,0.12627870058843133,0.003834174201605276,0.1263 ± 0.0038
DODA,5,Random Forest,F1,0.2054184654600144,0.00526888640862391,0.2054 ± 0.0053
DODA,5,Random Forest,ROC-AUC,0.7852147312336012,0.0034557108509840977,0.7852 ± 0.0035
DODA,5,XGBoost,Accuracy,0.8517697055601815,0.0010647005684526689,0.8518 ± 0.0011
DODA,5,XGBoost,Precision,0.5706344301840056,0.017259749963608614,0.5706 ± 0.0173
DODA,5,XGBoost,Recall,0.12491106151029216,0.004509755260996846,0.1249 ± 0.0045
DODA,5,XGBoost,F1,0.20492088314570536,0.0065201856630899896,0.2049 ± 0.0065
DODA,5,XGBoost,ROC-AUC,0.7930315222091355,0.0033502428505212743,0.7930 ± 0.0034
DODA,10,Logistic Regression,Accuracy,0.849865346717358,0.0004682478760050106,0.8499 ± 0.0005
DODA,10,Logistic Regression,Precision,0.5349420625821913,0.006239931828039212,0.5349 ± 0.0062
DODA,10,Logistic Regression,Recall,0.140980728336477,0.002386359497940269,0.1410 ± 0.0024
DODA,10,Logistic Regression,F1,0.2231357331304765,0.0028963248192075386,0.2231 ± 0.0029
DODA,10,Logistic Regression,ROC-AUC,0.8020398738858988,0.003182124853029017,0.8020 ± 0.0032
DODA,10,Random Forest,Accuracy,0.8327915201915689,0.0013047926065460663,0.8328 ± 0.0013
DODA,10,Random Forest,Precision,0.41306576481726076,0.006049584315444058,0.4131 ± 0.0060
DODA,10,Random Forest,Recall,0.2212726669045233,0.004592053638711344,0.2213 ± 0.0046
DODA,10,Random Forest,F1,0.2881349972758097,0.003861420262001528,0.2881 ± 0.0039
