Top-K,Model,Metric,ANOVA Mean,DODA Mean,Difference (DODA − ANOVA),Cohen's d,Wilcoxon p,Holm-adjusted p,Better Method
15,LR,ROC_AUC,0.8056,0.8039,-0.0017,-4.1343,0.0,0.0,ANOVA
15,LR,F1,0.2303,0.2257,-0.0046,-3.3348,0.0,0.0,ANOVA
15,XGB,ROC_AUC,0.8147,0.8131,-0.0016,-3.9803,0.0,0.0,ANOVA
15,RF,F1,0.2716,0.2626,-0.009,-2.0752,0.0,0.0,ANOVA
10,RF,ROC_AUC,0.7501,0.7476,-0.0024,-1.4267,0.0,0.0001,ANOVA
15,XGB,F1,0.2513,0.2489,-0.0024,-1.1933,0.0,0.0002,ANOVA
15,RF,Recall,0.1966,0.1869,-0.0098,-2.7665,0.0,0.0007,ANOVA
15,LR,Recall,0.1466,0.1431,-0.0036,-3.7233,0.0,0.0007,ANOVA
10,RF,F1,0.2861,0.2904,0.0043,1.1375,0.0,0.0014,DODA
15,XGB,Recall,0.1606,0.1588,-0.0018,-1.1766,0.0,0.0025,ANOVA
10,RF,Recall,0.2186,0.2235,0.0048,1.3127,0.0001,0.0045,DODA
15,RF,ROC_AUC,0.7643,0.7652,0.0009,0.8787,0.0003,0.0141,DODA
15,RF,Accuracy,0.8387,0.8395,0.0008,1.03,0.0004,0.0174,DODA
