Method,Top-K,Model,Metric,Mean,SD,Mean ± SD
ANOVA,5,Logistic Regression,Accuracy,0.8381967213114754,0.027606717460347808,0.8382 ± 0.0276
ANOVA,5,Logistic Regression,Precision,0.85209606735094,0.027093467369172362,0.8521 ± 0.0271
ANOVA,5,Logistic Regression,Recall,0.7841269841269842,0.06690951610892855,0.7841 ± 0.0669
ANOVA,5,Logistic Regression,F1,0.8152933321284277,0.03664353905639514,0.8153 ± 0.0366
ANOVA,5,Logistic Regression,ROC-AUC,0.8940877024210356,0.029365009331255784,0.8941 ± 0.0294
ANOVA,5,Random Forest,Accuracy,0.7720218579234972,0.04277400723226348,0.7720 ± 0.0428
ANOVA,5,Random Forest,Precision,0.7617771883289125,0.045601013905786074,0.7618 ± 0.0456
ANOVA,5,Random Forest,Recall,0.7338624338624339,0.07793239499630623,0.7339 ± 0.0779
ANOVA,5,Random Forest,F1,0.7459274670725549,0.05159599849393598,0.7459 ± 0.0516
ANOVA,5,Random Forest,ROC-AUC,0.8670510912698413,0.03981972022520712,0.8671 ± 0.0398
ANOVA,5,XGBoost,Accuracy,0.7884699453551913,0.047668944053535264,0.7885 ± 0.0477
ANOVA,5,XGBoost,Precision,0.7861318681318681,0.05852586727629054,0.7861 ± 0.0585
ANOVA,5,XGBoost,Recall,0.7404761904761905,0.05671966309319808,0.7405 ± 0.0567
ANOVA,5,XGBoost,F1,0.7623290406309274,0.05479011358890842,0.7623 ± 0.0548
ANOVA,5,XGBoost,ROC-AUC,0.8633858425525093,0.0416434541641092,0.8634 ± 0.0416
ANOVA,8,Logistic Regression,Accuracy,0.8381967213114754,0.03224761427940444,0.8382 ± 0.0322
ANOVA,8,Logistic Regression,Precision,0.8534944438450751,0.04164878892971894,0.8535 ± 0.0416
ANOVA,8,Logistic Regression,Recall,0.7838624338624338,0.08483983035225218,0.7839 ± 0.0848
ANOVA,8,Logistic Regression,F1,0.8146489307007752,0.04333517213943955,0.8146 ± 0.0433
ANOVA,8,Logistic Regression,ROC-AUC,0.9106809664101331,0.024652042553903925,0.9107 ± 0.0247
ANOVA,8,Random Forest,Accuracy,0.8216939890710382,0.022495483138248444,0.8217 ± 0.0225
ANOVA,8,Random Forest,Precision,0.8203805453805455,0.03752585274522038,0.8204 ± 0.0375
ANOVA,8,Random Forest,Recall,0.7838624338624338,0.038183777914601175,0.7839 ± 0.0382
ANOVA,8,Random Forest,F1,0.8010532863363051,0.027488832649975682,0.8011 ± 0.0275
ANOVA,8,Random Forest,ROC-AUC,0.900094822230239,0.02187670563218853,0.9001 ± 0.0219
ANOVA,8,XGBoost,Accuracy,0.8118032786885246,0.025565362215892375,0.8118 ± 0.0256
ANOVA,8,XGBoost,Precision,0.8089980262394055,0.0463330763253743,0.8090 ± 0.0463
ANOVA,8,XGBoost,Recall,0.776984126984127,0.05855023920927945,0.7770 ± 0.0586
ANOVA,8,XGBoost,F1,0.7906177565124933,0.030875513828768766,0.7906 ± 0.0309
ANOVA,8,XGBoost,ROC-AUC,0.8881470959595961,0.030737864246900174,0.8881 ± 0.0307
ANOVA,10,Logistic Regression,Accuracy,0.8381967213114754,0.02776983373521104,0.8382 ± 0.0278
ANOVA,10,Logistic Regression,Precision,0.8449476650563608,0.05209456828423043,0.8449 ± 0.0521
ANOVA,10,Logistic Regression,Recall,0.7984126984126985,0.08264073484475758,0.7984 ± 0.0826
