Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
ANOVA,5,Logistic Regression,"GenHlth, HighBP, BMI, DiffWalk, HighChol",0.7085521298616407,0.308374027853138,0.7287362872204017,0.43336439888164024,0.7919125957719366
ANOVA,5,Random Forest,"GenHlth, HighBP, BMI, DiffWalk, HighChol",0.7033663797799324,0.3056063196368567,0.7385667473999146,0.43232424318238677,0.7869460959677289
ANOVA,5,XGBoost,"GenHlth, HighBP, BMI, DiffWalk, HighChol",0.6910774594182373,0.2999273377675926,0.7644963670038467,0.43083099156965077,0.7945952478493802
ANOVA,10,Logistic Regression,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Income, Education",0.7139339797363548,0.3170439573601629,0.7542384955121813,0.44643083020618124,0.805832730031597
ANOVA,10,Random Forest,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Income, Education",0.8089116461488179,0.33741875580315694,0.2588687847271691,0.2929700096742986,0.7322176657449455
ANOVA,10,XGBoost,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Income, Education",0.7100119838762392,0.3153258954785672,0.7650662487533837,0.44658821572622565,0.807438410267394
ANOVA,15,Logistic Regression,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Income, Education, PhysActivity, Stroke, CholCheck, HvyAlcoholConsump, MentHlth",0.7146530123107092,0.317890320647288,0.7556631998860236,0.4475194060074249,0.8091782089978137
ANOVA,15,Random Forest,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Income, Education, PhysActivity, Stroke, CholCheck, HvyAlcoholConsump, MentHlth",0.8248175182481752,0.36886719753403546,0.2045875480837726,0.2631964809384164,0.7549406413978339
ANOVA,15,XGBoost,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Income, Education, PhysActivity, Stroke, CholCheck, HvyAlcoholConsump, MentHlth",0.7104695500599194,0.31683515456086014,0.7724747114973642,0.44936184319575667,0.8109805428538512
ANOVA,20,Logistic Regression,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Income, Education, PhysActivity, Stroke, CholCheck, HvyAlcoholConsump, MentHlth, Smoker, Veggies, Sex, AnyHealthcare, Fruits",0.7143043904564768,0.3182604545725705,0.7600797834449352,0.4486586493987049,0.81058252458993
ANOVA,20,Random Forest,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Income, Education, PhysActivity, Stroke, CholCheck, HvyAlcoholConsump, MentHlth, Smoker, Veggies, Sex, AnyHealthcare, Fruits",0.8424229218869158,0.4541935483870968,0.15044878187776037,0.22602739726027396,0.7768608428981463
ANOVA,20,XGBoost,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Income, Education, PhysActivity, Stroke, CholCheck, HvyAlcoholConsump, MentHlth, Smoker, Veggies, Sex, AnyHealthcare, Fruits",0.7129970585031049,0.31904005646726663,0.7727596523721327,0.45162364696086593,0.8118291372523019
