Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
ANOVA,5,Logistic Regression,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter",0.9298245614035088,0.9848484848484849,0.9027777777777778,0.9420289855072463,0.9910714285714286
ANOVA,5,Random Forest,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter",0.9298245614035088,0.9571428571428572,0.9305555555555556,0.9436619718309859,0.9882605820105821
ANOVA,5,XGBoost,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.984457671957672
ANOVA,10,Logistic Regression,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity",0.9122807017543859,0.9696969696969697,0.8888888888888888,0.927536231884058,0.9914021164021164
ANOVA,10,Random Forest,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9900793650793651
ANOVA,10,XGBoost,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity",0.9736842105263158,0.9726027397260274,0.9861111111111112,0.9793103448275862,0.9923941798941799
ANOVA,15,Logistic Regression,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity, mean compactness, worst compactness, area error, radius error, perimeter error",0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9914021164021164
ANOVA,15,Random Forest,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity, mean compactness, worst compactness, area error, radius error, perimeter error",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9917328042328042
ANOVA,15,XGBoost,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity, mean compactness, worst compactness, area error, radius error, perimeter error",0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9923941798941799
ANOVA,20,Logistic Regression,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity, mean compactness, worst compactness, area error, radius error, perimeter error, worst texture, worst symmetry, worst smoothness, concave points error, mean texture",0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,0.9950396825396824
ANOVA,20,Random Forest,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity, mean compactness, worst compactness, area error, radius error, perimeter error, worst texture, worst symmetry, worst smoothness, concave points error, mean texture",0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9937169312169313
ANOVA,20,XGBoost,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity, mean compactness, worst compactness, area error, radius error, perimeter error, worst texture, worst symmetry, worst smoothness, concave points error, mean texture",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9953703703703705
