Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Boruta,5,Logistic Regression,"area error, concavity error, mean area, mean compactness, mean concave points",0.9122807017543859,0.984375,0.875,0.9264705882352942,0.9801587301587302
Boruta,5,Random Forest,"area error, concavity error, mean area, mean compactness, mean concave points",0.9298245614035088,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.986441798941799
Boruta,5,XGBoost,"area error, concavity error, mean area, mean compactness, mean concave points",0.9210526315789473,0.9436619718309859,0.9305555555555556,0.9370629370629371,0.9811507936507936
Boruta,10,Logistic Regression,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture",0.8947368421052632,0.96875,0.8611111111111112,0.9117647058823529,0.9877645502645502
Boruta,10,Random Forest,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9899140211640212
Boruta,10,XGBoost,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9904100529100529
Boruta,15,Logistic Regression,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points",0.9385964912280702,0.9710144927536232,0.9305555555555556,0.950354609929078,0.9943783068783069
Boruta,15,Random Forest,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.994212962962963
Boruta,15,XGBoost,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points",0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9940476190476191
Boruta,20,Logistic Regression,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius, worst smoothness",0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9970238095238095
Boruta,20,Random Forest,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius, worst smoothness",0.9385964912280702,0.9710144927536232,0.9305555555555556,0.950354609929078,0.9938822751322751
Boruta,20,XGBoost,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius, worst smoothness",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9947089947089947
