Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
LASSO,5,Logistic Regression,"worst radius, worst concave points, worst texture, radius error, mean concave points",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9933862433862434
LASSO,5,Random Forest,"worst radius, worst concave points, worst texture, radius error, mean concave points",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9950396825396826
LASSO,5,XGBoost,"worst radius, worst concave points, worst texture, radius error, mean concave points",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9940476190476191
LASSO,10,Logistic Regression,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst symmetry, worst smoothness, mean texture, mean symmetry, mean smoothness",0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,0.996031746031746
LASSO,10,Random Forest,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst symmetry, worst smoothness, mean texture, mean symmetry, mean smoothness",0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,0.9947089947089947
LASSO,10,XGBoost,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst symmetry, worst smoothness, mean texture, mean symmetry, mean smoothness",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9923941798941799
LASSO,15,Logistic Regression,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst symmetry, worst smoothness, mean texture, mean symmetry, mean smoothness, mean compactness, mean area, mean perimeter, mean radius, area error",0.9473684210526315,0.9852941176470589,0.9305555555555556,0.9571428571428572,0.9937169312169312
LASSO,15,Random Forest,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst symmetry, worst smoothness, mean texture, mean symmetry, mean smoothness, mean compactness, mean area, mean perimeter, mean radius, area error",0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9947089947089947
LASSO,15,XGBoost,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst symmetry, worst smoothness, mean texture, mean symmetry, mean smoothness, mean compactness, mean area, mean perimeter, mean radius, area error",0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9950396825396826
LASSO,20,Logistic Regression,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst symmetry, worst smoothness, mean texture, mean symmetry, mean smoothness, mean compactness, mean area, mean perimeter, mean radius, area error, perimeter error, texture error, mean fractal dimension, mean concavity, concave points error",0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9947089947089947
LASSO,20,Random Forest,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst symmetry, worst smoothness, mean texture, mean symmetry, mean smoothness, mean compactness, mean area, mean perimeter, mean radius, area error, perimeter error, texture error, mean fractal dimension, mean concavity, concave points error",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9940476190476191
LASSO,20,XGBoost,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst symmetry, worst smoothness, mean texture, mean symmetry, mean smoothness, mean compactness, mean area, mean perimeter, mean radius, area error, perimeter error, texture error, mean fractal dimension, mean concavity, concave points error",0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,0.9966931216931216
