Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
MRMR,5,Logistic Regression,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter",0.9298245614035088,0.9848484848484849,0.9027777777777778,0.9420289855072463,0.9910714285714286
MRMR,5,Random Forest,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter",0.9385964912280702,0.9710144927536232,0.9305555555555556,0.950354609929078,0.9847883597883598
MRMR,5,XGBoost,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.984457671957672
MRMR,10,Logistic Regression,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, worst concavity, mean concavity, mean area",0.9122807017543859,0.9696969696969697,0.8888888888888888,0.927536231884058,0.9914021164021164
MRMR,10,Random Forest,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, worst concavity, mean concavity, mean area",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9905753968253969
MRMR,10,XGBoost,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, worst concavity, mean concavity, mean area",0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9910714285714286
MRMR,15,Logistic Regression,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, worst concavity, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9940476190476191
MRMR,15,Random Forest,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, worst concavity, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9928902116402116
MRMR,15,XGBoost,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, worst concavity, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9966931216931217
MRMR,20,Logistic Regression,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, worst concavity, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error, worst smoothness, perimeter error, worst symmetry, mean texture, concave points error",0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,0.9950396825396824
MRMR,20,Random Forest,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, worst concavity, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error, worst smoothness, perimeter error, worst symmetry, mean texture, concave points error",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.994378306878307
MRMR,20,XGBoost,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, worst area, mean radius, worst concavity, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error, worst smoothness, perimeter error, worst symmetry, mean texture, concave points error",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.996031746031746
