Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,5,Logistic Regression,"worst area, worst concave points, mean concave points, worst perimeter, worst radius",0.9385964912280702,0.9850746268656716,0.9166666666666666,0.9496402877697842,0.9907407407407407
Random Forest,5,Random Forest,"worst area, worst concave points, mean concave points, worst perimeter, worst radius",0.9385964912280702,0.9710144927536232,0.9305555555555556,0.950354609929078,0.9867724867724867
Random Forest,5,XGBoost,"worst area, worst concave points, mean concave points, worst perimeter, worst radius",0.9210526315789473,0.9436619718309859,0.9305555555555556,0.9370629370629371,0.982473544973545
Random Forest,10,Logistic Regression,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, mean area, worst concavity, mean radius",0.9122807017543859,0.9696969696969697,0.8888888888888888,0.927536231884058,0.9914021164021164
Random Forest,10,Random Forest,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, mean area, worst concavity, mean radius",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9900793650793651
Random Forest,10,XGBoost,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, mean area, worst concavity, mean radius",0.9736842105263158,0.9726027397260274,0.9861111111111112,0.9793103448275862,0.9923941798941799
Random Forest,15,Logistic Regression,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, mean area, worst concavity, mean radius, area error, worst texture, radius error, worst compactness, mean compactness",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9940476190476191
Random Forest,15,Random Forest,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, mean area, worst concavity, mean radius, area error, worst texture, radius error, worst compactness, mean compactness",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9927248677248677
Random Forest,15,XGBoost,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, mean area, worst concavity, mean radius, area error, worst texture, radius error, worst compactness, mean compactness",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9950396825396826
Random Forest,20,Logistic Regression,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, mean area, worst concavity, mean radius, area error, worst texture, radius error, worst compactness, mean compactness, mean texture, worst symmetry, worst smoothness, perimeter error, compactness error",0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9957010582010581
Random Forest,20,Random Forest,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, mean area, worst concavity, mean radius, area error, worst texture, radius error, worst compactness, mean compactness, mean texture, worst symmetry, worst smoothness, perimeter error, compactness error",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9932208994708995
Random Forest,20,XGBoost,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, mean area, worst concavity, mean radius, area error, worst texture, radius error, worst compactness, mean compactness, mean texture, worst symmetry, worst smoothness, perimeter error, compactness error",0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.994047619047619
