Method,Top_K,Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
ANOVA,5,Logistic Regression,0.9455519329296692,0.01678469875142704,0.9672312723682588,0.03402270372869142,0.94679186228482,0.032043483575037945,0.9561327030329758,0.013426813098541384,0.9889918754560091,0.009901109518279504
ANOVA,5,Random Forest,0.9385188635305077,0.013747446629735201,0.9585790335790335,0.02789600377565573,0.9440140845070422,0.0326800602689044,0.9505608408206123,0.011337508709775727,0.9828708902857282,0.011928152497228292
ANOVA,5,XGBoost,0.935010091600683,0.015807237152633,0.9558735112317202,0.03259694040400322,0.9412363067292645,0.024926389409552448,0.9479063312106627,0.012024162408577262,0.9748425198044425,0.019248506870225116
ANOVA,10,Logistic Regression,0.943797546964757,0.01318060242569093,0.9723363774733638,0.025908603862356234,0.9384194053208137,0.04155433328141172,0.9541616247112488,0.011969691357105808,0.9895197195229949,0.009708062537787769
ANOVA,10,Random Forest,0.9437820214252446,0.017030692429016114,0.9612597928673674,0.02711520870667533,0.9496478873239436,0.028722447656244324,0.9549082006765396,0.013714831100224206,0.9844885311004703,0.012073324942455256
ANOVA,10,XGBoost,0.9402887750349324,0.020851917998391978,0.9605525296432221,0.017459289377734676,0.944092331768388,0.03535453811940346,0.9518346681693435,0.01747546736277206,0.978336426829712,0.01403844292320592
ANOVA,15,Logistic Regression,0.9473373699736065,0.022303249437949514,0.9721418312002916,0.027975950373551224,0.944092331768388,0.03550897877646056,0.9573252573021257,0.017960355719376413,0.9917542507413126,0.006826026309533701
ANOVA,15,Random Forest,0.9490296537804689,0.01688653131910684,0.9643388125641646,0.02768640299754354,0.955242566510172,0.0315956322738033,0.9591806526112787,0.013858224771247249,0.9878238206153371,0.009173863671515995
ANOVA,15,XGBoost,0.9490607048594939,0.022651956350161328,0.9581692897108679,0.017180885232365908,0.9608372456964005,0.022865745616192753,0.959437555350155,0.01817860580534606,0.985580970751295,0.0065841217496088195
ANOVA,20,Logistic Regression,0.9771774569166279,0.009974328455623254,0.9837087087087089,0.017605865443924115,0.9803990610328638,0.02733633336384357,0.981671320941307,0.008333174998418496,0.9962969678536334,0.0061038150919446
ANOVA,20,Random Forest,0.9613569321533924,0.007754886542182889,0.978003003003003,0.020808123968010992,0.9607981220657278,0.028647408650679804,0.9688382220790851,0.006780732289594854,0.9909933329520622,0.0069508575729795765
ANOVA,20,XGBoost,0.9595870206489675,0.00996157258833961,0.9727406264068428,0.027041680964578707,0.9636150234741784,0.02102644924516742,0.9677193513944233,0.007682313019297409,0.9929163915447898,0.005322561419934517
DODA,5,Logistic Regression,0.9455519329296692,0.01678469875142704,0.9672312723682588,0.03402270372869142,0.94679186228482,0.032043483575037945,0.9561327030329758,0.013426813098541384,0.9892564257205594,0.009539859244936864
DODA,5,Random Forest,0.9455364073901569,0.015627440777723624,0.964246197741393,0.03094438524400898,0.9496087636932706,0.025287609455017145,0.9563254356603709,0.012195461729365698,0.980771602049853,0.016530025356686448
DODA,5,XGBoost,0.9279925477410341,0.022585965036910915,0.9485308070924509,0.04272830895370453,0.9384585289514866,0.028818876389355208,0.9425638026865879,0.016777920075819838,0.975293860492845,0.018357028411812013
DODA,10,Logistic Regression,0.943797546964757,0.01318060242569093,0.9723363774733638,0.025908603862356234,0.9384194053208137,0.04155433328141172,0.9541616247112488,0.011969691357105808,0.9895197195229949,0.009708062537787769
DODA,10,Random Forest,0.9455364073901569,0.015627440777723624,0.9613050212708047,0.02716453512288868,0.9524256651017214,0.023196387098660478,0.9564304611290471,0.012274737339558169,0.9844869496912569,0.012009655620581056
DODA,10,XGBoost,0.9367800031051079,0.025032471123659958,0.9526621993444007,0.02220740027183606,0.9468701095461659,0.03724807990690179,0.9493116395994093,0.02067757128728761,0.9770153002424538,0.015320647686101637
DODA,15,Logistic Regression,0.9473373699736065,0.022303249437949514,0.9721418312002916,0.027975950373551224,0.944092331768388,0.03550897877646056,0.9573252573021257,0.017960355719376413,0.9917542507413126,0.006826026309533701
DODA,15,Random Forest,0.947290793355069,0.019571957815804824,0.971667026399601,0.013114176355826714,0.944092331768388,0.04037664833436233,0.9571181157440372,0.017141467437395093,0.9876137748107942,0.008520968303367476
DODA,15,XGBoost,0.9473063188945815,0.02552142048805443,0.9580083239160994,0.017353683245478372,0.9580594679186228,0.027779706340510493,0.957940460895314,0.0206254808544475,0.9852496546895498,0.006532868821223645
DODA,20,Logistic Regression,0.9771774569166279,0.009974328455623254,0.9837087087087089,0.017605865443924115,0.9803990610328638,0.02733633336384357,0.981671320941307,0.008333174998418496,0.9962969678536334,0.0061038150919446
DODA,20,Random Forest,0.9595870206489675,0.015909947646891184,0.9753661971830987,0.02418639960772797,0.9608763693270737,0.03306149348833464,0.9674943481423236,0.0132726677357264,0.9917711696535804,0.00542002966021808
DODA,20,XGBoost,0.9560627231796305,0.006205119396164694,0.9701891891891892,0.027653996588397414,0.9608372456964005,0.030143735530292898,0.9648149665712313,0.005223159461207852,0.9932548564427044,0.005032145167118558
