Method,Top_K,Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
ANOVA,5,Logistic Regression,0.9469274957304766,0.0188922426178548,0.9697769176587105,0.022600053029609622,0.9456338028169015,0.030702024569014708,0.957047077714832,0.01586594373412714,0.9880586880455862,0.006939184004342355
ANOVA,5,Random Forest,0.9391957770532526,0.01789679756842507,0.9575023697575216,0.027078645065515716,0.9461971830985916,0.027923676590765382,0.9512456637260953,0.014398220038844698,0.9820775774370599,0.009507785353363371
ANOVA,5,XGBoost,0.9377798478497128,0.019813333993169164,0.954154924196947,0.026155388677748054,0.9472848200312989,0.029013988403574217,0.9501789257967781,0.016053286736514887,0.9775384282438818,0.013119298963170462
ANOVA,10,Logistic Regression,0.9427107591988821,0.017025481407630334,0.9711303644903866,0.020355095424965268,0.9372143974960876,0.030900831157443923,0.9533688805495752,0.01446528396879767,0.9883101754367722,0.007270234039981203
ANOVA,10,Random Forest,0.9469306008383791,0.016873966504088855,0.9620188617694708,0.025389060679352583,0.9540297339593115,0.026017704663937886,0.9575151085605988,0.013498217302318673,0.9848005713003256,0.008915874722863861
ANOVA,10,XGBoost,0.9444713553795994,0.015963375531123813,0.9571549039559212,0.024310435662991948,0.9551721439749609,0.025512717249077478,0.9556920318202461,0.012799008478276542,0.9788786768847365,0.011033496508294122
ANOVA,15,Logistic Regression,0.947992547741034,0.016404771335214847,0.9723063986280325,0.02015447669084909,0.9445383411580595,0.02304873330499669,0.9579254804962233,0.013308814926230834,0.991639652731202,0.004569137170043769
ANOVA,15,Random Forest,0.9483310045024065,0.02031561734505143,0.9633077574976688,0.028794344205638308,0.9551721439749609,0.027050513202265678,0.9586902882479794,0.016288091862366048,0.9871551704715806,0.008163031945421938
ANOVA,15,XGBoost,0.9465797236453966,0.01792371649690043,0.9565739123927398,0.022065558929608778,0.9590688575899844,0.026256668863565875,0.957433618597318,0.014623775951403734,0.9882928362595902,0.006661170513431027
ANOVA,20,Logistic Regression,0.9768017388604254,0.013419111589243058,0.9812277368654907,0.014706279055571541,0.9820892018779342,0.017837855109135367,0.9815072227459082,0.010712268264337443,0.9954741974673189,0.004828887298247666
ANOVA,20,Random Forest,0.9595932308647726,0.018763650792898327,0.9723444586672467,0.021806581901845083,0.9635680751173709,0.02560215436409161,0.9675946073977986,0.015309391519636286,0.9912594386300577,0.007031581529940488
ANOVA,20,XGBoost,0.959583915541065,0.015194830794323324,0.9697859699285405,0.021533323670732497,0.9663458528951487,0.02428650648073805,0.967684516025541,0.012462559835957343,0.9935162222256884,0.004389817471629393
DODA,5,Logistic Regression,0.9451575842260519,0.019739289223334507,0.9685470111228797,0.022924899963712515,0.943943661971831,0.029819102898114437,0.9556229638894063,0.016438617271095985,0.9882843659718864,0.006720405249229559
DODA,5,Random Forest,0.9412855146716349,0.019490773681632385,0.959702495854323,0.028022454835197812,0.947300469483568,0.02785744909555329,0.9529105300429502,0.01573338153728174,0.9800729354594405,0.010532366436104808
DODA,5,XGBoost,0.9346250582207731,0.018459861039674126,0.9517499007191687,0.029391758701852573,0.9450782472613458,0.028874021368514732,0.9477480100340846,0.014742168507828338,0.9763278291627456,0.013271087728518803
DODA,10,Logistic Regression,0.9427107591988821,0.017025481407630334,0.9711303644903866,0.020355095424965268,0.9372143974960876,0.030900831157443923,0.9533688805495752,0.01446528396879767,0.9883101754367722,0.007270234039981203
DODA,10,Random Forest,0.948675671479584,0.018587520596155097,0.9630945227816443,0.024859513539963695,0.9557120500782473,0.028461657038529053,0.9588863304532385,0.015108081175020398,0.984284364672098,0.008867659457271394
DODA,10,XGBoost,0.9451762148734669,0.016451384305417267,0.9566379966140947,0.024342493371276072,0.9568544600938966,0.023820481786591626,0.9563292362617613,0.013161790549116044,0.979117642981056,0.011398913037474239
DODA,15,Logistic Regression,0.947992547741034,0.016404771335214847,0.9723063986280325,0.02015447669084909,0.9445383411580595,0.02304873330499669,0.9579254804962233,0.013308814926230834,0.991639652731202,0.004569137170043769
DODA,15,Random Forest,0.9479894426331315,0.019585026056236837,0.963509426927403,0.02409994314834118,0.9540688575899844,0.028315066058725556,0.9583060777548507,0.016012080560614424,0.9874985117422884,0.0075307970646443095
DODA,15,XGBoost,0.946936811054184,0.018346693350370535,0.957094528326929,0.021995091461128033,0.9590688575899844,0.026213214538750088,0.9577071707334344,0.014855710999668975,0.9885195063576983,0.006145081366459958
DODA,20,Logistic Regression,0.9768017388604254,0.013419111589243058,0.9812277368654907,0.014706279055571541,0.9820892018779342,0.017837855109135367,0.9815072227459082,0.010712268264337443,0.9954874249805465,0.004831873770155714
DODA,20,Random Forest,0.9606396522279149,0.01662938995886745,0.9725320767756513,0.02235027844821614,0.9652660406885759,0.025840550910451284,0.9684726006060218,0.013530950542884494,0.9921653239852551,0.006260427031483931
DODA,20,XGBoost,0.9588821611551,0.01233528947716078,0.9687095606225,0.020941453904040473,0.9663771517996871,0.022107398835759316,0.9671751126137891,0.009972603867850633,0.9931449333381859,0.0046225845622347595
