Fold,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
1,Boruta,5,Logistic Regression,0.9122807017543859,0.9692307692307692,0.8873239436619719,0.9264705882352942,0.989190959711759,"area error, mean area, mean compactness, mean concave points, mean concavity"
2,Boruta,5,Logistic Regression,0.9122807017543859,0.8860759493670886,0.9859154929577465,0.9333333333333333,0.9780543727481166,"area error, concave points error, concavity error, mean area, mean compactness"
3,Boruta,5,Logistic Regression,0.9210526315789473,0.9090909090909091,0.9722222222222222,0.9395973154362416,0.9675925925925927,"area error, concave points error, concavity error, mean area, mean compactness"
4,Boruta,5,Logistic Regression,0.8947368421052632,0.96875,0.8611111111111112,0.9117647058823529,0.9718915343915344,"area error, concave points error, concavity error, mean area, mean compactness"
5,Boruta,5,Logistic Regression,0.9380530973451328,0.9324324324324325,0.971830985915493,0.9517241379310345,0.983232729711603,"area error, concave points error, concavity error, mean area, mean compactness"
1,Boruta,5,Random Forest,0.9473684210526315,1.0,0.9154929577464789,0.9558823529411765,0.990009826400262,"area error, mean area, mean compactness, mean concave points, mean concavity"
2,Boruta,5,Random Forest,0.9298245614035088,0.9090909090909091,0.9859154929577465,0.9459459459459459,0.9703570258761874,"area error, concave points error, concavity error, mean area, mean compactness"
3,Boruta,5,Random Forest,0.9035087719298246,0.9178082191780822,0.9305555555555556,0.9241379310344827,0.9482473544973545,"area error, concave points error, concavity error, mean area, mean compactness"
4,Boruta,5,Random Forest,0.8771929824561403,0.9393939393939394,0.8611111111111112,0.8985507246376812,0.9672619047619048,"area error, concave points error, concavity error, mean area, mean compactness"
5,Boruta,5,Random Forest,0.9203539823008849,0.9305555555555556,0.9436619718309859,0.9370629370629371,0.9743460764587525,"area error, concave points error, concavity error, mean area, mean compactness"
1,Boruta,5,XGBoost,0.956140350877193,1.0,0.9295774647887324,0.9635036496350365,0.989190959711759,"area error, mean area, mean compactness, mean concave points, mean concavity"
2,Boruta,5,XGBoost,0.9035087719298246,0.8947368421052632,0.9577464788732394,0.9251700680272109,0.9505404520144121,"area error, concave points error, concavity error, mean area, mean compactness"
3,Boruta,5,XGBoost,0.8947368421052632,0.9285714285714286,0.9027777777777778,0.9154929577464789,0.9444444444444444,"area error, concave points error, concavity error, mean area, mean compactness"
4,Boruta,5,XGBoost,0.8508771929824561,0.9230769230769231,0.8333333333333334,0.8759124087591241,0.968915343915344,"area error, concave points error, concavity error, mean area, mean compactness"
5,Boruta,5,XGBoost,0.9203539823008849,0.9305555555555556,0.9436619718309859,0.9370629370629371,0.9527162977867203,"area error, concave points error, concavity error, mean area, mean compactness"
1,Boruta,10,Logistic Regression,0.9210526315789473,0.9696969696969697,0.9014084507042254,0.9343065693430657,0.9888634130363577,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error"
2,Boruta,10,Logistic Regression,0.9385964912280702,0.9324324324324325,0.971830985915493,0.9517241379310345,0.9872256796593515,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
3,Boruta,10,Logistic Regression,0.9122807017543859,0.9078947368421053,0.9583333333333334,0.9324324324324325,0.9788359788359788,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
4,Boruta,10,Logistic Regression,0.9210526315789473,0.9701492537313433,0.9027777777777778,0.935251798561151,0.9814814814814814,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
5,Boruta,10,Logistic Regression,0.9557522123893806,0.9583333333333334,0.971830985915493,0.965034965034965,0.9889336016096579,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
1,Boruta,10,Random Forest,0.956140350877193,1.0,0.9295774647887324,0.9635036496350365,0.9905011464133638,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error"
2,Boruta,10,Random Forest,0.9210526315789473,0.918918918918919,0.9577464788732394,0.9379310344827586,0.9711758925646904,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
3,Boruta,10,Random Forest,0.9298245614035088,0.9324324324324325,0.9583333333333334,0.9452054794520548,0.9783399470899471,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
4,Boruta,10,Random Forest,0.9122807017543859,0.9696969696969697,0.8888888888888888,0.927536231884058,0.9618055555555556,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
5,Boruta,10,Random Forest,0.9557522123893806,0.9714285714285714,0.9577464788732394,0.9645390070921985,0.9822266934942991,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
1,Boruta,10,XGBoost,0.9824561403508771,1.0,0.971830985915493,0.9857142857142858,0.9954143465443825,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error"
2,Boruta,10,XGBoost,0.9298245614035088,0.9315068493150684,0.9577464788732394,0.9444444444444444,0.982640026203734,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
3,Boruta,10,XGBoost,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9851190476190477,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
