Method,Top_K,Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
Boruta,5,Logistic Regression,0.915680794907623,0.015741243371059085,0.9331160120242398,0.03662136375787833,0.935680751173709,0.057150371635224136,0.9325780161636512,0.014890513807472734,0.9779924378311211,0.008634946308492849
Boruta,5,Random Forest,0.915649743828598,0.026718231096170705,0.9393697246436972,0.03583094208248333,0.9273474178403756,0.04537194286042062,0.9323159783244448,0.022196038279457753,0.9700444375988923,0.015000615645915
Boruta,5,XGBoost,0.9051234280391244,0.03836612600498635,0.935388149861834,0.03888639852964631,0.9134194053208138,0.04916199835178012,0.9234284042461575,0.03207686202354426,0.9611614995745359,0.01809254511103614
Boruta,10,Logistic Regression,0.9297469337059463,0.017398564777570378,0.9477013452072368,0.027011391264487778,0.9412363067292645,0.036158310498349854,0.9437499806605297,0.014196141713464039,0.9850680309245655,0.004628844896440874
Boruta,10,Random Forest,0.935010091600683,0.02009383617166323,0.9584953784953786,0.032637976504464136,0.9384585289514866,0.03031122065417036,0.9477430805092213,0.016136380376817645,0.9768098470235712,0.01090877303118237
Boruta,10,XGBoost,0.9402421984163949,0.03247624101843581,0.9527588862028831,0.027035945224716793,0.9524647887323944,0.03743264666486477,0.9522959580102437,0.0265150551528354,0.9824290055578953,0.00957148155530731
Boruta,15,Logistic Regression,0.9578481602235678,0.012940446377103582,0.9700770148138569,0.02353811801939136,0.9635758998435054,0.03783894280642228,0.9660890159681461,0.01134110538265188,0.9947181798803154,0.004690576393911033
Boruta,15,Random Forest,0.9560937742586555,0.02143941533351057,0.9672699972699974,0.02743716986248448,0.9637323943661972,0.034775384152419035,0.9649144938841185,0.0175187056850076,0.9882442804978016,0.007274632360586756
Boruta,15,XGBoost,0.9560937742586555,0.02052255231249893,0.9675165596218228,0.030006358757661108,0.9636932707355242,0.036181056866237155,0.9648901845644511,0.016742611120067877,0.9931369006459082,0.005391466734928901
Boruta,20,Logistic Regression,0.9701443875174662,0.013267593217839742,0.973043070467728,0.02684918446435315,0.9803990610328638,0.016025413544628213,0.9763895012386083,0.010195546950657712,0.9964274016190163,0.004894690009120527
Boruta,20,Random Forest,0.9525694767893184,0.014613813539202089,0.9722688819350985,0.021353934822595313,0.9524256651017214,0.03490986679255514,0.9616599388234274,0.012480334453537375,0.986833306037777,0.010356896454497163
Boruta,20,XGBoost,0.9595870206489675,0.017076293817756022,0.9677409926148209,0.0309075788067234,0.9692488262910798,0.03162922331354792,0.9678310715941901,0.013719192885310634,0.9916042768237331,0.006048237223221692
Boruta + DODA,5,Logistic Regression,0.94027324949542,0.011303776312256172,0.9696347031963469,0.029804687815431285,0.9356025039123631,0.03784121815938758,0.9514032719528961,0.010146806115614877,0.9885327035425299,0.012265528305756767
Boruta + DODA,5,Random Forest,0.9227138643067846,0.024224232680110883,0.9477686520012139,0.03976725004098044,0.9300078247261346,0.032660734007913444,0.9379495890253814,0.018686038227271287,0.9796162743038768,0.016849606483772935
Boruta + DODA,5,XGBoost,0.9332401800962584,0.023632311541129353,0.9474617674226764,0.030291311685817238,0.946830985915493,0.011389949921786687,0.9469811975300075,0.018222945066203762,0.9705293453225814,0.023618617765008735
Boruta + DODA,10,Logistic Regression,0.943797546964757,0.01318060242569093,0.9723363774733638,0.025908603862356234,0.9384194053208137,0.04155433328141172,0.9541616247112488,0.011969691357105808,0.9895197195229949,0.009708062537787769
Boruta + DODA,10,Random Forest,0.9437820214252446,0.018125061683626393,0.9584749147743002,0.024596460106141912,0.9523865414710485,0.028897774054658695,0.9549895242462657,0.014591698614365132,0.9852584282612125,0.011579530707083075
Boruta + DODA,10,XGBoost,0.9385343890700202,0.021391917449812375,0.9579979202392976,0.020867947394526316,0.944092331768388,0.03535453811940346,0.9505309364735476,0.01772712034307869,0.974966725417102,0.017206188354948228
Boruta + DODA,15,Logistic Regression,0.9684055270920664,0.014648101755977527,0.9783363774733637,0.02439085475541492,0.9719874804381847,0.028121223697054366,0.9746885327354787,0.01181902789236532,0.9931490320042563,0.008483530580393323
Boruta + DODA,15,Random Forest,0.9631113181183046,0.0072558854326721465,0.978003003003003,0.020808123968010992,0.9636150234741784,0.02530780327256576,0.9703403907028024,0.006101419088012787,0.9895576733441128,0.010986896891627707
Boruta + DODA,15,XGBoost,0.9631268436578171,0.01295336244907076,0.9720904981207475,0.013469015769584036,0.9692097026604068,0.018290872678054088,0.9705257599235259,0.010554771751797466,0.9909072977919194,0.008002760158189244
Boruta + DODA,20,Logistic Regression,0.9771774569166279,0.009974328455623254,0.9837087087087089,0.017605865443924115,0.9803990610328638,0.02733633336384357,0.981671320941307,0.008333174998418496,0.9960349305133123,0.0060026943429514834
Boruta + DODA,20,Random Forest,0.9648657040832168,0.013833159868640118,0.9780801349294499,0.022924343974882105,0.9663928012519563,0.028901349176266876,0.9717397903898733,0.011233590030973862,0.989936734966214,0.007843651032683916
Boruta + DODA,20,XGBoost,0.9613569321533924,0.014629824707637082,0.9699656799656801,0.02585679932639524,0.9692488262910798,0.022763011246285682,0.9692200075823555,0.011520316795335118,0.9934426325394226,0.005021633590723483
