Run,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
1,Boruta,5,Logistic Regression,0.9122807017543859,0.9692307692307692,0.8873239436619719,0.9264705882352942,0.989190959711759,"area error, mean area, mean compactness, mean concave points, mean concavity"
1,Boruta,5,Random Forest,0.9473684210526315,1.0,0.9154929577464789,0.9558823529411765,0.990009826400262,"area error, mean area, mean compactness, mean concave points, mean concavity"
1,Boruta,5,XGBoost,0.956140350877193,1.0,0.9295774647887324,0.9635036496350365,0.989190959711759,"area error, mean area, mean compactness, mean concave points, mean concavity"
1,Boruta + DODA,5,Logistic Regression,0.9298245614035088,1.0,0.8873239436619719,0.9402985074626866,0.99737962659679,"worst radius, worst perimeter, worst area, worst concavity, worst concave points"
1,Boruta + DODA,5,Random Forest,0.9298245614035088,0.9846153846153847,0.9014084507042254,0.9411764705882353,0.9957418932197838,"worst radius, worst perimeter, worst area, worst concavity, worst concave points"
1,Boruta + DODA,5,XGBoost,0.9649122807017544,0.9855072463768116,0.9577464788732394,0.9714285714285714,0.9957418932197838,"worst radius, worst perimeter, worst area, worst concavity, worst concave points"
1,Boruta,10,Logistic Regression,0.9210526315789473,0.9696969696969697,0.9014084507042254,0.9343065693430657,0.9888634130363577,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error"
1,Boruta,10,Random Forest,0.956140350877193,1.0,0.9295774647887324,0.9635036496350365,0.9905011464133638,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error"
1,Boruta,10,XGBoost,0.9824561403508771,1.0,0.971830985915493,0.9857142857142858,0.9954143465443825,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error"
1,Boruta + DODA,10,Logistic Regression,0.9298245614035088,1.0,0.8873239436619719,0.9402985074626866,0.99737962659679,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points"
1,Boruta + DODA,10,Random Forest,0.9473684210526315,0.9850746268656716,0.9295774647887324,0.9565217391304348,0.9963969865705864,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points"
1,Boruta + DODA,10,XGBoost,0.956140350877193,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.9954143465443827,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points"
1,Boruta,15,Logistic Regression,0.9385964912280702,0.9848484848484849,0.9154929577464789,0.948905109489051,0.9977071732721913,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity"
1,Boruta,15,Random Forest,0.9824561403508771,1.0,0.971830985915493,0.9857142857142858,0.9985260399606944,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity"
