Method,Top_K,Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
Boruta,5,Logistic Regression,0.9188076385654401,0.022857786306407505,0.9347993429307435,0.0283481792506398,0.9372300469483568,0.03684314940008533,0.935258656478549,0.018888680456381993,0.9769057670744536,0.010156709927967513
Boruta,5,Random Forest,0.9128458313926409,0.02493748271657909,0.9347170854908733,0.03236855600120598,0.9271987480438184,0.030156389455155922,0.930339245121798,0.019923254994614413,0.9713173572009144,0.014509388755509759
Boruta,5,XGBoost,0.9068902344356466,0.02801277400911062,0.9296657312112473,0.028072257087577667,0.9221517996870109,0.035532503397513335,0.9253700601779523,0.023170431269205687,0.9619856693996884,0.017679644700251983
Boruta,10,Logistic Regression,0.9311193913988511,0.018702928989192978,0.9483642599605022,0.023704354151749575,0.9423161189358372,0.02622483209723938,0.9449175558986979,0.015117022926339142,0.985877422155673,0.005710678099340874
Boruta,10,Random Forest,0.9349821456295606,0.022242481186579892,0.9579545471613439,0.025621676416924154,0.9383646322378716,0.029597923012082514,0.9475955348825164,0.018065437219060513,0.9802856501628202,0.011196807888458817
Boruta,10,XGBoost,0.9360254618848005,0.02363191119969751,0.9524985465858425,0.022491446060545046,0.9456885758998435,0.02769222841029932,0.9487971964535226,0.01913803027681197,0.9829251347880565,0.009939186669472942
Boruta,15,Logistic Regression,0.9623878279770222,0.013799949397042575,0.9723189415043663,0.017698305148438138,0.968075117370892,0.022323979887526407,0.9699104147565457,0.011214758882717614,0.9944328589972219,0.0033465059777873407
Boruta,15,Random Forest,0.951845986648036,0.021826348420391772,0.9661479045205682,0.023876443977451936,0.957433489827856,0.027184413661054962,0.9614203174584094,0.017751585413842634,0.9876305615779084,0.007891587723438212
Boruta,15,XGBoost,0.9588697407234901,0.018971936124286902,0.9701877843440344,0.022255353090083273,0.9647026604068857,0.0249311531255643,0.9671043794226888,0.015289091742146712,0.9927924827171469,0.004564578872952167
Boruta,20,Logistic Regression,0.9739978264244682,0.012031280580688265,0.9775250679994416,0.017795508482845494,0.9815179968701095,0.014426437622070907,0.9793467335147551,0.009468170952199817,0.9953130713653151,0.00426006654974707
Boruta,20,Random Forest,0.9497469337059462,0.019688620566728286,0.9636131543255518,0.02474891051795384,0.9568466353677622,0.027945167531543202,0.95976355796756,0.016004924079705784,0.9891867159026511,0.007533059358471697
Boruta,20,XGBoost,0.9616798633752522,0.016619095349281868,0.9703348050739584,0.02180220403081218,0.969170579029734,0.022821745283492307,0.9694278766310507,0.013264344145794442,0.9931765658550787,0.004516307291439261
Boruta + DODA,5,Logistic Regression,0.9398975314392175,0.015362396478571091,0.9694122420767434,0.02158758226547136,0.9344287949921752,0.027744983194413778,0.9511290949717293,0.01289173953407248,0.9877192223106078,0.007920542323377076
Boruta + DODA,5,Random Forest,0.9335724266418258,0.02250931649830278,0.9567268554640672,0.030204186863350854,0.9377386541471049,0.030938580251091093,0.9465021058087162,0.018037330524105784,0.9811576846955983,0.011800084300047467
Boruta + DODA,5,XGBoost,0.9356839000155256,0.020531108896263424,0.9527750444063084,0.03039633130985285,0.9456025039123631,0.024869222884802568,0.9486409619896518,0.01616102086402595,0.9749017381636936,0.014720140128553133
Boruta + DODA,10,Logistic Regression,0.9427107591988821,0.017025481407630334,0.9711303644903866,0.020355095424965268,0.9372143974960876,0.030900831157443923,0.9533688805495752,0.01446528396879767,0.9883101754367722,0.007270234039981203
Boruta + DODA,10,Random Forest,0.9493867411892564,0.01778151614783594,0.963060530731689,0.024281997588307673,0.9568231611893583,0.025530699682893555,0.9595055061790104,0.014314479922353084,0.9847911911607458,0.009026887154997632
Boruta + DODA,10,XGBoost,0.9441235832945195,0.0159779853670559,0.9566264536183489,0.02474704456735788,0.9551799687010954,0.024183072185046332,0.9554525972884481,0.012700157014227784,0.9785089520759354,0.01174433104629952
Boruta + DODA,15,Logistic Regression,0.968731563421829,0.013166326509753848,0.9794917600821047,0.016231183682099998,0.9708763693270736,0.02056700462970925,0.974935576395405,0.010626465313955861,0.9927803080325189,0.0073288466035899506
Boruta + DODA,15,Random Forest,0.9606427573358174,0.01861678787217479,0.9708846383977386,0.022932402177248866,0.9669014084507042,0.02618471560959409,0.9685004198012769,0.01508988982493748,0.9897555791250519,0.008147331865596005
Boruta + DODA,15,XGBoost,0.9592454587796925,0.01713612741952845,0.9692183322429595,0.02111705920384045,0.9663615023474179,0.02745837651993408,0.9673696693535172,0.014120535484160309,0.9916192395544673,0.006411906549480582
Boruta + DODA,20,Logistic Regression,0.9775065983542928,0.011085149139795924,0.9818061766100504,0.01400068245374597,0.9826369327073553,0.016315781444438633,0.9820703002167079,0.0088507284925019,0.9953024347636205,0.004775587417879646
Boruta + DODA,20,Random Forest,0.9606396522279149,0.01793460906032172,0.9729529248030485,0.019993455785336036,0.964679186228482,0.030018203190640275,0.9683541254042727,0.01497837801321082,0.9910052000201034,0.006999776537149223
Boruta + DODA,20,XGBoost,0.9616953889147648,0.016398549936341822,0.9691125051190823,0.019055296917689354,0.9702895148669797,0.02298335157748757,0.9694280255581931,0.013352474985553735,0.9935281369526375,0.004094191766663475
