Fold,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
1,LASSO,5,Logistic Regression,0.9473684210526315,0.9850746268656716,0.9295774647887324,0.9565217391304348,0.9957418932197839,"worst radius, worst concave points, worst texture, radius error, mean concave points"
1,LASSO,5,Random Forest,0.956140350877193,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.9970520799213889,"worst radius, worst concave points, worst texture, radius error, mean concave points"
1,LASSO,5,XGBoost,0.9473684210526315,0.9710144927536232,0.9436619718309859,0.9571428571428572,0.9954143465443825,"worst radius, worst concave points, worst texture, radius error, mean concave points"
2,LASSO,5,Logistic Regression,0.956140350877193,0.9459459459459459,0.9859154929577465,0.9655172413793104,0.986570586308549,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness"
2,LASSO,5,Random Forest,0.9473684210526315,0.9452054794520548,0.971830985915493,0.9583333333333334,0.975761546020308,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness"
2,LASSO,5,XGBoost,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9862430396331477,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness"
3,LASSO,5,Logistic Regression,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9907407407407408,"worst radius, worst concave points, worst texture, mean concave points, radius error"
3,LASSO,5,Random Forest,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9849537037037037,"worst radius, worst concave points, worst texture, mean concave points, radius error"
3,LASSO,5,XGBoost,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9867724867724867,"worst radius, worst concave points, worst texture, mean concave points, radius error"
4,LASSO,5,Logistic Regression,0.956140350877193,1.0,0.9305555555555556,0.9640287769784173,0.9976851851851852,"worst radius, worst concave points, mean concave points, worst texture, radius error"
4,LASSO,5,Random Forest,0.9473684210526315,1.0,0.9166666666666666,0.9565217391304348,0.998015873015873,"worst radius, worst concave points, mean concave points, worst texture, radius error"
4,LASSO,5,XGBoost,0.9298245614035088,1.0,0.8888888888888888,0.9411764705882353,0.9986772486772486,"worst radius, worst concave points, mean concave points, worst texture, radius error"
5,LASSO,5,Logistic Regression,0.9734513274336283,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9986586183769282,"worst radius, worst concave points, mean concave points, worst texture, radius error"
5,LASSO,5,Random Forest,0.9734513274336283,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9932930918846411,"worst radius, worst concave points, mean concave points, worst texture, radius error"
5,LASSO,5,XGBoost,0.9557522123893806,0.9583333333333334,0.971830985915493,0.965034965034965,0.9953051643192488,"worst radius, worst concave points, mean concave points, worst texture, radius error"
1,LASSO,10,Logistic Regression,0.956140350877193,0.9714285714285714,0.9577464788732394,0.9645390070921985,0.9944317065181788,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst smoothness, worst symmetry, area error, compactness error, concave points error"
1,LASSO,10,Random Forest,0.956140350877193,1.0,0.9295774647887324,0.9635036496350365,0.9983622666229938,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst smoothness, worst symmetry, area error, compactness error, concave points error"
1,LASSO,10,XGBoost,0.9649122807017544,0.9855072463768116,0.9577464788732394,0.9714285714285714,0.9980347199475926,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst smoothness, worst symmetry, area error, compactness error, concave points error"
2,LASSO,10,Logistic Regression,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9980347199475925,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error"
2,LASSO,10,Random Forest,0.9473684210526315,0.9577464788732394,0.9577464788732394,0.9577464788732394,0.9901735997379628,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error"
2,LASSO,10,XGBoost,0.9736842105263158,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.99475925319358,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error"
3,LASSO,10,Logistic Regression,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9890873015873016,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error"
3,LASSO,10,Random Forest,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9895833333333334,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error"
3,LASSO,10,XGBoost,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9917328042328042,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error"
4,LASSO,10,Logistic Regression,0.9824561403508771,1.0,0.9722222222222222,0.9859154929577465,0.9996693121693121,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error"
4,LASSO,10,Random Forest,0.9385964912280702,1.0,0.9027777777777778,0.948905109489051,0.9948743386243386,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error"
4,LASSO,10,XGBoost,0.956140350877193,1.0,0.9305555555555556,0.9640287769784173,1.0,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error"
5,LASSO,10,Logistic Regression,0.9734513274336283,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9983232729711602,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst smoothness, worst concavity, worst symmetry, mean texture, area error"
5,LASSO,10,Random Forest,0.9823008849557522,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9951374916163649,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst smoothness, worst concavity, worst symmetry, mean texture, area error"
5,LASSO,10,XGBoost,0.9646017699115044,0.971830985915493,0.971830985915493,0.971830985915493,0.9902749832327297,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst smoothness, worst concavity, worst symmetry, mean texture, area error"
1,LASSO,15,Logistic Regression,0.9473684210526315,0.9710144927536232,0.9436619718309859,0.9571428571428572,0.996069439895185,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst smoothness, worst symmetry, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
1,LASSO,15,Random Forest,0.956140350877193,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.9978709466098918,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst smoothness, worst symmetry, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
