Method,Top_K,Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
LASSO,5,Logistic Regression,0.9578481602235677,0.009513590257713648,0.9724293809245761,0.021239052996826737,0.9608372456964005,0.02864266626065685,0.9661211955776905,0.008118831718735292,0.9938794047662374,0.005100582066927411
LASSO,5,Random Forest,0.9560937742586555,0.010648386827643672,0.9698776971976004,0.02396865771156452,0.9608372456964005,0.03014373553029288,0.9647782446041976,0.008868252020932561,0.9898152589091829,0.009392264600105579
LASSO,5,XGBoost,0.952553951249806,0.014656059960076833,0.9695422790270914,0.017820736117735526,0.955281690140845,0.0409444262833957,0.9616358509428615,0.013063987913727586,0.9924824571893028,0.005623014892208049
LASSO,10,Logistic Regression,0.9683744760130415,0.009971397864100904,0.9749554250924113,0.015101779318311467,0.9748043818466353,0.01173904522042361,0.9747839847030736,0.008061442444403768,0.9959092626387089,0.004278005136915212
LASSO,10,Random Forest,0.9578636857630803,0.01681669293227013,0.9806242862580892,0.020917560795356407,0.9524256651017214,0.036302692307673114,0.9657346941362202,0.014199108716296253,0.9936262059869987,0.0036924720339624657
LASSO,10,XGBoost,0.9648501785437045,0.0062042453057311805,0.9803565353473498,0.012423914648966495,0.9636541471048513,0.021013432786055254,0.9717063071131365,0.005310549510241953,0.9949603521213414,0.0041006089805624025
LASSO,15,Logistic Regression,0.9701599130569788,0.01590937949602474,0.9774949644928002,0.007796703031286649,0.9747652582159624,0.020904616599988362,0.9760624319827818,0.013060202282811042,0.9954472311907621,0.005049661324447026
LASSO,15,Random Forest,0.9631423691973297,0.018988455230697112,0.9805391348266245,0.0154318390485168,0.9608763693270734,0.038598044366596765,0.9700749210231964,0.015969269981528745,0.9932715045657232,0.004120140744109111
LASSO,15,XGBoost,0.9683589504735289,0.007881715640656187,0.9805098142291643,0.015568828522390863,0.9692488262910798,0.018110480348635747,0.9746434160518668,0.006313765294920033,0.9958300621992073,0.0034879669124883088
LASSO,20,Logistic Regression,0.9771774569166279,0.01591793748683278,0.9832418375293273,0.0114993228908479,0.9803208137715179,0.02357973787999614,0.9816350237541819,0.013100736991222457,0.9959051683052665,0.005547410923192406
LASSO,20,Random Forest,0.9560937742586555,0.013796191317829892,0.9728228228228228,0.028668457213417594,0.9580203442879499,0.03269972618080971,0.9646746490887026,0.01122751890927334,0.992203511768284,0.0038076500335378497
LASSO,20,XGBoost,0.9666045645086166,0.003959925737404994,0.9777711600820596,0.015584570673490308,0.9692488262910798,0.018110480348635747,0.9732645132645132,0.0032423372776812843,0.9948392551692585,0.00477071103306981
LASSO + DODA,5,Logistic Regression,0.9578481602235677,0.009513590257713648,0.9724293809245761,0.021239052996826737,0.9608372456964005,0.02864266626065685,0.9661211955776905,0.008118831718735292,0.9938794047662374,0.005100582066927411
LASSO + DODA,5,Random Forest,0.9578481602235677,0.00951359025771366,0.9725032679738563,0.021142800837506723,0.9608372456964005,0.03014373553029288,0.9661185709445238,0.008126041875115102,0.9890172104981308,0.009503704005351284
LASSO + DODA,5,XGBoost,0.952553951249806,0.014656059960076833,0.9695422790270914,0.017820736117735526,0.955281690140845,0.0409444262833957,0.9616358509428615,0.013063987913727586,0.9924824571893028,0.005623014892208049
LASSO + DODA,10,Logistic Regression,0.9631268436578171,0.012953362449070744,0.9779146359306612,0.01808471329614033,0.9636541471048513,0.03202717853968962,0.9702581942029695,0.010977262192638856,0.9960361869754271,0.0052344616325155245
LASSO + DODA,10,Random Forest,0.9596180717279925,0.015879504053418807,0.9778523260776781,0.020082842478718086,0.957981220657277,0.03286658597671064,0.9673333519797062,0.013396448278163166,0.9898434209910626,0.009136357388812346
LASSO + DODA,10,XGBoost,0.9596180717279925,0.013236763053538223,0.9699913353997861,0.023866217326578617,0.9664710485133021,0.030407644864744968,0.9676959750235026,0.01089094088830723,0.9908018524584199,0.009330910771558896
LASSO + DODA,15,Logistic Regression,0.971914299021891,0.011404457280591238,0.9810030441400304,0.020477742694870505,0.9748043818466353,0.028656023097385425,0.9774528232292207,0.009375639607746875,0.995706755606854,0.006039245829022137
LASSO + DODA,15,Random Forest,0.9578481602235678,0.014350210063347814,0.9724788815021096,0.02145087374897483,0.9608763693270734,0.03452895916460326,0.9660581465995925,0.012182031937790883,0.9921748297710467,0.00465396235363737
LASSO + DODA,15,XGBoost,0.9631113181183046,0.011383963556648193,0.9778396043101925,0.015391495979897373,0.9636541471048513,0.03202717853968962,0.9702390427753675,0.009830611530756683,0.9941070843666651,0.005680254011130949
LASSO + DODA,20,Logistic Regression,0.9701599130569788,0.013272588410008885,0.9755355518799685,0.021653945439691333,0.9775821596244132,0.025473810238068825,0.976190873887185,0.010761241283732681,0.9947864837604439,0.006525061159170201
LASSO + DODA,20,Random Forest,0.9631113181183046,0.00954574511683499,0.980702533519435,0.018348519403764637,0.9608372456964005,0.03014373553029288,0.9701981873093114,0.00827648999528883,0.9901000208832669,0.007466758733295658
LASSO + DODA,20,XGBoost,0.9683744760130415,0.0078073938635553584,0.9807807807807807,0.018302003762432673,0.9692488262910798,0.024846354869682053,0.9746181481866906,0.00650768373043171,0.9927772058708841,0.007055924109594738
