Fold,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
1,mRMR,5,Logistic Regression,0.9385964912280702,1.0,0.9014084507042254,0.9481481481481482,0.9977071732721913,"worst concave points, worst radius, worst perimeter, mean concave points, mean perimeter"
1,mRMR,5,Random Forest,0.9473684210526315,0.9850746268656716,0.9295774647887324,0.9565217391304348,0.9927939731411726,"worst concave points, worst radius, worst perimeter, mean concave points, mean perimeter"
1,mRMR,5,XGBoost,0.9298245614035088,0.9846153846153847,0.9014084507042254,0.9411764705882353,0.9954143465443825,"worst concave points, worst radius, worst perimeter, mean concave points, mean perimeter"
2,mRMR,5,Logistic Regression,0.9210526315789473,0.918918918918919,0.9577464788732394,0.9379310344827586,0.9787094660989191,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter"
2,mRMR,5,Random Forest,0.9122807017543859,0.9066666666666666,0.9577464788732394,0.9315068493150684,0.959711758925647,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter"
2,mRMR,5,XGBoost,0.9122807017543859,0.9066666666666666,0.9577464788732394,0.9315068493150684,0.9490664919751065,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter"
3,mRMR,5,Logistic Regression,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9778439153439153,"worst perimeter, worst concave points, worst radius, mean concave points, mean perimeter"
3,mRMR,5,Random Forest,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9704034391534391,"worst perimeter, worst concave points, worst radius, mean concave points, mean perimeter"
3,mRMR,5,XGBoost,0.9298245614035088,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9599867724867724,"worst perimeter, worst concave points, worst radius, mean concave points, mean perimeter"
4,mRMR,5,Logistic Regression,0.956140350877193,1.0,0.9305555555555556,0.9640287769784173,0.9937169312169312,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter"
