Method,Top_K,Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
mRMR,5,Logistic Regression,0.9455519329296692,0.01678469875142704,0.9672312723682588,0.03402270372869142,0.94679186228482,0.032043483575037945,0.9561327030329758,0.013426813098541384,0.9889918754560091,0.009901109518279504
mRMR,5,Random Forest,0.9402732494954199,0.016782993315007426,0.9562190399354579,0.032522047088988364,0.9496087636932706,0.025287609455017145,0.9523215901678587,0.012874815853715926,0.9792358695671011,0.014447894060908196
mRMR,5,XGBoost,0.9315013196708586,0.01554004911187277,0.9557816627816628,0.03249457664539905,0.935641627543036,0.03212369341705192,0.944838342977992,0.0123195903000953,0.9743496292136973,0.0195991597871604
mRMR,10,Logistic Regression,0.943797546964757,0.01318060242569093,0.9723363774733638,0.025908603862356234,0.9384194053208137,0.04155433328141172,0.9541616247112488,0.011969691357105808,0.9895197195229949,0.009708062537787769
mRMR,10,Random Forest,0.9455364073901569,0.016813395899840516,0.961372193088611,0.027105278269127137,0.9523865414710485,0.028897774054658695,0.956346153228794,0.013452584468596247,0.9835521852042486,0.011396364066653958
mRMR,10,XGBoost,0.9367800031051079,0.025032471123659958,0.9526621993444007,0.02220740027183606,0.9468701095461659,0.03724807990690179,0.9493116395994093,0.02067757128728761,0.9770153002424538,0.015320647686101637
mRMR,15,Logistic Regression,0.9613724576929048,0.014622635244788192,0.9749766609848795,0.01782859102200243,0.9635758998435054,0.029113738766235575,0.9688821280538769,0.01218551475394985,0.9956515795895096,0.004364241071380007
mRMR,15,Random Forest,0.9578481602235677,0.011357014397066661,0.9694950792855709,0.01730140789256073,0.9636150234741784,0.02530780327256576,0.9662257372403229,0.009407440640478774,0.9873298143728867,0.010168838824070187
mRMR,15,XGBoost,0.952553951249806,0.009968950009044209,0.961057680208709,0.010937943511544097,0.9636541471048513,0.01850345070905471,0.9622142271184358,0.008170990940691044,0.9916995729761862,0.003929714200646574
mRMR,20,Logistic Regression,0.9771774569166279,0.009974328455623254,0.9837087087087089,0.017605865443924115,0.9803990610328638,0.02733633336384357,0.981671320941307,0.008333174998418496,0.9962969678536334,0.0061038150919446
mRMR,20,Random Forest,0.9613569321533924,0.009930339455710663,0.978003003003003,0.020808123968010992,0.9608372456964005,0.03014373553029288,0.9688389831332058,0.008496422770388572,0.9917688192029004,0.005413683433028682
mRMR,20,XGBoost,0.9578326346840551,0.007265844674802551,0.9699901689809834,0.023805822172574688,0.9636541471048513,0.028763984887179073,0.9662569864823265,0.00618890629163837,0.9929195110369365,0.005193965527515756
mRMR + DODA,5,Logistic Regression,0.9455519329296692,0.01678469875142704,0.9672312723682588,0.03402270372869142,0.94679186228482,0.032043483575037945,0.9561327030329758,0.013426813098541384,0.9892564257205594,0.009539859244936864
mRMR + DODA,5,Random Forest,0.9455364073901569,0.016813395899840516,0.961372193088611,0.027105278269127137,0.9523865414710485,0.028897774054658695,0.956346153228794,0.013452584468596247,0.9818444257274915,0.016694579137748897
mRMR + DODA,5,XGBoost,0.9315013196708586,0.016732199581134952,0.9554690743046909,0.03052471024803284,0.935641627543036,0.027099292810289576,0.9448911300139153,0.013076979932434098,0.9753266151603851,0.01831433458509262
mRMR + DODA,10,Logistic Regression,0.943797546964757,0.01318060242569093,0.9723363774733638,0.025908603862356234,0.9384194053208137,0.04155433328141172,0.9541616247112488,0.011969691357105808,0.9895197195229949,0.009708062537787769
mRMR + DODA,10,Random Forest,0.9420276354603322,0.023643554031038183,0.9583405598111481,0.024549847681754652,0.9496478873239436,0.037465753736838144,0.9534267496212452,0.019527598047538897,0.9844524728040941,0.011156923155423909
mRMR + DODA,10,XGBoost,0.9367800031051079,0.025032471123659958,0.9526621993444007,0.02220740027183606,0.9468701095461659,0.03724807990690179,0.9493116395994093,0.02067757128728761,0.9763446094309179,0.015329079714449356
mRMR + DODA,15,Logistic Regression,0.9613724576929048,0.014622635244788192,0.9749766609848795,0.01782859102200243,0.9635758998435054,0.029113738766235575,0.9688821280538769,0.01218551475394985,0.9947256536635836,0.006207123504386143
mRMR + DODA,15,Random Forest,0.9631113181183046,0.011383963556648193,0.9753774322267473,0.024424504237178964,0.9664319248826292,0.023230263149952725,0.9704806190491615,0.009077641885073357,0.9878866762157787,0.010316747152449565
mRMR + DODA,15,XGBoost,0.956078248719143,0.012351149730017476,0.9586293026578575,0.009434345860934668,0.9720266040688577,0.01697149548258529,0.9652076464492054,0.009943404092490284,0.9919417668803518,0.004460994226995981
mRMR + DODA,20,Logistic Regression,0.9771774569166279,0.009974328455623254,0.9837087087087089,0.017605865443924115,0.9803990610328638,0.02733633336384357,0.981671320941307,0.008333174998418496,0.9960349305133123,0.006038334759945608
mRMR + DODA,20,Random Forest,0.9648501785437045,0.010744273482219171,0.980702533519435,0.018348519403764665,0.9636541471048513,0.028763984887179073,0.9716787419959969,0.009081957920614015,0.9887398681494652,0.009196626918403113
mRMR + DODA,20,XGBoost,0.9543083372147182,0.0073179495032649295,0.9671425451657732,0.024469231977633375,0.9608372456964005,0.026650918428770022,0.9634610006970256,0.006057711715938681,0.9937155881022569,0.005054157662613159
