Method,Top_K,Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
mRMR,5,Logistic Regression,0.9465766185374942,0.018965030646265396,0.9692518035034594,0.0230255328005839,0.9456338028169015,0.030702024569014708,0.95678270989874,0.015898647832518778,0.9880456468353619,0.006963631112456366
mRMR,5,Random Forest,0.9388417947523676,0.01671481463438278,0.9574969871034302,0.026836654244104224,0.9456259780907668,0.027851981420976387,0.9509419878714034,0.013542485290760587,0.9803731800796163,0.009801286834718174
mRMR,5,XGBoost,0.9349759354137557,0.01681145859175663,0.9524016781899267,0.02489891269698466,0.9445148669796558,0.02701608041765605,0.947931288067624,0.01357200693994348,0.9772879763507833,0.012848113745190492
mRMR,10,Logistic Regression,0.9427107591988821,0.017025481407630334,0.9711303644903866,0.020355095424965268,0.9372143974960876,0.030900831157443923,0.9533688805495752,0.01446528396879767,0.9883101754367722,0.007270234039981203
mRMR,10,Random Forest,0.9476168296848315,0.018389300847379865,0.9645534431793551,0.024450966110177393,0.9523317683881064,0.027724961175416334,0.9579304675192593,0.014870319898303855,0.9849779035972943,0.00894957200473173
mRMR,10,XGBoost,0.9441173730787145,0.016394066739265672,0.9565951054797046,0.02431151564859268,0.9551721439749609,0.025195706748387052,0.955433002243405,0.01317895407629926,0.9791943261637006,0.011382499288801827
mRMR,15,Logistic Regression,0.9648688091911194,0.013853627776869309,0.9755717994604259,0.017023575623132815,0.9686228482003131,0.01954460967382978,0.9718732099834265,0.011164302446346449,0.9954435311264659,0.0035722571950212436
mRMR,15,Random Forest,0.9588790560471976,0.016749236687337927,0.9686923058832382,0.02159133840724922,0.9663615023474179,0.025552920324567466,0.9671407605547165,0.01355576015490356,0.9886632282931005,0.008468628313646866
mRMR,15,XGBoost,0.9588821611551002,0.016935648318492445,0.9696167707175708,0.020122954938391138,0.9652660406885759,0.02531908311234228,0.9670893236943816,0.01387182789259357,0.9934890479829883,0.003908415597063268
mRMR,20,Logistic Regression,0.9771526160534079,0.01368516570529138,0.9812277368654907,0.014706279055571541,0.9826447574334898,0.017733725184939667,0.9817908827478782,0.010925629058339454,0.9954609699540914,0.004816410253673843
mRMR,20,Random Forest,0.95993789784195,0.014992581512545278,0.9733537301619254,0.01887059470945225,0.9630125195618153,0.02384723025964882,0.9678382200845889,0.012303771712421167,0.9915055448972907,0.00654576052497346
mRMR,20,XGBoost,0.9602887750349325,0.013664552771124609,0.9687001979811634,0.0201301515464695,0.9686071987480439,0.02257364270904748,0.9683142264064071,0.011047696926272658,0.9931573549826088,0.0046290334926916065
mRMR + DODA,5,Logistic Regression,0.9455146716348394,0.0184848256168818,0.9691467462859952,0.023147385812639868,0.9439514866979656,0.028395370354052058,0.9559237088960336,0.015350223490046864,0.9882715153972933,0.006707992244950861
mRMR + DODA,5,Random Forest,0.9391833566216425,0.018308306093571123,0.9571218757319704,0.028619573295469873,0.9467449139280126,0.02890128738779739,0.9512796009274495,0.014740598738990487,0.9806229517501218,0.010679810915198476
mRMR + DODA,5,XGBoost,0.9339170936190032,0.01934212023449366,0.9519990947158518,0.027593675290390196,0.9433802816901408,0.029610965263409193,0.9470780412448722,0.015659716411083126,0.9760823901202218,0.013930254054161156
mRMR + DODA,10,Logistic Regression,0.9427107591988821,0.017025481407630334,0.9711303644903866,0.020355095424965268,0.9372143974960876,0.030900831157443923,0.9533688805495752,0.01446528396879767,0.9883101754367722,0.007270234039981203
mRMR + DODA,10,Random Forest,0.9497345132743362,0.018010687049700578,0.963111544247334,0.024209397897493608,0.9573943661971831,0.027225380943203176,0.959778899253151,0.014603627545154358,0.9849224719548991,0.009237565593274273
mRMR + DODA,10,XGBoost,0.9441173730787145,0.016394066739265672,0.9565951054797046,0.02431151564859268,0.9551721439749609,0.025195706748387052,0.955433002243405,0.01317895407629926,0.9790760974113414,0.011577145849464851
mRMR + DODA,15,Logistic Regression,0.9648688091911194,0.015178813491296362,0.9744376337354826,0.01631802272647455,0.9697652582159624,0.02045972314054561,0.9719020382268969,0.012227418943489776,0.9949417651473007,0.004500026817490135
mRMR + DODA,15,Random Forest,0.9585343890700202,0.018515869554550424,0.9702078508641185,0.022144936028110178,0.9641471048513303,0.02613525637611053,0.9667951455982059,0.015088462203705562,0.9893536953850579,0.00789067655296107
mRMR + DODA,15,XGBoost,0.95993789784195,0.015208672617022261,0.9675586078064373,0.019231843683986363,0.9691549295774649,0.0236296635065802,0.9680367245127408,0.01239166257327077,0.9933068219827146,0.004449494776165464
mRMR + DODA,20,Logistic Regression,0.9775065983542928,0.01321924095667062,0.9812279512415492,0.014180035737476742,0.9832003129890454,0.01761073362640507,0.9820705773665722,0.01057567181571685,0.9953954606190112,0.004811018015473828
mRMR + DODA,20,Random Forest,0.9595808104331626,0.018104524390072117,0.9714356155108916,0.02285117786242951,0.9647026604068857,0.027389107674687052,0.9676239509092546,0.014688666580907807,0.9909832292636093,0.007502077694631983
mRMR + DODA,20,XGBoost,0.959931687626145,0.015438183834859056,0.9681581683941719,0.02059529278823125,0.9685915492957747,0.02472610621238708,0.968007283078243,0.012671898703141097,0.9933298585656922,0.004540241820942297
