Fold,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
1,RF,5,Logistic Regression,0.9385964912280702,1.0,0.9014084507042254,0.9481481481481482,0.9977071732721913,"worst area, worst concave points, mean concave points, worst perimeter, worst radius"
1,RF,5,Random Forest,0.9385964912280702,0.9848484848484849,0.9154929577464789,0.948905109489051,0.9963969865705864,"worst area, worst concave points, mean concave points, worst perimeter, worst radius"
1,RF,5,XGBoost,0.9385964912280702,0.9848484848484849,0.9154929577464789,0.948905109489051,0.9967245332459875,"worst area, worst concave points, mean concave points, worst perimeter, worst radius"
2,RF,5,Logistic Regression,0.9210526315789473,0.918918918918919,0.9577464788732394,0.9379310344827586,0.9777268260727154,"worst area, worst concave points, worst perimeter, mean concave points, mean perimeter"
2,RF,5,Random Forest,0.9122807017543859,0.9066666666666666,0.9577464788732394,0.9315068493150684,0.9695381591876842,"worst area, worst concave points, worst perimeter, mean concave points, mean perimeter"
2,RF,5,XGBoost,0.9122807017543859,0.9178082191780822,0.9436619718309859,0.9305555555555556,0.9503766786767114,"worst area, worst concave points, worst perimeter, mean concave points, mean perimeter"
3,RF,5,Logistic Regression,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9791666666666666,"worst area, worst concave points, worst perimeter, mean concave points, worst radius"
3,RF,5,Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9740410052910053,"worst area, worst concave points, worst perimeter, mean concave points, worst radius"
3,RF,5,XGBoost,0.9210526315789473,0.9315068493150684,0.9444444444444444,0.9379310344827586,0.957010582010582,"worst area, worst concave points, worst perimeter, mean concave points, worst radius"
4,RF,5,Logistic Regression,0.9473684210526315,1.0,0.9166666666666666,0.9565217391304348,0.9937169312169312,"worst area, mean concave points, worst concave points, worst perimeter, mean concavity"
4,RF,5,Random Forest,0.9385964912280702,0.9850746268656716,0.9166666666666666,0.9496402877697842,0.9877645502645502,"worst area, mean concave points, worst concave points, worst perimeter, mean concavity"
4,RF,5,XGBoost,0.9385964912280702,0.9850746268656716,0.9166666666666666,0.9496402877697842,0.9874338624338624,"worst area, mean concave points, worst concave points, worst perimeter, mean concavity"
5,RF,5,Logistic Regression,0.9734513274336283,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9969818913480886,"worst area, worst concave points, mean concave points, worst perimeter, mean concavity"
5,RF,5,Random Forest,0.9557522123893806,0.9583333333333334,0.971830985915493,0.965034965034965,0.983568075117371,"worst area, worst concave points, mean concave points, worst perimeter, mean concavity"
5,RF,5,XGBoost,0.9646017699115044,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9825620389000671,"worst area, worst concave points, mean concave points, worst perimeter, mean concavity"
1,RF,10,Logistic Regression,0.9473684210526315,1.0,0.9154929577464789,0.9558823529411765,0.9990173599737963,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean perimeter, mean radius, mean area, mean concavity, area error"
1,RF,10,Random Forest,0.956140350877193,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.9970520799213888,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean perimeter, mean radius, mean area, mean concavity, area error"
1,RF,10,XGBoost,0.9473684210526315,0.9850746268656716,0.9295774647887324,0.9565217391304348,0.9973796265967901,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean perimeter, mean radius, mean area, mean concavity, area error"
2,RF,10,Logistic Regression,0.9385964912280702,0.9444444444444444,0.9577464788732394,0.951048951048951,0.9796921061251228,"worst area, worst concave points, worst perimeter, mean concave points, mean perimeter, mean area, worst radius, mean concavity, mean radius, worst concavity"
2,RF,10,Random Forest,0.9210526315789473,0.918918918918919,0.9577464788732394,0.9379310344827586,0.9710121192269898,"worst area, worst concave points, worst perimeter, mean concave points, mean perimeter, mean area, worst radius, mean concavity, mean radius, worst concavity"
2,RF,10,XGBoost,0.9122807017543859,0.9178082191780822,0.9436619718309859,0.9305555555555556,0.951850638716017,"worst area, worst concave points, worst perimeter, mean concave points, mean perimeter, mean area, worst radius, mean concavity, mean radius, worst concavity"
3,RF,10,Logistic Regression,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9814814814814815,"worst area, worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, mean concavity, mean area, area error, mean radius"
3,RF,10,Random Forest,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9818121693121693,"worst area, worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, mean concavity, mean area, area error, mean radius"
3,RF,10,XGBoost,0.9385964912280702,0.9452054794520548,0.9583333333333334,0.9517241379310345,0.9675925925925926,"worst area, worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, mean concavity, mean area, area error, mean radius"
4,RF,10,Logistic Regression,0.9210526315789473,0.9701492537313433,0.9027777777777778,0.935251798561151,0.9923941798941799,"worst area, mean concave points, worst concave points, worst perimeter, mean concavity, worst radius, mean perimeter, mean area, mean radius, area error"
4,RF,10,Random Forest,0.9298245614035088,0.9848484848484849,0.9027777777777778,0.9420289855072463,0.9910714285714286,"worst area, mean concave points, worst concave points, worst perimeter, mean concavity, worst radius, mean perimeter, mean area, mean radius, area error"
4,RF,10,XGBoost,0.9210526315789473,0.9701492537313433,0.9027777777777778,0.935251798561151,0.9894179894179894,"worst area, mean concave points, worst concave points, worst perimeter, mean concavity, worst radius, mean perimeter, mean area, mean radius, area error"
5,RF,10,Logistic Regression,0.9646017699115044,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9969818913480886,"worst area, worst concave points, mean concave points, worst perimeter, mean concavity, worst radius, mean perimeter, mean area, worst concavity, mean radius"
5,RF,10,Random Forest,0.9557522123893806,0.9583333333333334,0.971830985915493,0.965034965034965,0.9854124748490946,"worst area, worst concave points, mean concave points, worst perimeter, mean concavity, worst radius, mean perimeter, mean area, worst concavity, mean radius"
5,RF,10,XGBoost,0.9646017699115044,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9788732394366197,"worst area, worst concave points, mean concave points, worst perimeter, mean concavity, worst radius, mean perimeter, mean area, worst concavity, mean radius"
1,RF,15,Logistic Regression,0.9385964912280702,0.9848484848484849,0.9154929577464789,0.948905109489051,0.99737962659679,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean perimeter, mean radius, mean area, mean concavity, area error, worst concavity, mean texture, worst texture, radius error, worst compactness"
1,RF,15,Random Forest,0.956140350877193,1.0,0.9295774647887324,0.9635036496350365,0.9970520799213888,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean perimeter, mean radius, mean area, mean concavity, area error, worst concavity, mean texture, worst texture, radius error, worst compactness"
