Method,Top_K,Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
RF,5,Logistic Regression,0.9455674584691817,0.01893124535401204,0.9698948948948949,0.03372784825523422,0.9440140845070422,0.03432371216231782,0.9559910468231309,0.015197210457998826,0.9890598977153185,0.009817533449747761
RF,5,Random Forest,0.94027324949542,0.01789251913608308,0.9587654442606395,0.03196477229062159,0.94679186228482,0.028639192462731156,0.9521208905976358,0.01403271952764163,0.9822617552862394,0.010738512649569118
RF,5,XGBoost,0.9350256171401956,0.020080006210514485,0.9556284579592695,0.030593460058158172,0.9412363067292645,0.028630372467363014,0.9478508419038743,0.015778207157437895,0.974821539053442,0.02008425118810161
RF,10,Logistic Regression,0.943797546964757,0.015832720333257954,0.9663662282196324,0.02089447956275502,0.9440532081377151,0.03414391447681589,0.9545477316213669,0.013351723770237512,0.9899134037645337,0.008868089202377841
RF,10,Random Forest,0.9455364073901569,0.01896409856892237,0.961370862841451,0.027104282165381063,0.9524256651017214,0.03194253372621927,0.9563253003458829,0.015353260880080533,0.9852720543762142,0.009845532183772189
RF,10,XGBoost,0.9367800031051079,0.020838851418427447,0.9554283377632385,0.025629421417005544,0.9440532081377151,0.031103593959168598,0.9492550906800796,0.016823750394486497,0.9770228173520017,0.01798632641314148
RF,15,Logistic Regression,0.9613724576929048,0.015883791673452434,0.9751629587246026,0.017522791025662593,0.9636150234741784,0.03786790542102963,0.9687739919053658,0.01364198352259314,0.9955167915330051,0.005050401617391082
RF,15,Random Forest,0.9578326346840551,0.011390313941476205,0.9754072930735095,0.024351214891207625,0.957981220657277,0.03414262560111172,0.9659563089497982,0.00966405517968354,0.9893395146936745,0.007439520438273076
RF,15,XGBoost,0.9543238627542306,0.01435761988492689,0.9666512875146452,0.022544810638603807,0.9607981220657276,0.011600667795459643,0.9635520500520036,0.011186118867076262,0.99273136666684,0.004494074266737825
RF,20,Logistic Regression,0.9754230709517155,0.009577288676050563,0.9836346620593195,0.017662991697639605,0.9776212832550861,0.025489953647987368,0.9802731159342215,0.007939288242658087,0.9961672056455875,0.005711342025742438
RF,20,Random Forest,0.9613414066138798,0.009975234649818688,0.9780328638497652,0.020717318313367195,0.9607981220657276,0.03170752435753798,0.968798803913842,0.008594849693275258,0.9925343729040913,0.005429363253688117
RF,20,XGBoost,0.9595870206489675,0.011734832970957638,0.9671539641402654,0.024611601555900295,0.9692488262910798,0.015126229839146202,0.9679223281656973,0.008954372725113671,0.9935851760000138,0.005039770690749435
RF + DODA,5,Logistic Regression,0.9473218444340941,0.0195366414698778,0.9698948948948949,0.03372784825523422,0.94679186228482,0.032043483575037945,0.9574924543927272,0.015627485171107965,0.9890598977153185,0.009817533449747761
RF + DODA,5,Random Forest,0.943797546964757,0.02280326003263053,0.9589906694858648,0.03196493381659605,0.9524256651017214,0.036302692307673114,0.9549765071801998,0.018227380918745414,0.9810894544701456,0.011150215654811032
RF + DODA,5,XGBoost,0.9332712311752832,0.020073222748928865,0.9555832295558323,0.030539163681329747,0.9384585289514866,0.03207648632516072,0.9463285814513668,0.01592884800748069,0.9740940258259287,0.01957254309090849
RF + DODA,10,Logistic Regression,0.943797546964757,0.01318060242569093,0.9723363774733638,0.025908603862356234,0.9384194053208137,0.04155433328141172,0.9541616247112488,0.011969691357105808,0.9895197195229949,0.009708062537787769
RF + DODA,10,Random Forest,0.9455364073901569,0.014343762715471253,0.9637773789465973,0.022370376716779255,0.9496478873239436,0.028722447656244324,0.9562108826688768,0.011886625773094342,0.984547324862179,0.01141012344889476
RF + DODA,10,XGBoost,0.9367800031051079,0.024251829500748077,0.9530073498888971,0.0273029132456335,0.9468701095461659,0.03724807990690179,0.949344747804241,0.01985486841283533,0.9767601517806235,0.017012945207693662
RF + DODA,15,Logistic Regression,0.9631268436578171,0.015644051635814372,0.9751629587246026,0.017522791025662593,0.9663928012519563,0.035255905456616124,0.9702539507953967,0.013397697506325369,0.9952522412684548,0.005605448436195181
RF + DODA,15,Random Forest,0.9613569321533924,0.011708331141933037,0.9751699346405228,0.017616173650808354,0.9635758998435054,0.032172020692849225,0.9688588575137063,0.009987875478413845,0.9909413414162842,0.00598599866330475
RF + DODA,15,XGBoost,0.9543238627542306,0.016825219214235455,0.9667852141049359,0.022367504255751337,0.9607589984350546,0.02681453274426363,0.9634077802431811,0.013528831077853127,0.9929952887003329,0.0033697754585116702
RF + DODA,20,Logistic Regression,0.9771774569166279,0.009974328455623254,0.9837087087087089,0.017605865443924115,0.9803990610328638,0.02733633336384357,0.981671320941307,0.008333174998418496,0.9960349305133123,0.0060026943429514834
RF + DODA,20,Random Forest,0.9578326346840553,0.014376578331870782,0.977927841018715,0.02297086032681704,0.9552425665101723,0.03312809454365049,0.9658788532638173,0.012116625875761965,0.9920681171438623,0.0053719181889402105
RF + DODA,20,XGBoost,0.9613414066138798,0.009975234649818688,0.9672981082844097,0.024457969861352253,0.9720266040688577,0.01697149548258529,0.9693387851594538,0.0076339862483989765,0.9939152355996445,0.004614563585492248
