Method,Top_K,Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
RF,5,Logistic Regression,0.9455270920664494,0.021511972637045535,0.9692452818387326,0.02590340856499835,0.9439593114241002,0.03006475163612447,0.9559321161360599,0.017762030744416436,0.9882585261786048,0.006931096864509085
RF,5,Random Forest,0.9391833566216425,0.0209397636143242,0.957496503181671,0.028888387888391,0.9461815336463224,0.02770975161323619,0.9512666020046343,0.016763819605385512,0.9815796631641702,0.009645711110710619
RF,5,XGBoost,0.9416550225120323,0.019460413788157122,0.956972904126692,0.026037731991935174,0.9506572769953051,0.026664907021024552,0.9533441194108835,0.01569889319243649,0.9784395455419858,0.014204772845830974
RF,10,Logistic Regression,0.9434125135848471,0.015232898342884904,0.9705034227243554,0.0185891885008402,0.9389201877934272,0.027103486373558135,0.9540571590528805,0.01277021131887456,0.9897888190469258,0.005989929650565813
RF,10,Random Forest,0.9472721627076541,0.017927338749573283,0.9618627023050073,0.022712129430101632,0.9545696400625978,0.029534037677023613,0.9577061082624624,0.01476988458618147,0.9858033688782133,0.008696838935415403
RF,10,XGBoost,0.9420183201366247,0.015155634542618186,0.9554115537824817,0.02395782791363569,0.9529186228482003,0.023194484397345973,0.9537464206527373,0.012131247197725029,0.9808203137862489,0.01267957968046837
RF,15,Logistic Regression,0.9623940381928271,0.011753528997442383,0.9728292590108829,0.0158457611004831,0.9675273865414711,0.02201341703300636,0.96989517493386,0.009611563989939263,0.9946458553214204,0.004158645818253708
RF,15,Random Forest,0.9567831082130104,0.021155084890680576,0.9697654484207806,0.025678636613036508,0.9618857589984351,0.027555247843341894,0.9653761264016296,0.017091315323272117,0.9902734343182263,0.007681760998354015
RF,15,XGBoost,0.9571246700822853,0.017058803848917777,0.9694705589287581,0.020123390736325183,0.962433489827856,0.024248004415791054,0.9656253229525533,0.01398294464679188,0.9931576062750318,0.004562236561037896
RF,20,Logistic Regression,0.9778574755472752,0.011383166862530497,0.982331702135576,0.01390153044288948,0.9826447574334898,0.01580280319250504,0.982350430494798,0.009084525891952855,0.9956721899008174,0.004431985682225566
RF,20,Random Forest,0.9588883713709052,0.019390188405476693,0.9714430527216962,0.023721203584648833,0.9635602503912364,0.02855519870859234,0.9670304998370767,0.015773333884080285,0.9917593762402147,0.006572815123335682
RF,20,XGBoost,0.9623909330849247,0.01710370198960281,0.9701976498662818,0.019743164519652488,0.9702973395931143,0.021883723924839865,0.9699996759100589,0.013876629019037402,0.99357387217361,0.004137699093184529
RF + DODA,5,Logistic Regression,0.9451668995497593,0.022035795726841473,0.968630813869426,0.02570532789781637,0.9439514866979656,0.029815308405305527,0.9556582128496549,0.018136722925670024,0.9882182240731209,0.006940691609327168
RF + DODA,5,Random Forest,0.9402421984163949,0.02212947684752637,0.9566593137536539,0.029926767646235114,0.9489827856025039,0.030511363405439012,0.952184632104797,0.017732733057844417,0.9804798883741727,0.009805997853737555
RF + DODA,5,XGBoost,0.9391988821611551,0.020575260899658353,0.9563253508553976,0.02641000883417144,0.9473239436619718,0.0292423251986313,0.9512882203563376,0.016714319314505236,0.9775102358336063,0.013765609473326319
RF + DODA,10,Logistic Regression,0.9427107591988821,0.017025481407630334,0.9711303644903866,0.020355095424965268,0.9372143974960876,0.030900831157443923,0.9533688805495752,0.01446528396879767,0.9883101754367722,0.007270234039981203
RF + DODA,10,Random Forest,0.9490296537804689,0.0177427127413313,0.9626257058488145,0.024701501379267805,0.9568075117370892,0.0279678665499037,0.9592051095763894,0.014347995877653152,0.9850420958134682,0.008759727351806381
RF + DODA,10,XGBoost,0.9455239869585468,0.015609478494422482,0.9572273544407167,0.02421540982398599,0.9568388106416275,0.025486780836297733,0.9565637547703589,0.012573098192004513,0.9795403731605827,0.011768356873541361
RF + DODA,15,Logistic Regression,0.9623971433007297,0.01088692134587468,0.974414461005177,0.014895318080695052,0.9658215962441316,0.02184630337956031,0.9698311518860193,0.009007339241261,0.9950470263441111,0.00415838590265094
RF + DODA,15,Random Forest,0.9571308802980902,0.020139753752705304,0.9686576733119624,0.02388329623782917,0.9635680751173709,0.0276633327026895,0.9656886678308402,0.016295661097063645,0.9907346187374029,0.006964690206746187
RF + DODA,15,XGBoost,0.9613476168296847,0.01599942000436752,0.9718553560535151,0.019243681476262244,0.966924882629108,0.026524715570843595,0.9690076620917093,0.013270382441702209,0.9939665035865494,0.003770842119572833
RF + DODA,20,Logistic Regression,0.9789101071262226,0.010471487260453518,0.9823773816178751,0.01386742251456127,0.9843114241001565,0.015321826463286272,0.9832010866879198,0.00836256747652327,0.9955405300017156,0.004693999004663241
RF + DODA,20,Random Forest,0.9585374941779228,0.0179757618162358,0.9714791181594365,0.02421150286180027,0.9630203442879499,0.026998227465756506,0.9667715497473744,0.014553922070603529,0.9914854241729446,0.006101559154151023
RF + DODA,20,XGBoost,0.9630926874708896,0.016433529946652113,0.9702624982763356,0.019285980745723772,0.9714006259780907,0.02304270584048849,0.9705538838911119,0.013395244541624067,0.9935990750705785,0.004198020444785913
