Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Boruta + DODA,5,Logistic Regression,"worst radius, worst perimeter, worst area, worst concavity, worst concave points",0.9210526315789473,0.9701492537313433,0.9027777777777778,0.935251798561151,0.9887566137566137
Boruta + DODA,5,Random Forest,"worst radius, worst perimeter, worst area, worst concavity, worst concave points",0.9122807017543859,0.9428571428571428,0.9166666666666666,0.9295774647887324,0.9859457671957672
Boruta + DODA,5,XGBoost,"worst radius, worst perimeter, worst area, worst concavity, worst concave points",0.9385964912280702,0.9452054794520548,0.9583333333333334,0.9517241379310345,0.9781746031746031
Boruta + DODA,10,Logistic Regression,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points",0.9122807017543859,0.9696969696969697,0.8888888888888888,0.927536231884058,0.9914021164021164
Boruta + DODA,10,Random Forest,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9909060846560847
Boruta + DODA,10,XGBoost,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points",0.9736842105263158,0.9726027397260274,0.9861111111111112,0.9793103448275862,0.9920634920634921
Boruta + DODA,15,Logistic Regression,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture",0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9937169312169313
Boruta + DODA,15,Random Forest,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9912367724867724
Boruta + DODA,15,XGBoost,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9923941798941799
Boruta + DODA,20,Logistic Regression,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture, radius error, perimeter error, area error, worst smoothness, mean smoothness",0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9943783068783069
Boruta + DODA,20,Random Forest,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture, radius error, perimeter error, area error, worst smoothness, mean smoothness",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9938822751322751
Boruta + DODA,20,XGBoost,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture, radius error, perimeter error, area error, worst smoothness, mean smoothness",0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9966931216931216
