Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
LASSO + DODA,5,Logistic Regression,"worst radius, worst concave points, worst texture, mean concave points, radius error",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9933862433862434
LASSO + DODA,5,Random Forest,"worst radius, worst concave points, worst texture, mean concave points, radius error",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9950396825396826
LASSO + DODA,5,XGBoost,"worst radius, worst concave points, worst texture, mean concave points, radius error",0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9937169312169312
LASSO + DODA,10,Logistic Regression,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, mean texture, mean radius, mean perimeter",0.9385964912280702,0.9850746268656716,0.9166666666666666,0.9496402877697842,0.9947089947089948
LASSO + DODA,10,Random Forest,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, mean texture, mean radius, mean perimeter",0.9385964912280702,0.9710144927536232,0.9305555555555556,0.950354609929078,0.9947089947089947
LASSO + DODA,10,XGBoost,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, mean texture, mean radius, mean perimeter",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9947089947089947
LASSO + DODA,15,Logistic Regression,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, mean texture, mean radius, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity, mean symmetry",0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9937169312169312
LASSO + DODA,15,Random Forest,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, mean texture, mean radius, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity, mean symmetry",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.994212962962963
LASSO + DODA,15,XGBoost,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, mean texture, mean radius, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity, mean symmetry",0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9943783068783069
LASSO + DODA,20,Logistic Regression,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, mean texture, mean radius, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity, mean symmetry, mean fractal dimension, texture error, perimeter error, area error, smoothness error",0.9473684210526315,0.9852941176470589,0.9305555555555556,0.9571428571428572,0.9947089947089947
LASSO + DODA,20,Random Forest,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, mean texture, mean radius, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity, mean symmetry, mean fractal dimension, texture error, perimeter error, area error, smoothness error",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169313
LASSO + DODA,20,XGBoost,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, mean texture, mean radius, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity, mean symmetry, mean fractal dimension, texture error, perimeter error, area error, smoothness error",0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9963624338624338
