Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
MRMR + DODA,5,Logistic Regression,"worst concave points, worst perimeter, worst radius, mean concave points, worst area",0.9385964912280702,0.9850746268656716,0.9166666666666666,0.9496402877697842,0.9907407407407407
MRMR + DODA,5,Random Forest,"worst concave points, worst perimeter, worst radius, mean concave points, worst area",0.9385964912280702,0.9710144927536232,0.9305555555555556,0.950354609929078,0.9828042328042328
MRMR + DODA,5,XGBoost,"worst concave points, worst perimeter, worst radius, mean concave points, worst area",0.9210526315789473,0.9436619718309859,0.9305555555555556,0.9370629370629371,0.982473544973545
MRMR + DODA,10,Logistic Regression,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, worst concavity, mean radius, mean concavity, mean area",0.9122807017543859,0.9696969696969697,0.8888888888888888,0.927536231884058,0.9914021164021164
MRMR + DODA,10,Random Forest,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, worst concavity, mean radius, mean concavity, mean area",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.98859126984127
MRMR + DODA,10,XGBoost,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, worst concavity, mean radius, mean concavity, mean area",0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9910714285714286
MRMR + DODA,15,Logistic Regression,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9940476190476191
MRMR + DODA,15,Random Forest,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9930555555555556
MRMR + DODA,15,XGBoost,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9953703703703703
MRMR + DODA,20,Logistic Regression,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error, worst symmetry, worst smoothness, perimeter error, mean texture, mean symmetry",0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9947089947089948
MRMR + DODA,20,Random Forest,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error, worst symmetry, worst smoothness, perimeter error, mean texture, mean symmetry",0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9940476190476191
MRMR + DODA,20,XGBoost,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error, worst symmetry, worst smoothness, perimeter error, mean texture, mean symmetry",0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.996031746031746
