Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
RF + DODA,5,Logistic Regression,"worst area, worst concave points, mean concave points, worst perimeter, worst radius",0.9385964912280702,0.9850746268656716,0.9166666666666666,0.9496402877697842,0.9907407407407407
RF + DODA,5,Random Forest,"worst area, worst concave points, mean concave points, worst perimeter, worst radius",0.9298245614035088,0.9571428571428572,0.9305555555555556,0.9436619718309859,0.9861111111111112
RF + DODA,5,XGBoost,"worst area, worst concave points, mean concave points, worst perimeter, worst radius",0.9210526315789473,0.9436619718309859,0.9305555555555556,0.9370629370629371,0.982473544973545
RF + DODA,10,Logistic Regression,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, worst concavity, mean area, mean radius",0.9122807017543859,0.9696969696969697,0.8888888888888888,0.927536231884058,0.9914021164021164
RF + DODA,10,Random Forest,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, worst concavity, mean area, mean radius",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9890873015873016
RF + DODA,10,XGBoost,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, worst concavity, mean area, mean radius",0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9910714285714286
RF + DODA,15,Logistic Regression,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, worst concavity, mean area, mean radius, area error, worst texture, worst compactness, mean compactness, radius error",0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9940476190476191
RF + DODA,15,Random Forest,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, worst concavity, mean area, mean radius, area error, worst texture, worst compactness, mean compactness, radius error",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.994047619047619
RF + DODA,15,XGBoost,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, worst concavity, mean area, mean radius, area error, worst texture, worst compactness, mean compactness, radius error",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9943783068783069
RF + DODA,20,Logistic Regression,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, worst concavity, mean area, mean radius, area error, worst texture, worst compactness, mean compactness, radius error, worst symmetry, mean texture, worst smoothness, perimeter error, mean smoothness",0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9943783068783069
RF + DODA,20,Random Forest,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, worst concavity, mean area, mean radius, area error, worst texture, worst compactness, mean compactness, radius error, worst symmetry, mean texture, worst smoothness, perimeter error, mean smoothness",0.9385964912280702,0.9710144927536232,0.9305555555555556,0.950354609929078,0.9947089947089947
RF + DODA,20,XGBoost,"worst area, worst concave points, mean concave points, worst perimeter, worst radius, mean concavity, mean perimeter, worst concavity, mean area, mean radius, area error, worst texture, worst compactness, mean compactness, radius error, worst symmetry, mean texture, worst smoothness, perimeter error, mean smoothness",0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9966931216931216
