Method,Top_K,Feature,Selected_Count,Total_Runs,Selection_Frequency_Percentage
mRMR,5,mean concave points,75,75,100.0
mRMR,5,worst concave points,75,75,100.0
mRMR,5,worst perimeter,75,75,100.0
mRMR,5,worst radius,75,75,100.0
mRMR,5,mean perimeter,57,75,76.0
mRMR,5,worst area,15,75,20.0
mRMR,5,mean concavity,3,75,4.0
mRMR,10,mean area,75,75,100.0
mRMR,10,mean concave points,75,75,100.0
mRMR,10,mean concavity,75,75,100.0
mRMR,10,mean perimeter,75,75,100.0
mRMR,10,mean radius,75,75,100.0
mRMR,10,worst area,75,75,100.0
mRMR,10,worst concave points,75,75,100.0
mRMR,10,worst concavity,75,75,100.0
mRMR,10,worst perimeter,75,75,100.0
mRMR,10,worst radius,75,75,100.0
mRMR,15,mean area,75,75,100.0
mRMR,15,mean compactness,75,75,100.0
mRMR,15,mean concave points,75,75,100.0
mRMR,15,mean concavity,75,75,100.0
mRMR,15,mean perimeter,75,75,100.0
mRMR,15,mean radius,75,75,100.0
mRMR,15,radius error,75,75,100.0
mRMR,15,worst area,75,75,100.0
mRMR,15,worst compactness,75,75,100.0
mRMR,15,worst concave points,75,75,100.0
mRMR,15,worst concavity,75,75,100.0
mRMR,15,worst perimeter,75,75,100.0
mRMR,15,worst radius,75,75,100.0
mRMR,15,worst texture,75,75,100.0
mRMR,15,perimeter error,39,75,52.0
mRMR,15,area error,15,75,20.0
mRMR,15,worst smoothness,15,75,20.0
mRMR,15,worst symmetry,6,75,8.0
mRMR,20,area error,75,75,100.0
mRMR,20,mean area,75,75,100.0
mRMR,20,mean compactness,75,75,100.0
mRMR,20,mean concave points,75,75,100.0
mRMR,20,mean concavity,75,75,100.0
mRMR,20,mean perimeter,75,75,100.0
mRMR,20,mean radius,75,75,100.0
mRMR,20,mean texture,75,75,100.0
mRMR,20,perimeter error,75,75,100.0
mRMR,20,radius error,75,75,100.0
mRMR,20,worst area,75,75,100.0
mRMR,20,worst compactness,75,75,100.0
mRMR,20,worst concave points,75,75,100.0
mRMR,20,worst concavity,75,75,100.0
mRMR,20,worst perimeter,75,75,100.0
mRMR,20,worst radius,75,75,100.0
mRMR,20,worst smoothness,75,75,100.0
mRMR,20,worst symmetry,75,75,100.0
mRMR,20,worst texture,75,75,100.0
mRMR,20,concave points error,66,75,88.0
mRMR,20,mean smoothness,9,75,12.0
mRMR + DODA,5,mean concave points,75,75,100.0
mRMR + DODA,5,worst concave points,75,75,100.0
mRMR + DODA,5,worst perimeter,75,75,100.0
mRMR + DODA,5,worst radius,75,75,100.0
mRMR + DODA,5,worst area,60,75,80.0
mRMR + DODA,5,mean perimeter,9,75,12.0
mRMR + DODA,5,worst concavity,6,75,8.0
mRMR + DODA,10,mean area,75,75,100.0
mRMR + DODA,10,mean concave points,75,75,100.0
mRMR + DODA,10,mean concavity,75,75,100.0
mRMR + DODA,10,mean perimeter,75,75,100.0
mRMR + DODA,10,mean radius,75,75,100.0
mRMR + DODA,10,worst area,75,75,100.0
mRMR + DODA,10,worst concave points,75,75,100.0
mRMR + DODA,10,worst concavity,75,75,100.0
mRMR + DODA,10,worst perimeter,75,75,100.0
mRMR + DODA,10,worst radius,75,75,100.0
mRMR + DODA,15,mean area,75,75,100.0
mRMR + DODA,15,mean compactness,75,75,100.0
mRMR + DODA,15,mean concave points,75,75,100.0
mRMR + DODA,15,mean concavity,75,75,100.0
mRMR + DODA,15,mean perimeter,75,75,100.0
mRMR + DODA,15,mean radius,75,75,100.0
mRMR + DODA,15,radius error,75,75,100.0
mRMR + DODA,15,worst area,75,75,100.0
mRMR + DODA,15,worst compactness,75,75,100.0
mRMR + DODA,15,worst concave points,75,75,100.0
mRMR + DODA,15,worst concavity,75,75,100.0
mRMR + DODA,15,worst perimeter,75,75,100.0
mRMR + DODA,15,worst radius,75,75,100.0
mRMR + DODA,15,worst texture,75,75,100.0
mRMR + DODA,15,worst symmetry,45,75,60.0
mRMR + DODA,15,perimeter error,15,75,20.0
mRMR + DODA,15,area error,12,75,16.0
mRMR + DODA,15,worst smoothness,3,75,4.0
mRMR + DODA,20,area error,75,75,100.0
mRMR + DODA,20,mean area,75,75,100.0
mRMR + DODA,20,mean compactness,75,75,100.0
mRMR + DODA,20,mean concave points,75,75,100.0
mRMR + DODA,20,mean concavity,75,75,100.0
mRMR + DODA,20,mean perimeter,75,75,100.0
mRMR + DODA,20,mean radius,75,75,100.0
mRMR + DODA,20,mean texture,75,75,100.0
mRMR + DODA,20,perimeter error,75,75,100.0
mRMR + DODA,20,radius error,75,75,100.0
mRMR + DODA,20,worst area,75,75,100.0
mRMR + DODA,20,worst compactness,75,75,100.0
mRMR + DODA,20,worst concave points,75,75,100.0
mRMR + DODA,20,worst concavity,75,75,100.0
mRMR + DODA,20,worst perimeter,75,75,100.0
mRMR + DODA,20,worst radius,75,75,100.0
mRMR + DODA,20,worst smoothness,75,75,100.0
mRMR + DODA,20,worst symmetry,75,75,100.0
mRMR + DODA,20,worst texture,75,75,100.0
mRMR + DODA,20,concave points error,39,75,52.0
mRMR + DODA,20,mean symmetry,27,75,36.0
mRMR + DODA,20,mean smoothness,9,75,12.0
