Method,Top_K,Run_A,Run_B,Intersection,Kuncheva_Index
ANOVA,5,1,1,5,1.0
ANOVA,5,1,1,5,1.0
ANOVA,5,1,2,5,1.0
ANOVA,5,1,2,5,1.0
ANOVA,5,1,2,5,1.0
ANOVA,5,1,3,5,1.0
ANOVA,5,1,3,5,1.0
ANOVA,5,1,3,5,1.0
ANOVA,5,1,4,5,1.0
ANOVA,5,1,4,5,1.0
ANOVA,5,1,4,5,1.0
ANOVA,5,1,5,4,0.76
ANOVA,5,1,5,4,0.76
ANOVA,5,1,5,4,0.76
ANOVA,5,1,6,5,1.0
ANOVA,5,1,6,5,1.0
ANOVA,5,1,6,5,1.0
ANOVA,5,1,7,5,1.0
ANOVA,5,1,7,5,1.0
ANOVA,5,1,7,5,1.0
ANOVA,5,1,8,5,1.0
ANOVA,5,1,8,5,1.0
ANOVA,5,1,8,5,1.0
ANOVA,5,1,9,5,1.0
ANOVA,5,1,9,5,1.0
ANOVA,5,1,9,5,1.0
ANOVA,5,1,10,5,1.0
ANOVA,5,1,10,5,1.0
ANOVA,5,1,10,5,1.0
ANOVA,5,1,11,5,1.0
ANOVA,5,1,11,5,1.0
ANOVA,5,1,11,5,1.0
ANOVA,5,1,12,5,1.0
ANOVA,5,1,12,5,1.0
ANOVA,5,1,12,5,1.0
ANOVA,5,1,13,5,1.0
ANOVA,5,1,13,5,1.0
ANOVA,5,1,13,5,1.0
ANOVA,5,1,14,5,1.0
ANOVA,5,1,14,5,1.0
ANOVA,5,1,14,5,1.0
ANOVA,5,1,15,5,1.0
ANOVA,5,1,15,5,1.0
ANOVA,5,1,15,5,1.0
ANOVA,5,1,16,5,1.0
ANOVA,5,1,16,5,1.0
ANOVA,5,1,16,5,1.0
ANOVA,5,1,17,5,1.0
ANOVA,5,1,17,5,1.0
ANOVA,5,1,17,5,1.0
ANOVA,5,1,18,5,1.0
ANOVA,5,1,18,5,1.0
ANOVA,5,1,18,5,1.0
ANOVA,5,1,19,5,1.0
ANOVA,5,1,19,5,1.0
ANOVA,5,1,19,5,1.0
ANOVA,5,1,20,5,1.0
ANOVA,5,1,20,5,1.0
ANOVA,5,1,20,5,1.0
ANOVA,5,1,21,5,1.0
ANOVA,5,1,21,5,1.0
ANOVA,5,1,21,5,1.0
ANOVA,5,1,22,5,1.0
ANOVA,5,1,22,5,1.0
ANOVA,5,1,22,5,1.0
ANOVA,5,1,23,4,0.76
ANOVA,5,1,23,4,0.76
ANOVA,5,1,23,4,0.76
ANOVA,5,1,24,5,1.0
ANOVA,5,1,24,5,1.0
ANOVA,5,1,24,5,1.0
ANOVA,5,1,25,5,1.0
ANOVA,5,1,25,5,1.0
ANOVA,5,1,25,5,1.0
ANOVA,5,1,1,5,1.0
ANOVA,5,1,2,5,1.0
ANOVA,5,1,2,5,1.0
ANOVA,5,1,2,5,1.0
ANOVA,5,1,3,5,1.0
ANOVA,5,1,3,5,1.0
ANOVA,5,1,3,5,1.0
ANOVA,5,1,4,5,1.0
ANOVA,5,1,4,5,1.0
ANOVA,5,1,4,5,1.0
ANOVA,5,1,5,4,0.76
ANOVA,5,1,5,4,0.76
ANOVA,5,1,5,4,0.76
ANOVA,5,1,6,5,1.0
ANOVA,5,1,6,5,1.0
ANOVA,5,1,6,5,1.0
ANOVA,5,1,7,5,1.0
ANOVA,5,1,7,5,1.0
ANOVA,5,1,7,5,1.0
ANOVA,5,1,8,5,1.0
ANOVA,5,1,8,5,1.0
ANOVA,5,1,8,5,1.0
ANOVA,5,1,9,5,1.0
ANOVA,5,1,9,5,1.0
ANOVA,5,1,9,5,1.0
ANOVA,5,1,10,5,1.0
ANOVA,5,1,10,5,1.0
ANOVA,5,1,10,5,1.0
ANOVA,5,1,11,5,1.0
ANOVA,5,1,11,5,1.0
ANOVA,5,1,11,5,1.0
ANOVA,5,1,12,5,1.0
ANOVA,5,1,12,5,1.0
ANOVA,5,1,12,5,1.0
ANOVA,5,1,13,5,1.0
ANOVA,5,1,13,5,1.0
ANOVA,5,1,13,5,1.0
ANOVA,5,1,14,5,1.0
ANOVA,5,1,14,5,1.0
ANOVA,5,1,14,5,1.0
ANOVA,5,1,15,5,1.0
ANOVA,5,1,15,5,1.0
ANOVA,5,1,15,5,1.0
ANOVA,5,1,16,5,1.0
ANOVA,5,1,16,5,1.0
ANOVA,5,1,16,5,1.0
ANOVA,5,1,17,5,1.0
ANOVA,5,1,17,5,1.0
ANOVA,5,1,17,5,1.0
ANOVA,5,1,18,5,1.0
ANOVA,5,1,18,5,1.0
ANOVA,5,1,18,5,1.0
ANOVA,5,1,19,5,1.0
ANOVA,5,1,19,5,1.0
ANOVA,5,1,19,5,1.0
ANOVA,5,1,20,5,1.0
ANOVA,5,1,20,5,1.0
ANOVA,5,1,20,5,1.0
ANOVA,5,1,21,5,1.0
ANOVA,5,1,21,5,1.0
ANOVA,5,1,21,5,1.0
ANOVA,5,1,22,5,1.0
ANOVA,5,1,22,5,1.0
ANOVA,5,1,22,5,1.0
ANOVA,5,1,23,4,0.76
ANOVA,5,1,23,4,0.76
ANOVA,5,1,23,4,0.76
ANOVA,5,1,24,5,1.0
ANOVA,5,1,24,5,1.0
ANOVA,5,1,24,5,1.0
ANOVA,5,1,25,5,1.0
ANOVA,5,1,25,5,1.0
ANOVA,5,1,25,5,1.0
ANOVA,5,1,2,5,1.0
ANOVA,5,1,2,5,1.0
ANOVA,5,1,2,5,1.0
ANOVA,5,1,3,5,1.0
ANOVA,5,1,3,5,1.0
ANOVA,5,1,3,5,1.0
ANOVA,5,1,4,5,1.0
ANOVA,5,1,4,5,1.0
ANOVA,5,1,4,5,1.0
ANOVA,5,1,5,4,0.76
ANOVA,5,1,5,4,0.76
ANOVA,5,1,5,4,0.76
ANOVA,5,1,6,5,1.0
ANOVA,5,1,6,5,1.0
ANOVA,5,1,6,5,1.0
ANOVA,5,1,7,5,1.0
ANOVA,5,1,7,5,1.0
ANOVA,5,1,7,5,1.0
ANOVA,5,1,8,5,1.0
ANOVA,5,1,8,5,1.0
ANOVA,5,1,8,5,1.0
ANOVA,5,1,9,5,1.0
ANOVA,5,1,9,5,1.0
ANOVA,5,1,9,5,1.0
ANOVA,5,1,10,5,1.0
ANOVA,5,1,10,5,1.0
ANOVA,5,1,10,5,1.0
ANOVA,5,1,11,5,1.0
ANOVA,5,1,11,5,1.0
ANOVA,5,1,11,5,1.0
ANOVA,5,1,12,5,1.0
ANOVA,5,1,12,5,1.0
