Run,Top_K,LASSO_Features,DODA_Features,Common_Feature_Count,LASSO_Feature_Count,DODA_Feature_Count,Same_Feature_Set,Jaccard_Agreement,Features_Added_by_DODA,Features_Removed_by_DODA
1,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
1,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
1,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
1,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
2,5,"mean concave points, worst concave points, worst radius, worst smoothness, worst texture","mean concave points, worst concave points, worst radius, worst smoothness, worst texture",5,5,5,True,1.0,,
2,10,"area error, compactness error, mean concave points, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",8,10,10,False,0.6666666666666666,"mean radius, mean texture","area error, compactness error"
2,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean concavity, mean perimeter, mean radius, mean smoothness, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
2,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean symmetry, mean texture, perimeter error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
3,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
3,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
3,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
3,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
4,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
4,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
