Run,Top_K,RF_Features,DODA_Features,Common_Feature_Count,RF_Feature_Count,DODA_Feature_Count,Same_Feature_Set,Jaccard_Agreement,Features_Added_by_DODA,Features_Removed_by_DODA
1,5,"mean concave points, worst area, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",5,5,5,True,1.0,,
1,10,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",9,10,10,False,0.8181818181818182,worst concavity,area error
1,15,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",14,15,15,False,0.875,mean compactness,radius error
1,20,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
2,5,"mean concave points, mean perimeter, worst area, worst concave points, worst perimeter","mean concave points, mean perimeter, worst area, worst concave points, worst perimeter",5,5,5,True,1.0,,
2,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
2,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",15,15,15,True,1.0,,
2,20,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
3,5,"mean concave points, worst area, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",5,5,5,True,1.0,,
3,10,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",9,10,10,False,0.8181818181818182,worst concavity,area error
3,15,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",14,15,15,False,0.875,mean compactness,radius error
3,20,"area error, compactness error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",19,20,20,False,0.9047619047619048,concavity error,compactness error
4,5,"mean concave points, mean concavity, worst area, worst concave points, worst perimeter","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst radius,mean concavity
4,10,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",9,10,10,False,0.8181818181818182,worst concavity,area error
4,15,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",14,15,15,False,0.875,mean compactness,perimeter error
4,20,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
5,5,"mean concave points, mean concavity, worst area, worst concave points, worst perimeter","mean concave points, mean concavity, worst area, worst concave points, worst perimeter",5,5,5,True,1.0,,
5,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
5,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",15,15,15,True,1.0,,
5,20,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
6,5,"mean concave points, mean concavity, worst area, worst concave points, worst perimeter","mean concave points, mean concavity, worst area, worst concave points, worst perimeter",5,5,5,True,1.0,,
6,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
6,15,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",14,15,15,False,0.875,mean compactness,mean texture
6,20,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
7,5,"mean concave points, worst area, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",5,5,5,True,1.0,,
7,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
7,15,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",14,15,15,False,0.875,mean compactness,mean texture
