Top_K,Method,Model,Primary,Sensitivity
5,DODA,LR,0.9892,1.0
5,DODA,RF,0.9911,1.0
5,DODA,XGB,0.9895,1.0
5,LASSO,LR,0.9892,0.9925
5,LASSO,RF,0.991,1.0
5,LASSO,XGB,0.9896,1.0
10,DODA,LR,0.9943,1.0
10,DODA,RF,0.9989,1.0
10,DODA,XGB,0.9979,1.0
10,LASSO,LR,0.9929,1.0
10,LASSO,RF,0.9986,1.0
10,LASSO,XGB,0.9978,1.0
15,DODA,LR,0.9959,0.9983
15,DODA,RF,0.9995,1.0
15,DODA,XGB,0.9978,0.9998
15,LASSO,LR,0.9991,1.0
15,LASSO,RF,0.9998,1.0
15,LASSO,XGB,0.9989,1.0
20,DODA,LR,0.9999,1.0
20,DODA,RF,0.9998,1.0
20,DODA,XGB,0.9989,1.0
20,LASSO,LR,0.9997,1.0
20,LASSO,RF,0.9998,1.0
20,LASSO,XGB,0.9989,1.0
