Method,Top-K,Model,Accuracy,F1 Score,ROC-AUC
ANOVA,5,LR,0.95,0.9591836734693877,0.9859999999999999
ANOVA,5,RF,0.9875,0.9900990099009901,0.9986666666666667
ANOVA,5,XGB,0.9875,0.9900990099009901,0.9963333333333333
ANOVA,10,LR,0.975,0.9795918367346939,1.0
ANOVA,10,RF,0.9875,0.98989898989899,1.0
ANOVA,10,XGB,0.9875,0.9900990099009901,1.0
ANOVA,15,LR,0.975,0.9795918367346939,1.0
ANOVA,15,RF,1.0,1.0,1.0
ANOVA,15,XGB,0.9875,0.98989898989899,0.9993333333333333
ANOVA,20,LR,0.975,0.9795918367346939,0.9993333333333333
ANOVA,20,RF,1.0,1.0,1.0
ANOVA,20,XGB,1.0,1.0,1.0
ANOVA + Rank Fusion,5,LR,0.9375,0.9484536082474226,0.979
ANOVA + Rank Fusion,5,RF,0.95,0.9591836734693877,0.9846666666666666
ANOVA + Rank Fusion,5,XGB,0.95,0.9591836734693877,0.9896666666666667
ANOVA + Rank Fusion,10,LR,0.9875,0.98989898989899,1.0
ANOVA + Rank Fusion,10,RF,1.0,1.0,1.0
ANOVA + Rank Fusion,10,XGB,0.9875,0.9900990099009901,1.0
ANOVA + Rank Fusion,15,LR,0.975,0.9795918367346939,1.0
ANOVA + Rank Fusion,15,RF,1.0,1.0,1.0
ANOVA + Rank Fusion,15,XGB,1.0,1.0,1.0
ANOVA + Rank Fusion,20,LR,0.975,0.9795918367346939,1.0
ANOVA + Rank Fusion,20,RF,1.0,1.0,1.0
ANOVA + Rank Fusion,20,XGB,1.0,1.0,1.0
