Run,Top_K,Method,Model,Accuracy,F1,ROC_AUC
1,5,ANOVA,LR,0.9625,0.9690721649484536,0.9920000000000001
1,5,ANOVA,RF,0.975,0.9795918367346939,0.9993333333333334
1,5,ANOVA,XGB,0.9875,0.9900990099009901,0.9993333333333334
1,5,DODA,LR,0.95,0.9583333333333334,0.996
1,5,DODA,RF,0.9625,0.9696969696969697,0.9973333333333334
1,5,DODA,XGB,0.9625,0.9696969696969697,0.9946666666666667
1,10,ANOVA,LR,0.9875,0.98989898989899,1.0
1,10,ANOVA,RF,0.9875,0.9900990099009901,0.9993333333333333
1,10,ANOVA,XGB,0.975,0.98,0.9976666666666666
1,10,DODA,LR,1.0,1.0,1.0
1,10,DODA,RF,0.9875,0.9900990099009901,1.0
1,10,DODA,XGB,0.9875,0.9900990099009901,0.9986666666666667
1,15,ANOVA,LR,1.0,1.0,1.0
1,15,ANOVA,RF,0.9875,0.9900990099009901,1.0
1,15,ANOVA,XGB,0.9875,0.9900990099009901,0.9986666666666667
1,15,DODA,LR,1.0,1.0,1.0
1,15,DODA,RF,0.9875,0.9900990099009901,1.0
1,15,DODA,XGB,0.9875,0.9900990099009901,0.9986666666666667
1,20,ANOVA,LR,1.0,1.0,1.0
1,20,ANOVA,RF,0.9875,0.9900990099009901,1.0
1,20,ANOVA,XGB,0.9875,0.9900990099009901,0.9986666666666667
1,20,DODA,LR,1.0,1.0,1.0
1,20,DODA,RF,0.9875,0.9900990099009901,1.0
1,20,DODA,XGB,0.9875,0.9900990099009901,0.9986666666666667
2,5,ANOVA,LR,0.975,0.9795918367346939,0.9946666666666667
2,5,ANOVA,RF,0.9875,0.98989898989899,1.0
2,5,ANOVA,XGB,1.0,1.0,1.0
2,5,DODA,LR,0.975,0.9795918367346939,1.0
2,5,DODA,RF,1.0,1.0,1.0
2,5,DODA,XGB,0.9875,0.98989898989899,1.0
2,10,ANOVA,LR,0.9875,0.98989898989899,1.0
2,10,ANOVA,RF,1.0,1.0,1.0
2,10,ANOVA,XGB,1.0,1.0,1.0
2,10,DODA,LR,0.9625,0.9690721649484536,1.0
2,10,DODA,RF,1.0,1.0,1.0
2,10,DODA,XGB,1.0,1.0,1.0
2,15,ANOVA,LR,0.9875,0.98989898989899,1.0
2,15,ANOVA,RF,1.0,1.0,1.0
2,15,ANOVA,XGB,1.0,1.0,1.0
2,15,DODA,LR,0.9875,0.98989898989899,1.0
2,15,DODA,RF,1.0,1.0,1.0
2,15,DODA,XGB,1.0,1.0,1.0
2,20,ANOVA,LR,0.9875,0.98989898989899,1.0
2,20,ANOVA,RF,1.0,1.0,1.0
2,20,ANOVA,XGB,1.0,1.0,1.0
2,20,DODA,LR,0.9875,0.98989898989899,1.0
2,20,DODA,RF,1.0,1.0,1.0
2,20,DODA,XGB,1.0,1.0,1.0
3,5,ANOVA,LR,0.9625,0.9702970297029703,0.9973333333333334
3,5,ANOVA,RF,0.9625,0.9690721649484536,0.9973333333333333
3,5,ANOVA,XGB,0.95,0.96,0.996
3,5,DODA,LR,0.9125,0.9247311827956989,0.9853333333333333
3,5,DODA,RF,0.95,0.96,0.9823333333333333
3,5,DODA,XGB,0.9375,0.9494949494949495,0.985
