Method,Top-K,Model,Accuracy,F1 Score,ROC-AUC
LASSO,5,LR,0.95,0.9583333333333334,0.9926666666666667
LASSO,5,RF,0.975,0.9795918367346939,0.9993333333333333
LASSO,5,XGB,0.9875,0.9900990099009901,0.998
LASSO,10,LR,0.975,0.9795918367346939,0.9996666666666667
LASSO,10,RF,0.9875,0.98989898989899,0.9996666666666667
LASSO,10,XGB,0.9875,0.9900990099009901,0.9996666666666667
LASSO,15,LR,0.975,0.9795918367346939,0.9986666666666667
LASSO,15,RF,0.9875,0.98989898989899,1.0
LASSO,15,XGB,0.9875,0.9900990099009901,1.0
LASSO,20,LR,0.975,0.9795918367346939,1.0
LASSO,20,RF,1.0,1.0,1.0
LASSO,20,XGB,1.0,1.0,1.0
LASSO + Rank Fusion,5,LR,0.9875,0.98989898989899,0.9996666666666667
LASSO + Rank Fusion,5,RF,0.9875,0.98989898989899,0.9996666666666667
LASSO + Rank Fusion,5,XGB,0.9875,0.9900990099009901,0.9996666666666667
LASSO + Rank Fusion,10,LR,0.975,0.9795918367346939,0.9986666666666667
LASSO + Rank Fusion,10,RF,1.0,1.0,1.0
LASSO + Rank Fusion,10,XGB,0.9875,0.9900990099009901,1.0
LASSO + Rank Fusion,15,LR,0.975,0.9795918367346939,1.0
LASSO + Rank Fusion,15,RF,1.0,1.0,1.0
LASSO + Rank Fusion,15,XGB,1.0,1.0,1.0
LASSO + Rank Fusion,20,LR,0.975,0.9795918367346939,1.0
LASSO + Rank Fusion,20,RF,1.0,1.0,1.0
LASSO + Rank Fusion,20,XGB,1.0,1.0,1.0
