Top_K,Method,Model,Primary,Sensitivity
5,ANOVA,LR,0.9955,1.0
5,ANOVA,RF,0.999,1.0
5,ANOVA,XGB,0.9986,1.0
5,DODA,LR,0.9948,1.0
5,DODA,RF,0.9957,1.0
5,DODA,XGB,0.9949,0.9998
10,ANOVA,LR,0.9999,1.0
10,ANOVA,RF,0.9996,1.0
10,ANOVA,XGB,0.9983,1.0
10,DODA,LR,0.9999,1.0
10,DODA,RF,0.9994,1.0
10,DODA,XGB,0.9979,1.0
15,ANOVA,LR,0.9999,1.0
15,ANOVA,RF,0.9998,1.0
15,ANOVA,XGB,0.998,1.0
15,DODA,LR,0.9999,1.0
15,DODA,RF,0.9999,1.0
15,DODA,XGB,0.9989,1.0
20,ANOVA,LR,1.0,1.0
20,ANOVA,RF,0.9999,1.0
20,ANOVA,XGB,0.9989,1.0
20,DODA,LR,1.0,1.0
20,DODA,RF,0.9999,1.0
20,DODA,XGB,0.9989,1.0
