Run,Top_K,Method,Model,Accuracy,F1,ROC_AUC
1,5,ANOVA,LR,0.96875,0.9411764705882353,1.0
1,5,ANOVA,RF,1.0,1.0,1.0
1,5,ANOVA,XGB,1.0,1.0,1.0
1,5,DODA,LR,1.0,1.0,1.0
1,5,DODA,RF,1.0,1.0,1.0
1,5,DODA,XGB,1.0,1.0,1.0
1,10,ANOVA,LR,1.0,1.0,1.0
1,10,ANOVA,RF,1.0,1.0,1.0
1,10,ANOVA,XGB,1.0,1.0,1.0
1,10,DODA,LR,1.0,1.0,1.0
1,10,DODA,RF,1.0,1.0,1.0
1,10,DODA,XGB,1.0,1.0,1.0
1,15,ANOVA,LR,1.0,1.0,1.0
1,15,ANOVA,RF,1.0,1.0,1.0
1,15,ANOVA,XGB,1.0,1.0,1.0
1,15,DODA,LR,1.0,1.0,1.0
1,15,DODA,RF,1.0,1.0,1.0
1,15,DODA,XGB,1.0,1.0,1.0
1,20,ANOVA,LR,1.0,1.0,1.0
1,20,ANOVA,RF,1.0,1.0,1.0
1,20,ANOVA,XGB,1.0,1.0,1.0
1,20,DODA,LR,1.0,1.0,1.0
1,20,DODA,RF,1.0,1.0,1.0
1,20,DODA,XGB,1.0,1.0,1.0
2,5,ANOVA,LR,0.96875,0.9411764705882353,1.0
2,5,ANOVA,RF,0.96875,0.9411764705882353,1.0
2,5,ANOVA,XGB,0.96875,0.9411764705882353,1.0
2,5,DODA,LR,0.96875,0.9411764705882353,1.0
2,5,DODA,RF,0.96875,0.9411764705882353,1.0
2,5,DODA,XGB,0.96875,0.9411764705882353,1.0
2,10,ANOVA,LR,0.96875,0.9411764705882353,1.0
2,10,ANOVA,RF,1.0,1.0,1.0
2,10,ANOVA,XGB,0.96875,0.9411764705882353,1.0
2,10,DODA,LR,1.0,1.0,1.0
2,10,DODA,RF,1.0,1.0,1.0
2,10,DODA,XGB,0.96875,0.9411764705882353,1.0
2,15,ANOVA,LR,1.0,1.0,1.0
2,15,ANOVA,RF,1.0,1.0,1.0
2,15,ANOVA,XGB,0.96875,0.9411764705882353,1.0
2,15,DODA,LR,1.0,1.0,1.0
2,15,DODA,RF,1.0,1.0,1.0
2,15,DODA,XGB,0.96875,0.9411764705882353,1.0
2,20,ANOVA,LR,1.0,1.0,1.0
2,20,ANOVA,RF,1.0,1.0,1.0
2,20,ANOVA,XGB,0.96875,0.9411764705882353,1.0
2,20,DODA,LR,1.0,1.0,1.0
2,20,DODA,RF,1.0,1.0,1.0
2,20,DODA,XGB,0.96875,0.9411764705882353,1.0
3,5,ANOVA,LR,1.0,1.0,1.0
3,5,ANOVA,RF,1.0,1.0,1.0
3,5,ANOVA,XGB,1.0,1.0,1.0
3,5,DODA,LR,1.0,1.0,1.0
3,5,DODA,RF,1.0,1.0,1.0
3,5,DODA,XGB,1.0,1.0,1.0
3,10,ANOVA,LR,1.0,1.0,1.0
3,10,ANOVA,RF,1.0,1.0,1.0
3,10,ANOVA,XGB,1.0,1.0,1.0
3,10,DODA,LR,1.0,1.0,1.0
3,10,DODA,RF,1.0,1.0,1.0
3,10,DODA,XGB,1.0,1.0,1.0
3,15,ANOVA,LR,1.0,1.0,1.0
3,15,ANOVA,RF,1.0,1.0,1.0
3,15,ANOVA,XGB,1.0,1.0,1.0
3,15,DODA,LR,1.0,1.0,1.0
3,15,DODA,RF,1.0,1.0,1.0
3,15,DODA,XGB,1.0,1.0,1.0
3,20,ANOVA,LR,1.0,1.0,1.0
3,20,ANOVA,RF,1.0,1.0,1.0
3,20,ANOVA,XGB,1.0,1.0,1.0
3,20,DODA,LR,1.0,1.0,1.0
3,20,DODA,RF,1.0,1.0,1.0
3,20,DODA,XGB,1.0,1.0,1.0
4,5,ANOVA,LR,1.0,1.0,1.0
4,5,ANOVA,RF,1.0,1.0,1.0
4,5,ANOVA,XGB,1.0,1.0,1.0
4,5,DODA,LR,1.0,1.0,1.0
4,5,DODA,RF,1.0,1.0,1.0
4,5,DODA,XGB,1.0,1.0,1.0
4,10,ANOVA,LR,1.0,1.0,1.0
4,10,ANOVA,RF,1.0,1.0,1.0
4,10,ANOVA,XGB,1.0,1.0,1.0
4,10,DODA,LR,1.0,1.0,1.0
4,10,DODA,RF,1.0,1.0,1.0
4,10,DODA,XGB,1.0,1.0,1.0
4,15,ANOVA,LR,1.0,1.0,1.0
4,15,ANOVA,RF,1.0,1.0,1.0
4,15,ANOVA,XGB,1.0,1.0,1.0
4,15,DODA,LR,1.0,1.0,1.0
4,15,DODA,RF,1.0,1.0,1.0
4,15,DODA,XGB,1.0,1.0,1.0
4,20,ANOVA,LR,1.0,1.0,1.0
4,20,ANOVA,RF,1.0,1.0,1.0
4,20,ANOVA,XGB,1.0,1.0,1.0
4,20,DODA,LR,1.0,1.0,1.0
4,20,DODA,RF,1.0,1.0,1.0
4,20,DODA,XGB,1.0,1.0,1.0
5,5,ANOVA,LR,1.0,1.0,1.0
5,5,ANOVA,RF,1.0,1.0,1.0
5,5,ANOVA,XGB,1.0,1.0,1.0
5,5,DODA,LR,1.0,1.0,1.0
5,5,DODA,RF,1.0,1.0,1.0
5,5,DODA,XGB,1.0,1.0,1.0
5,10,ANOVA,LR,1.0,1.0,1.0
5,10,ANOVA,RF,1.0,1.0,1.0
5,10,ANOVA,XGB,1.0,1.0,1.0
5,10,DODA,LR,1.0,1.0,1.0
5,10,DODA,RF,1.0,1.0,1.0
5,10,DODA,XGB,1.0,1.0,1.0
5,15,ANOVA,LR,1.0,1.0,1.0
5,15,ANOVA,RF,1.0,1.0,1.0
5,15,ANOVA,XGB,1.0,1.0,1.0
5,15,DODA,LR,1.0,1.0,1.0
5,15,DODA,RF,1.0,1.0,1.0
5,15,DODA,XGB,1.0,1.0,1.0
5,20,ANOVA,LR,1.0,1.0,1.0
5,20,ANOVA,RF,1.0,1.0,1.0
5,20,ANOVA,XGB,1.0,1.0,1.0
5,20,DODA,LR,1.0,1.0,1.0
5,20,DODA,RF,1.0,1.0,1.0
5,20,DODA,XGB,1.0,1.0,1.0
6,5,ANOVA,LR,1.0,1.0,1.0
6,5,ANOVA,RF,1.0,1.0,1.0
6,5,ANOVA,XGB,1.0,1.0,1.0
6,5,DODA,LR,0.96875,0.9411764705882353,1.0
6,5,DODA,RF,1.0,1.0,1.0
