Top_K,Method,Model,Acc_Mean,Acc_STD,F1_Mean,F1_STD,AUC_Mean,AUC_STD
5,DODA,LR,0.9949193548387097,0.011883052657881994,0.9899607843137255,0.023531590313089303,1.0,0.0
5,DODA,RF,0.9936693548387098,0.012924341131980491,0.9876078431372549,0.02535610785514928,1.0,0.0
5,DODA,XGB,0.9924193548387098,0.013770077653676318,0.9852549019607844,0.026843893962798925,1.0,0.0
5,LASSO,LR,0.9821774193548387,0.016128297194271612,0.9645490196078431,0.03220863041766962,0.9925362318840579,0.014149947989531684
5,LASSO,RF,0.9859677419354839,0.016160293964629462,0.9719215686274509,0.0324306849631927,1.0,0.0
5,LASSO,XGB,0.9936290322580645,0.013006636815104337,0.9872941176470589,0.02599500144184557,1.0,0.0
10,DODA,LR,0.9949596774193549,0.011788322140651713,0.9902745098039216,0.022785629876602282,1.0,0.0
10,DODA,RF,0.9936693548387098,0.012924341131980491,0.9876078431372549,0.02535610785514928,1.0,0.0
10,DODA,XGB,0.9898387096774194,0.015120743725939152,0.9799215686274511,0.029958320399661603,1.0,2.2662332591841973e-17
10,LASSO,LR,0.9872177419354838,0.015980604850867924,0.9742745098039215,0.03224044613186993,1.0,0.0
10,LASSO,RF,0.9935887096774194,0.013088285658201766,0.9869803921568628,0.026614712942677886,1.0,0.0
10,LASSO,XGB,0.9898790322580645,0.015060587331049102,0.9802352941176471,0.029487484230756797,1.0,0.0
15,DODA,LR,0.99625,0.01036445246986062,0.9929411764705882,0.019509557590325896,0.9982608695652173,0.008695652173913033
15,DODA,RF,0.9961693548387097,0.010588676919750477,0.9923137254901961,0.02128392008980812,1.0,2.2662332591841973e-17
15,DODA,XGB,0.9898387096774194,0.015120743725939152,0.9799215686274511,0.029958320399661603,0.9997826086956522,0.0010869565217391376
15,LASSO,LR,0.9935887096774194,0.013088285658201759,0.9869803921568628,0.026614712942677886,1.0,0.0
15,LASSO,RF,0.9962096774193548,0.010477245373293947,0.9926274509803922,0.020418534975599714,1.0,0.0
15,LASSO,XGB,0.9936693548387098,0.012924341131980491,0.9876078431372549,0.02535610785514928,1.0,0.0
20,DODA,LR,0.9936693548387098,0.0129243411319805,0.9876078431372549,0.0253561078551493,1.0,0.0
20,DODA,RF,1.0,0.0,1.0,0.0,1.0,0.0
20,DODA,XGB,0.9898387096774194,0.015120743725939152,0.9799215686274511,0.029958320399661603,1.0,0.0
20,LASSO,LR,1.0,0.0,1.0,0.0,1.0,0.0
20,LASSO,RF,0.9974193548387098,0.008931853616040928,0.9946666666666667,0.018459164139817942,1.0,4.5324665183683945e-17
20,LASSO,XGB,0.9898387096774194,0.015120743725939152,0.9799215686274511,0.029958320399661603,1.0,0.0
