Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
ANOVA + DODA,5,Logistic Regression,"GenHlth, HighBP, BMI, DiffWalk, HighChol",0.7085521298616407,0.308374027853138,0.7287362872204017,0.43336439888164024,0.7919125957719366
ANOVA + DODA,5,Random Forest,"GenHlth, HighBP, BMI, DiffWalk, HighChol",0.7033663797799324,0.30562923666371944,0.7387092178372988,0.432371581054036,0.78691206152612
ANOVA + DODA,5,XGBoost,"GenHlth, HighBP, BMI, DiffWalk, HighChol",0.6910774594182373,0.2999273377675926,0.7644963670038467,0.43083099156965077,0.7945952478493802
ANOVA + DODA,10,Logistic Regression,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Stroke, Income",0.7142826015905872,0.3177195501316104,0.7566604929477133,0.44752475247524753,0.805911994695919
ANOVA + DODA,10,Random Forest,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Stroke, Income",0.7937030177579257,0.3205334896673018,0.31158284655933893,0.3159947984395319,0.7184212824300733
ANOVA + DODA,10,XGBoost,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Stroke, Income",0.7088571739840941,0.3145430091807497,0.7663484826898419,0.44601990049751244,0.8079588931523173
ANOVA + DODA,15,Logistic Regression,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Stroke, Income, PhysActivity, Education, CholCheck, MentHlth, Smoker",0.7129752696372154,0.31625462797085874,0.7545234363869497,0.44569745423942775,0.8073901548017015
ANOVA + DODA,15,Random Forest,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Stroke, Income, PhysActivity, Education, CholCheck, MentHlth, Smoker",0.8295457021462033,0.38099467140319715,0.18335945291352043,0.24757141483120132,0.7582483845349081
ANOVA + DODA,15,XGBoost,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Stroke, Income, PhysActivity, Education, CholCheck, MentHlth, Smoker",0.7107528053164833,0.316302560488607,0.7673457757515315,0.44795608599825343,0.8089296241775279
ANOVA + DODA,20,Logistic Regression,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Stroke, Income, PhysActivity, Education, CholCheck, MentHlth, Smoker, HvyAlcoholConsump, Veggies, Sex, AnyHealthcare, Fruits",0.7143043904564768,0.3182604545725705,0.7600797834449352,0.4486586493987049,0.81058252458993
ANOVA + DODA,20,Random Forest,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Stroke, Income, PhysActivity, Education, CholCheck, MentHlth, Smoker, HvyAlcoholConsump, Veggies, Sex, AnyHealthcare, Fruits",0.8427061771434797,0.4568593615185505,0.1508761931899131,0.22683945592802826,0.7770003558902439
ANOVA + DODA,20,XGBoost,"GenHlth, HighBP, BMI, DiffWalk, HighChol, Age, HeartDiseaseorAttack, PhysHlth, Stroke, Income, PhysActivity, Education, CholCheck, MentHlth, Smoker, HvyAlcoholConsump, Veggies, Sex, AnyHealthcare, Fruits",0.7129970585031049,0.31904005646726663,0.7727596523721327,0.45162364696086593,0.8118306214720554
