Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Boruta,5,Logistic Regression,"Age, BMI, GenHlth, HighBP, Income",0.7043468787449614,0.3086585650853003,0.7526713207009545,0.4377874456183965,0.7976709836181571
Boruta,5,Random Forest,"Age, BMI, GenHlth, HighBP, Income",0.7231724588735157,0.30015464642204415,0.6083487676307167,0.40197693574958815,0.7362479490465086
Boruta,5,XGBoost,"Age, BMI, GenHlth, HighBP, Income",0.6957838544503758,0.3045436630820337,0.7706225958113692,0.43656174334140435,0.800744612161358
Boruta,10,Logistic Regression,"Age, BMI, GenHlth, HighBP, Income, PhysHlth, HighChol, Education, MentHlth, DiffWalk",0.7095326288266696,0.31307746979388773,0.7530987320131073,0.4422875789649835,0.8048713569203143
Boruta,10,Random Forest,"Age, BMI, GenHlth, HighBP, Income, PhysHlth, HighChol, Education, MentHlth, DiffWalk",0.8121363983004685,0.3403704441346345,0.2434819774896709,0.28388704318936875,0.7407694284622277
Boruta,10,XGBoost,"Age, BMI, GenHlth, HighBP, Income, PhysHlth, HighChol, Education, MentHlth, DiffWalk",0.7067654428586992,0.31315652022517554,0.768770480125374,0.44503092783505155,0.8055719929330325
Boruta,15,Logistic Regression,"Age, BMI, GenHlth, HighBP, Income, PhysHlth, HighChol, Education, MentHlth, DiffWalk, HeartDiseaseorAttack, Sex, Smoker, Fruits, PhysActivity",0.7131495805643316,0.3164496475928802,0.7548083772617182,0.44594082740625396,0.8071438128023768
Boruta,15,Random Forest,"Age, BMI, GenHlth, HighBP, Income, PhysHlth, HighChol, Education, MentHlth, DiffWalk, HeartDiseaseorAttack, Sex, Smoker, Fruits, PhysActivity",0.8370628608780913,0.41031652989449,0.1495939592534549,0.21925245353936104,0.767796745845625
Boruta,15,XGBoost,"Age, BMI, GenHlth, HighBP, Income, PhysHlth, HighChol, Education, MentHlth, DiffWalk, HeartDiseaseorAttack, Sex, Smoker, Fruits, PhysActivity",0.7100555616080183,0.31594661046715844,0.7689129505627582,0.4478652338077258,0.8087012687227726
Boruta,20,Logistic Regression,"Age, BMI, GenHlth, HighBP, Income, PhysHlth, HighChol, Education, MentHlth, DiffWalk, HeartDiseaseorAttack, Sex, Smoker, Fruits, PhysActivity, Veggies, HvyAlcoholConsump, NoDocbcCost, Stroke, CholCheck",0.7141954461270291,0.31810046533826514,0.7596523721327825,0.44842521340566,0.8105492615761187
Boruta,20,Random Forest,"Age, BMI, GenHlth, HighBP, Income, PhysHlth, HighChol, Education, MentHlth, DiffWalk, HeartDiseaseorAttack, Sex, Smoker, Fruits, PhysActivity, Veggies, HvyAlcoholConsump, NoDocbcCost, Stroke, CholCheck",0.8423575552892472,0.45324675324675323,0.14916654794130219,0.22446135705863438,0.7767002979624295
Boruta,20,XGBoost,"Age, BMI, GenHlth, HighBP, Income, PhysHlth, HighChol, Education, MentHlth, DiffWalk, HeartDiseaseorAttack, Sex, Smoker, Fruits, PhysActivity, Veggies, HvyAlcoholConsump, NoDocbcCost, Stroke, CholCheck",0.7126266477829829,0.31812286286994457,0.768770480125374,0.45002293482340183,0.8116146876539787
