Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
MRMR,5,Logistic Regression,"GenHlth, HighBP, BMI, HighChol, DiffWalk",0.7085521298616407,0.308374027853138,0.7287362872204017,0.43336439888164024,0.7919125957719366
MRMR,5,Random Forest,"GenHlth, HighBP, BMI, HighChol, DiffWalk",0.7033663797799324,0.30562923666371944,0.7387092178372988,0.432371581054036,0.786966514067376
MRMR,5,XGBoost,"GenHlth, HighBP, BMI, HighChol, DiffWalk",0.6910774594182373,0.2999273377675926,0.7644963670038467,0.43083099156965077,0.7945952478493802
MRMR,10,Logistic Regression,"GenHlth, HighBP, BMI, HighChol, DiffWalk, HeartDiseaseorAttack, Age, Income, PhysHlth, HvyAlcoholConsump",0.7146312234448197,0.31763082093134903,0.754096025074797,0.4469872904615125,0.8075808239013061
MRMR,10,Random Forest,"GenHlth, HighBP, BMI, HighChol, DiffWalk, HeartDiseaseorAttack, Age, Income, PhysHlth, HvyAlcoholConsump",0.7941605839416058,0.32582496413199424,0.32355036329961534,0.3246836800343127,0.7232690244979229
MRMR,10,XGBoost,"GenHlth, HighBP, BMI, HighChol, DiffWalk, HeartDiseaseorAttack, Age, Income, PhysHlth, HvyAlcoholConsump",0.7092275847042161,0.31513734658094683,0.768200598375837,0.4469310787848647,0.808269903156017
MRMR,15,Logistic Regression,"GenHlth, HighBP, BMI, HighChol, DiffWalk, HeartDiseaseorAttack, Age, Income, PhysHlth, HvyAlcoholConsump, CholCheck, Stroke, PhysActivity, Education, Veggies",0.714805534371936,0.31819815502575777,0.7568029633850976,0.4480242904735799,0.8092392232562768
MRMR,15,Random Forest,"GenHlth, HighBP, BMI, HighChol, DiffWalk, HeartDiseaseorAttack, Age, Income, PhysHlth, HvyAlcoholConsump, CholCheck, Stroke, PhysActivity, Education, Veggies",0.8222900098049897,0.36251511487303506,0.2135631856389799,0.26878249955173034,0.7511293959492397
MRMR,15,XGBoost,"GenHlth, HighBP, BMI, HighChol, DiffWalk, HeartDiseaseorAttack, Age, Income, PhysHlth, HvyAlcoholConsump, CholCheck, Stroke, PhysActivity, Education, Veggies",0.7108181719141519,0.3167672742190705,0.7700527140618322,0.44888298314093517,0.8103320964053575
MRMR,20,Logistic Regression,"GenHlth, HighBP, BMI, HighChol, DiffWalk, HeartDiseaseorAttack, Age, Income, PhysHlth, HvyAlcoholConsump, CholCheck, Stroke, PhysActivity, Education, Veggies, Smoker, MentHlth, Sex, AnyHealthcare, Fruits",0.7143043904564768,0.3182604545725705,0.7600797834449352,0.4486586493987049,0.81058252458993
MRMR,20,Random Forest,"GenHlth, HighBP, BMI, HighChol, DiffWalk, HeartDiseaseorAttack, Age, Income, PhysHlth, HvyAlcoholConsump, CholCheck, Stroke, PhysActivity, Education, Veggies, Smoker, MentHlth, Sex, AnyHealthcare, Fruits",0.8436213095108399,0.46658206429780036,0.15714489243481977,0.23510604284344028,0.7767110136625763
MRMR,20,XGBoost,"GenHlth, HighBP, BMI, HighChol, DiffWalk, HeartDiseaseorAttack, Age, Income, PhysHlth, HvyAlcoholConsump, CholCheck, Stroke, PhysActivity, Education, Veggies, Smoker, MentHlth, Sex, AnyHealthcare, Fruits",0.7129970585031049,0.31904005646726663,0.7727596523721327,0.45162364696086593,0.8118306214720554
