Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,5,Logistic Regression,"BMI, Age, GenHlth, Income, PhysHlth",0.7010567599956422,0.303039209922991,0.7344351047157714,0.42904702455264254,0.7850121411374688
Random Forest,5,Random Forest,"BMI, Age, GenHlth, Income, PhysHlth",0.744547336311145,0.287354243875983,0.4529135204445078,0.3516203959738967,0.6940363837745771
Random Forest,5,XGBoost,"BMI, Age, GenHlth, Income, PhysHlth",0.6891164614881795,0.2979767014101778,0.7616469582561618,0.4283653846153846,0.7891545361691601
Random Forest,10,Logistic Regression,"BMI, Age, GenHlth, Income, PhysHlth, HighBP, Education, MentHlth, HighChol, Smoker",0.7086610741910884,0.31242617528939287,0.7536686137626443,0.4417352093858294,0.8046236003312983
Random Forest,10,Random Forest,"BMI, Age, GenHlth, Income, PhysHlth, HighBP, Education, MentHlth, HighChol, Smoker",0.8178015034317464,0.35411688029545946,0.23222681293631572,0.28050249526759596,0.7454754861794514
Random Forest,10,XGBoost,"BMI, Age, GenHlth, Income, PhysHlth, HighBP, Education, MentHlth, HighChol, Smoker",0.7087264407887569,0.3141284618537385,0.7643538965664625,0.44526516723379533,0.8062135973116991
Random Forest,15,Logistic Regression,"BMI, Age, GenHlth, Income, PhysHlth, HighBP, Education, MentHlth, HighChol, Smoker, Fruits, Sex, PhysActivity, Veggies, DiffWalk",0.7105131277916984,0.3145528792093271,0.7572303746972503,0.4444723197859174,0.8064399646449325
Random Forest,15,Random Forest,"BMI, Age, GenHlth, Income, PhysHlth, HighBP, Education, MentHlth, HighChol, Smoker, Fruits, Sex, PhysActivity, Veggies, DiffWalk",0.8394160583941606,0.42857142857142855,0.15002137056560763,0.2222456732798649,0.7701861289263494
Random Forest,15,XGBoost,"BMI, Age, GenHlth, Income, PhysHlth, HighBP, Education, MentHlth, HighChol, Smoker, Fruits, Sex, PhysActivity, Veggies, DiffWalk",0.7104259723281403,0.3156130549838283,0.764638837441231,0.4468031968031968,0.8078851787369256
Random Forest,20,Logistic Regression,"BMI, Age, GenHlth, Income, PhysHlth, HighBP, Education, MentHlth, HighChol, Smoker, Fruits, Sex, PhysActivity, Veggies, DiffWalk, HeartDiseaseorAttack, NoDocbcCost, Stroke, HvyAlcoholConsump, AnyHealthcare",0.7143043904564768,0.31762945225980244,0.7559481407607921,0.44731074017872197,0.8090801735345339
Random Forest,20,Random Forest,"BMI, Age, GenHlth, Income, PhysHlth, HighBP, Education, MentHlth, HighChol, Smoker, Fruits, Sex, PhysActivity, Veggies, DiffWalk, HeartDiseaseorAttack, NoDocbcCost, Stroke, HvyAlcoholConsump, AnyHealthcare",0.8428369103388169,0.45665773011617516,0.1456047870066961,0.22080587663389867,0.777012740879521
Random Forest,20,XGBoost,"BMI, Age, GenHlth, Income, PhysHlth, HighBP, Education, MentHlth, HighChol, Smoker, Fruits, Sex, PhysActivity, Veggies, DiffWalk, HeartDiseaseorAttack, NoDocbcCost, Stroke, HvyAlcoholConsump, AnyHealthcare",0.7121690815993028,0.3176650762796725,0.7683430688132212,0.44949158193032174,0.810259660984272
