Top_K,Feature,Selection_Count,Selection_Frequency
5,GenHlth,25,1.0
5,BMI,25,1.0
5,HighBP,25,1.0
5,Age,25,1.0
5,HighChol,25,1.0
10,PhysHlth,25,1.0
10,GenHlth,25,1.0
10,MentHlth,25,1.0
10,Income,25,1.0
10,HeartDiseaseorAttack,25,1.0
10,BMI,25,1.0
10,DiffWalk,25,1.0
10,HighBP,25,1.0
10,Age,25,1.0
10,HighChol,25,1.0
15,PhysHlth,25,1.0
15,GenHlth,25,1.0
15,Fruits,14,0.56
15,Stroke,25,1.0
15,MentHlth,25,1.0
15,Income,25,1.0
15,PhysActivity,25,1.0
15,Education,25,1.0
15,HeartDiseaseorAttack,25,1.0
15,BMI,25,1.0
15,DiffWalk,25,1.0
15,Smoker,25,1.0
15,HighBP,25,1.0
15,Age,25,1.0
15,HighChol,25,1.0
15,Sex,11,0.44
20,Fruits,25,1.0
20,HvyAlcoholConsump,25,1.0
20,BMI,25,1.0
20,HighBP,25,1.0
20,Veggies,25,1.0
20,GenHlth,25,1.0
20,Stroke,25,1.0
20,MentHlth,25,1.0
20,PhysActivity,25,1.0
20,Sex,25,1.0
20,Education,25,1.0
20,Income,25,1.0
20,HeartDiseaseorAttack,25,1.0
20,Smoker,25,1.0
20,CholCheck,25,1.0
20,DiffWalk,25,1.0
20,Age,25,1.0
20,PhysHlth,25,1.0
20,NoDocbcCost,25,1.0
20,HighChol,25,1.0
