Top_K,Run,Selected_Features
5,1,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,2,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,3,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,4,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,5,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,6,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,7,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,8,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,9,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,10,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,11,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,12,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,13,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,14,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,15,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,16,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,17,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,18,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,19,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,20,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,21,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,22,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,23,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,24,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
5,25,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol']"
10,1,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,2,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,3,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,4,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,5,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,6,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,7,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,8,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,9,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,10,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,11,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,12,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,13,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,14,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,15,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,16,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,17,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,18,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,19,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,20,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,21,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,22,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,23,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,24,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
10,25,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth']"
15,1,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth', 'Education', 'Smoker', 'Stroke', 'PhysActivity', 'Fruits']"
15,2,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth', 'Education', 'Smoker', 'Stroke', 'PhysActivity', 'Fruits']"
15,3,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth', 'Education', 'Smoker', 'Stroke', 'PhysActivity', 'Sex']"
15,4,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth', 'Education', 'Smoker', 'Stroke', 'PhysActivity', 'Sex']"
15,5,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth', 'Education', 'Smoker', 'Stroke', 'PhysActivity', 'Fruits']"
15,6,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth', 'Education', 'Smoker', 'Stroke', 'PhysActivity', 'Fruits']"
15,7,"['BMI', 'GenHlth', 'HighBP', 'Age', 'HighChol', 'PhysHlth', 'HeartDiseaseorAttack', 'DiffWalk', 'Income', 'MentHlth', 'Education', 'Smoker', 'Stroke', 'PhysActivity', 'Fruits']"
