Top_K,Model,Metric,ANOVA_Mean,DODA_Mean,Mean_Difference_DODA_minus_ANOVA,Paired_SD,Cohens_d,Wilcoxon_Statistic,P_Value,Holm_Adjusted_P,Significant,Better_Method
5,LR,Accuracy,0.8501,0.8501,0.0,0.0,0.0,0.0,1.0,1.0,False,Equal
5,LR,Precision,0.5414,0.5414,0.0,0.0,0.0,0.0,1.0,1.0,False,Equal
5,LR,Recall,0.129,0.129,0.0,0.0,0.0,0.0,1.0,1.0,False,Equal
5,LR,F1,0.2083,0.2083,0.0,0.0,0.0,0.0,1.0,1.0,False,Equal
5,LR,ROC_AUC,0.7878,0.7878,0.0,0.0,0.0,0.0,1.0,1.0,False,Equal
5,RF,Accuracy,0.8504,0.8504,0.0,0.0,0.2741,17.0,0.281,1.0,False,DODA
5,RF,Precision,0.5478,0.5479,0.0001,0.0004,0.2712,28.0,0.2213,1.0,False,DODA
5,RF,Recall,0.1252,0.1252,0.0,0.0001,0.0,18.0,1.0,1.0,False,Equal
5,RF,F1,0.2038,0.2038,0.0,0.0001,0.0586,37.0,0.5525,1.0,False,DODA
5,RF,ROC_AUC,0.7854,0.7854,0.0,0.0,0.1681,127.0,0.3525,1.0,False,DODA
5,XGB,Accuracy,0.8519,0.8519,-0.0,0.0002,-0.1377,140.0,0.5442,1.0,False,ANOVA
5,XGB,Precision,0.5727,0.5714,-0.0013,0.005,-0.2643,125.0,0.3254,1.0,False,ANOVA
5,XGB,Recall,0.1254,0.1264,0.001,0.0036,0.2838,113.5,0.1873,1.0,False,DODA
5,XGB,F1,0.2057,0.207,0.0013,0.0046,0.2804,114.0,0.2002,1.0,False,DODA
5,XGB,ROC_AUC,0.7931,0.7931,-0.0,0.0001,-0.2219,127.0,0.3525,1.0,False,ANOVA
10,LR,Accuracy,0.8496,0.8498,0.0002,0.0002,0.8029,36.0,0.0011,0.0528,False,DODA
10,LR,Precision,0.5322,0.5344,0.0022,0.0029,0.7771,39.0,0.0015,0.0683,False,DODA
10,LR,Recall,0.1402,0.1409,0.0007,0.0011,0.6538,54.5,0.0063,0.2661,False,DODA
10,LR,F1,0.2219,0.223,0.0011,0.0015,0.7295,47.0,0.0033,0.1398,False,DODA
10,LR,ROC_AUC,0.8019,0.802,0.0001,0.0002,0.2932,39.0,0.0015,0.0683,False,DODA
10,RF,Accuracy,0.8331,0.833,-0.0001,0.0009,-0.1699,116.0,0.2109,1.0,False,ANOVA
10,RF,Precision,0.4137,0.4145,0.0008,0.0048,0.162,139.0,0.5424,1.0,False,DODA
10,RF,Recall,0.2186,0.2235,0.0048,0.0037,1.3127,17.0,0.0001,0.0045,True,DODA
10,RF,F1,0.2861,0.2904,0.0043,0.0038,1.1375,21.0,0.0,0.0014,True,DODA
10,RF,ROC_AUC,0.7501,0.7476,-0.0024,0.0017,-1.4267,7.0,0.0,0.0001,True,ANOVA
10,XGB,Accuracy,0.8533,0.8532,-0.0001,0.0003,-0.2943,85.5,0.1831,1.0,False,ANOVA
10,XGB,Precision,0.5764,0.575,-0.0014,0.0037,-0.3909,98.0,0.0851,1.0,False,ANOVA
10,XGB,Recall,0.1539,0.1544,0.0005,0.0014,0.3255,96.5,0.2068,1.0,False,DODA
10,XGB,F1,0.243,0.2434,0.0005,0.0019,0.2359,134.0,0.4578,1.0,False,DODA
10,XGB,ROC_AUC,0.8107,0.8107,0.0,0.0003,0.1611,94.0,0.0667,1.0,False,DODA
15,LR,Accuracy,0.8501,0.8499,-0.0002,0.0002,-0.8151,42.0,0.0012,0.0543,False,ANOVA
15,LR,Precision,0.5365,0.5349,-0.0016,0.0029,-0.5542,73.0,0.0147,0.5742,False,ANOVA
15,LR,Recall,0.1466,0.1431,-0.0036,0.001,-3.7233,0.0,0.0,0.0007,True,ANOVA
15,LR,F1,0.2303,0.2257,-0.0046,0.0014,-3.3348,0.0,0.0,0.0,True,ANOVA
15,LR,ROC_AUC,0.8056,0.8039,-0.0017,0.0004,-4.1343,0.0,0.0,0.0,True,ANOVA
