Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Boruta + DODA,5,Logistic Regression,"BMI, GenHlth, Age, HighBP, PhysHlth",0.7028870247303628,0.30738778599289746,0.7522439093888018,0.43643577450818316,0.797000589041011
Boruta + DODA,5,Random Forest,"BMI, GenHlth, Age, HighBP, PhysHlth",0.7289247194683517,0.30360764995653433,0.5970936030773615,0.40253565768621236,0.7354921348739882
Boruta + DODA,5,XGBoost,"BMI, GenHlth, Age, HighBP, PhysHlth",0.6946290445582307,0.3031956790818049,0.7677731870636842,0.4347194772718106,0.8001553860810326
Boruta + DODA,10,Logistic Regression,"BMI, GenHlth, Age, HighBP, PhysHlth, HighChol, DiffWalk, HeartDiseaseorAttack, Income, MentHlth",0.7125830700512038,0.31556299306717667,0.7522439093888018,0.4446128584059619,0.8057830269935522
Boruta + DODA,10,Random Forest,"BMI, GenHlth, Age, HighBP, PhysHlth, HighChol, DiffWalk, HeartDiseaseorAttack, Income, MentHlth",0.8056215273994989,0.3384850543478261,0.28394358170679584,0.3088246687843806,0.7311526537827205
Boruta + DODA,10,XGBoost,"BMI, GenHlth, Age, HighBP, PhysHlth, HighChol, DiffWalk, HeartDiseaseorAttack, Income, MentHlth",0.7084431855321931,0.31456220123586337,0.768770480125374,0.44644851694038806,0.8078203073394733
Boruta + DODA,15,Logistic Regression,"BMI, GenHlth, Age, HighBP, PhysHlth, HighChol, DiffWalk, HeartDiseaseorAttack, Income, MentHlth, Stroke, Smoker, Education, PhysActivity, CholCheck",0.7129752696372154,0.31625462797085874,0.7545234363869497,0.44569745423942775,0.8073901548017015
Boruta + DODA,15,Random Forest,"BMI, GenHlth, Age, HighBP, PhysHlth, HighChol, DiffWalk, HeartDiseaseorAttack, Income, MentHlth, Stroke, Smoker, Education, PhysActivity, CholCheck",0.8295457021462033,0.38211143695014665,0.18563897991166833,0.24988014191197622,0.7604472469380034
Boruta + DODA,15,XGBoost,"BMI, GenHlth, Age, HighBP, PhysHlth, HighChol, DiffWalk, HeartDiseaseorAttack, Income, MentHlth, Stroke, Smoker, Education, PhysActivity, CholCheck",0.7107528053164833,0.316302560488607,0.7673457757515315,0.44795608599825343,0.8089296534954489
Boruta + DODA,20,Logistic Regression,"BMI, GenHlth, Age, HighBP, PhysHlth, HighChol, DiffWalk, HeartDiseaseorAttack, Income, MentHlth, Stroke, Smoker, Education, PhysActivity, CholCheck, Sex, Fruits, Veggies, HvyAlcoholConsump, NoDocbcCost",0.7141954461270291,0.31810046533826514,0.7596523721327825,0.44842521340566,0.8105492615761187
Boruta + DODA,20,Random Forest,"BMI, GenHlth, Age, HighBP, PhysHlth, HighChol, DiffWalk, HeartDiseaseorAttack, Income, MentHlth, Stroke, Smoker, Education, PhysActivity, CholCheck, Sex, Fruits, Veggies, HvyAlcoholConsump, NoDocbcCost",0.8430983767294913,0.45977011494252873,0.1481692548796125,0.22411378084258163,0.7782203350537039
Boruta + DODA,20,XGBoost,"BMI, GenHlth, Age, HighBP, PhysHlth, HighChol, DiffWalk, HeartDiseaseorAttack, Income, MentHlth, Stroke, Smoker, Education, PhysActivity, CholCheck, Sex, Fruits, Veggies, HvyAlcoholConsump, NoDocbcCost",0.7126048589170934,0.31810410894299357,0.768770480125374,0.4500041697940122,0.8116098868444053
