Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
LASSO + DODA,5,Logistic Regression,"GenHlth, BMI, Age, HighBP, HighChol",0.7078548861531757,0.3123421253598073,0.7575153155720188,0.442309292072207,0.8036439016869841
LASSO + DODA,5,Random Forest,"GenHlth, BMI, Age, HighBP, HighChol",0.7074626865671642,0.30498569428380107,0.7137768912950563,0.42736500895675167,0.7784469021152749
LASSO + DODA,5,XGBoost,"GenHlth, BMI, Age, HighBP, HighChol",0.6965464647565094,0.30573678290213724,0.7744692976207437,0.43840477438606396,0.8064618174903417
LASSO + DODA,10,Logistic Regression,"GenHlth, BMI, Age, HighBP, HighChol, CholCheck, HeartDiseaseorAttack, PhysHlth, DiffWalk, HvyAlcoholConsump",0.7138032465410176,0.31758530183727035,0.7585126086337085,0.44771475423621915,0.8083884483374475
LASSO + DODA,10,Random Forest,"GenHlth, BMI, Age, HighBP, HighChol, CholCheck, HeartDiseaseorAttack, PhysHlth, DiffWalk, HvyAlcoholConsump",0.7655082252968733,0.31863552669832346,0.4684427981193902,0.3792825008651517,0.7236533916048514
LASSO + DODA,10,XGBoost,"GenHlth, BMI, Age, HighBP, HighChol, CholCheck, HeartDiseaseorAttack, PhysHlth, DiffWalk, HvyAlcoholConsump",0.7078330972872862,0.3152965660770031,0.7770337654936601,0.4485750709380269,0.8108646087997652
LASSO + DODA,15,Logistic Regression,"GenHlth, BMI, Age, HighBP, HighChol, CholCheck, HeartDiseaseorAttack, PhysHlth, DiffWalk, HvyAlcoholConsump, Stroke, Income, Sex, MentHlth, Education",0.7142826015905872,0.318241469816273,0.7600797834449352,0.4486397847201783,0.8105050281627216
LASSO + DODA,15,Random Forest,"GenHlth, BMI, Age, HighBP, HighChol, CholCheck, HeartDiseaseorAttack, PhysHlth, DiffWalk, HvyAlcoholConsump, Stroke, Income, Sex, MentHlth, Education",0.8262120056651051,0.3772132409545804,0.20943154295483687,0.26932942469769144,0.7579924903904283
LASSO + DODA,15,XGBoost,"GenHlth, BMI, Age, HighBP, HighChol, CholCheck, HeartDiseaseorAttack, PhysHlth, DiffWalk, HvyAlcoholConsump, Stroke, Income, Sex, MentHlth, Education",0.7103823945963612,0.31654676258992803,0.7710500071235219,0.4488306518493946,0.8115732394430821
LASSO + DODA,20,Logistic Regression,"GenHlth, BMI, Age, HighBP, HighChol, CholCheck, HeartDiseaseorAttack, PhysHlth, DiffWalk, HvyAlcoholConsump, Stroke, Income, Sex, MentHlth, Education, Smoker, AnyHealthcare, Fruits, PhysActivity, Veggies",0.7143043904564768,0.3182604545725705,0.7600797834449352,0.4486586493987049,0.81058252458993
LASSO + DODA,20,Random Forest,"GenHlth, BMI, Age, HighBP, HighChol, CholCheck, HeartDiseaseorAttack, PhysHlth, DiffWalk, HvyAlcoholConsump, Stroke, Income, Sex, MentHlth, Education, Smoker, AnyHealthcare, Fruits, PhysActivity, Veggies",0.8424882884845843,0.4550513698630137,0.15144607493945006,0.2272581507215393,0.775874917860347
LASSO + DODA,20,XGBoost,"GenHlth, BMI, Age, HighBP, HighChol, CholCheck, HeartDiseaseorAttack, PhysHlth, DiffWalk, HvyAlcoholConsump, Stroke, Income, Sex, MentHlth, Education, Smoker, AnyHealthcare, Fruits, PhysActivity, Veggies",0.7129970585031049,0.31904005646726663,0.7727596523721327,0.45162364696086593,0.8118312334836575
