Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
MRMR + DODA,5,Logistic Regression,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack",0.7142608127246977,0.3131399840578821,0.7275965237213278,0.4378429355281207,0.7933001744958684
MRMR + DODA,5,Random Forest,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack",0.7157860333369648,0.31398579808582894,0.7244621740988745,0.43809769966399587,0.7902121838360889
MRMR + DODA,5,XGBoost,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack",0.7039546791589498,0.30813274129469503,0.7513890867644963,0.437041640770665,0.7961829360434977
MRMR + DODA,10,Logistic Regression,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack, DiffWalk, Age, PhysHlth, Stroke, CholCheck",0.7129752696372154,0.3169541939321832,0.7590824903832455,0.44718620168702,0.8066082696678796
MRMR + DODA,10,Random Forest,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack, DiffWalk, Age, PhysHlth, Stroke, CholCheck",0.7679050005447217,0.3159014898145333,0.4440803533266847,0.3691815705318015,0.7155706808094755
MRMR + DODA,10,XGBoost,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack, DiffWalk, Age, PhysHlth, Stroke, CholCheck",0.7062860878091295,0.3129090172004401,0.7697677731870637,0.4449477064975706,0.8090730822623778
MRMR + DODA,15,Logistic Regression,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack, DiffWalk, Age, PhysHlth, Stroke, CholCheck, Income, PhysActivity, Smoker, MentHlth, HvyAlcoholConsump",0.7143043904564768,0.317476484332874,0.7549508476991025,0.4469843947701392,0.8091354158272884
MRMR + DODA,15,Random Forest,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack, DiffWalk, Age, PhysHlth, Stroke, CholCheck, Income, PhysActivity, Smoker, MentHlth, HvyAlcoholConsump",0.8214402440352979,0.3628731343283582,0.22168400056988175,0.27522773503139647,0.7482947341158472
MRMR + DODA,15,XGBoost,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack, DiffWalk, Age, PhysHlth, Stroke, CholCheck, Income, PhysActivity, Smoker, MentHlth, HvyAlcoholConsump",0.7094454733631115,0.3152351977533349,0.7676307166263,0.44693293517481647,0.8104230937352133
MRMR + DODA,20,Logistic Regression,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack, DiffWalk, Age, PhysHlth, Stroke, CholCheck, Income, PhysActivity, Smoker, MentHlth, HvyAlcoholConsump, Education, Veggies, Sex, AnyHealthcare, Fruits",0.7143043904564768,0.3182604545725705,0.7600797834449352,0.4486586493987049,0.81058252458993
MRMR + DODA,20,Random Forest,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack, DiffWalk, Age, PhysHlth, Stroke, CholCheck, Income, PhysActivity, Smoker, MentHlth, HvyAlcoholConsump, Education, Veggies, Sex, AnyHealthcare, Fruits",0.8422921886915786,0.45318512184694315,0.15101866362729732,0.22654413336182946,0.7764866637687856
MRMR + DODA,20,XGBoost,"GenHlth, HighBP, BMI, HighChol, HeartDiseaseorAttack, DiffWalk, Age, PhysHlth, Stroke, CholCheck, Income, PhysActivity, Smoker, MentHlth, HvyAlcoholConsump, Education, Veggies, Sex, AnyHealthcare, Fruits",0.7129970585031049,0.31904005646726663,0.7727596523721327,0.45162364696086593,0.8118306214720554
