Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
RF + DODA,5,Logistic Regression,"BMI, Age, GenHlth, HighBP, PhysHlth",0.7028870247303628,0.30738778599289746,0.7522439093888018,0.43643577450818316,0.797000589041011
RF + DODA,5,Random Forest,"BMI, Age, GenHlth, HighBP, PhysHlth",0.728815775138904,0.3032982964842334,0.5960963100156718,0.40203709041990965,0.7355665584165955
RF + DODA,5,XGBoost,"BMI, Age, GenHlth, HighBP, PhysHlth",0.6946290445582307,0.3031956790818049,0.7677731870636842,0.4347194772718106,0.8001553860810326
RF + DODA,10,Logistic Regression,"BMI, Age, GenHlth, HighBP, PhysHlth, HighChol, MentHlth, Income, DiffWalk, Education",0.7095326288266696,0.31307746979388773,0.7530987320131073,0.4422875789649835,0.8048713569203143
RF + DODA,10,Random Forest,"BMI, Age, GenHlth, HighBP, PhysHlth, HighChol, MentHlth, Income, DiffWalk, Education",0.8124196535570324,0.34201112877583467,0.2451916227382818,0.2856194506679944,0.7407816247173881
RF + DODA,10,XGBoost,"BMI, Age, GenHlth, HighBP, PhysHlth, HighChol, MentHlth, Income, DiffWalk, Education",0.7067654428586992,0.31315652022517554,0.768770480125374,0.44503092783505155,0.8055719929330325
RF + DODA,15,Logistic Regression,"BMI, Age, GenHlth, HighBP, PhysHlth, HighChol, MentHlth, Income, DiffWalk, Education, Smoker, HeartDiseaseorAttack, Stroke, PhysActivity, Fruits",0.7135853578821222,0.3165428845232391,0.752956261575723,0.44570946658233185,0.8059984770659316
RF + DODA,15,Random Forest,"BMI, Age, GenHlth, HighBP, PhysHlth, HighChol, MentHlth, Income, DiffWalk, Education, Smoker, HeartDiseaseorAttack, Stroke, PhysActivity, Fruits",0.8340777862512256,0.39631176061238693,0.1622738281806525,0.2302638229050844,0.7628686177029728
RF + DODA,15,XGBoost,"BMI, Age, GenHlth, HighBP, PhysHlth, HighChol, MentHlth, Income, DiffWalk, Education, Smoker, HeartDiseaseorAttack, Stroke, PhysActivity, Fruits",0.7111232160366053,0.3160346759450374,0.763499073942157,0.44703036369703036,0.8064838609022377
RF + DODA,20,Logistic Regression,"BMI, Age, GenHlth, HighBP, PhysHlth, HighChol, MentHlth, Income, DiffWalk, Education, Smoker, HeartDiseaseorAttack, Stroke, PhysActivity, Fruits, Sex, Veggies, NoDocbcCost, CholCheck, HvyAlcoholConsump",0.7141954461270291,0.31810046533826514,0.7596523721327825,0.44842521340566,0.8105492615761187
RF + DODA,20,Random Forest,"BMI, Age, GenHlth, HighBP, PhysHlth, HighChol, MentHlth, Income, DiffWalk, Education, Smoker, HeartDiseaseorAttack, Stroke, PhysActivity, Fruits, Sex, Veggies, NoDocbcCost, CholCheck, HvyAlcoholConsump",0.8432726876566075,0.4610564010743062,0.14674455050577007,0.22263049821679456,0.7782316682625632
RF + DODA,20,XGBoost,"BMI, Age, GenHlth, HighBP, PhysHlth, HighChol, MentHlth, Income, DiffWalk, Education, Smoker, HeartDiseaseorAttack, Stroke, PhysActivity, Fruits, Sex, Veggies, NoDocbcCost, CholCheck, HvyAlcoholConsump",0.7126048589170934,0.31810410894299357,0.768770480125374,0.4500041697940122,0.8116101360467343
