Top_K,Run,Selected_Features
5,1,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,2,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,3,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,4,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,5,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,6,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,7,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,8,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,9,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,10,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,11,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,12,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,13,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,14,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,15,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,16,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,17,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,18,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,19,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,20,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,21,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,22,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,23,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,24,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
5,25,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack']"
10,1,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack', 'Stroke', 'HvyAlcoholConsump', 'Age', 'DiffWalk', 'BMI']"
10,2,"['HighBP', 'GenHlth', 'HighChol', 'CholCheck', 'HeartDiseaseorAttack', 'Stroke', 'HvyAlcoholConsump', 'Age', 'BMI', 'DiffWalk']"
