Top_K,Run,Selected_Features
5,1,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,2,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,3,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,4,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,5,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,6,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,7,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,8,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,9,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,10,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,11,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,12,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,13,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,14,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,15,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,16,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,17,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,18,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,19,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,20,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,21,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,22,"['GenHlth', 'HighBP', 'BMI', 'HeartDiseaseorAttack', 'HighChol']"
5,23,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,24,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
5,25,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack']"
10,1,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,2,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,3,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,4,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,5,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,6,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,7,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,8,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,9,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,10,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,11,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,12,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,13,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,14,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,15,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,16,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,17,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,18,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,19,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,20,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
10,21,"['GenHlth', 'HighBP', 'BMI', 'HighChol', 'HeartDiseaseorAttack', 'DiffWalk', 'Age', 'PhysHlth', 'Stroke', 'Income']"
