Top_K,Run_A,Run_B,Jaccard_Similarity
5,1,2,1.0
5,1,3,1.0
5,1,4,1.0
5,1,5,1.0
5,1,6,1.0
5,1,7,1.0
5,1,8,1.0
5,1,9,1.0
5,1,10,1.0
5,1,11,1.0
5,1,12,1.0
5,1,13,1.0
5,1,14,1.0
5,1,15,1.0
5,1,16,1.0
5,1,17,1.0
5,1,18,1.0
5,1,19,1.0
5,1,20,1.0
5,1,21,1.0
5,1,22,1.0
5,1,23,1.0
5,1,24,1.0
5,1,25,1.0
5,2,3,1.0
5,2,4,1.0
5,2,5,1.0
5,2,6,1.0
5,2,7,1.0
5,2,8,1.0
5,2,9,1.0
5,2,10,1.0
5,2,11,1.0
5,2,12,1.0
5,2,13,1.0
5,2,14,1.0
5,2,15,1.0
5,2,16,1.0
5,2,17,1.0
5,2,18,1.0
5,2,19,1.0
5,2,20,1.0
5,2,21,1.0
5,2,22,1.0
5,2,23,1.0
5,2,24,1.0
5,2,25,1.0
5,3,4,1.0
5,3,5,1.0
5,3,6,1.0
5,3,7,1.0
5,3,8,1.0
5,3,9,1.0
5,3,10,1.0
5,3,11,1.0
5,3,12,1.0
5,3,13,1.0
5,3,14,1.0
5,3,15,1.0
5,3,16,1.0
5,3,17,1.0
5,3,18,1.0
5,3,19,1.0
5,3,20,1.0
5,3,21,1.0
5,3,22,1.0
5,3,23,1.0
5,3,24,1.0
5,3,25,1.0
5,4,5,1.0
5,4,6,1.0
5,4,7,1.0
5,4,8,1.0
5,4,9,1.0
5,4,10,1.0
5,4,11,1.0
5,4,12,1.0
5,4,13,1.0
5,4,14,1.0
5,4,15,1.0
5,4,16,1.0
5,4,17,1.0
5,4,18,1.0
5,4,19,1.0
5,4,20,1.0
5,4,21,1.0
5,4,22,1.0
5,4,23,1.0
5,4,24,1.0
5,4,25,1.0
5,5,6,1.0
5,5,7,1.0
5,5,8,1.0
5,5,9,1.0
5,5,10,1.0
5,5,11,1.0
5,5,12,1.0
5,5,13,1.0
5,5,14,1.0
5,5,15,1.0
5,5,16,1.0
5,5,17,1.0
5,5,18,1.0
5,5,19,1.0
5,5,20,1.0
5,5,21,1.0
5,5,22,1.0
5,5,23,1.0
5,5,24,1.0
5,5,25,1.0
5,6,7,1.0
5,6,8,1.0
5,6,9,1.0
5,6,10,1.0
5,6,11,1.0
5,6,12,1.0
5,6,13,1.0
5,6,14,1.0
5,6,15,1.0
5,6,16,1.0
5,6,17,1.0
5,6,18,1.0
5,6,19,1.0
5,6,20,1.0
5,6,21,1.0
5,6,22,1.0
5,6,23,1.0
5,6,24,1.0
5,6,25,1.0
5,7,8,1.0
5,7,9,1.0
5,7,10,1.0
5,7,11,1.0
5,7,12,1.0
5,7,13,1.0
5,7,14,1.0
5,7,15,1.0
5,7,16,1.0
5,7,17,1.0
5,7,18,1.0
5,7,19,1.0
5,7,20,1.0
5,7,21,1.0
5,7,22,1.0
5,7,23,1.0
5,7,24,1.0
5,7,25,1.0
5,8,9,1.0
5,8,10,1.0
5,8,11,1.0
5,8,12,1.0
5,8,13,1.0
5,8,14,1.0
5,8,15,1.0
5,8,16,1.0
5,8,17,1.0
5,8,18,1.0
5,8,19,1.0
5,8,20,1.0
5,8,21,1.0
5,8,22,1.0
5,8,23,1.0
5,8,24,1.0
5,8,25,1.0
5,9,10,1.0
5,9,11,1.0
5,9,12,1.0
5,9,13,1.0
5,9,14,1.0
5,9,15,1.0
5,9,16,1.0
5,9,17,1.0
5,9,18,1.0
5,9,19,1.0
5,9,20,1.0
5,9,21,1.0
5,9,22,1.0
5,9,23,1.0
5,9,24,1.0
5,9,25,1.0
5,10,11,1.0
5,10,12,1.0
5,10,13,1.0
5,10,14,1.0
5,10,15,1.0
5,10,16,1.0
5,10,17,1.0
5,10,18,1.0
5,10,19,1.0
5,10,20,1.0
5,10,21,1.0
5,10,22,1.0
5,10,23,1.0
5,10,24,1.0
5,10,25,1.0
5,11,12,1.0
5,11,13,1.0
5,11,14,1.0
5,11,15,1.0
5,11,16,1.0
5,11,17,1.0
5,11,18,1.0
5,11,19,1.0
5,11,20,1.0
5,11,21,1.0
5,11,22,1.0
5,11,23,1.0
5,11,24,1.0
5,11,25,1.0
5,12,13,1.0
5,12,14,1.0
5,12,15,1.0
5,12,16,1.0
5,12,17,1.0
5,12,18,1.0
5,12,19,1.0
5,12,20,1.0
5,12,21,1.0
5,12,22,1.0
5,12,23,1.0
5,12,24,1.0
5,12,25,1.0
5,13,14,1.0
5,13,15,1.0
5,13,16,1.0
5,13,17,1.0
5,13,18,1.0
5,13,19,1.0
5,13,20,1.0
5,13,21,1.0
5,13,22,1.0
5,13,23,1.0
5,13,24,1.0
5,13,25,1.0
5,14,15,1.0
5,14,16,1.0
5,14,17,1.0
5,14,18,1.0
5,14,19,1.0
5,14,20,1.0
5,14,21,1.0
5,14,22,1.0
5,14,23,1.0
5,14,24,1.0
5,14,25,1.0
5,15,16,1.0
5,15,17,1.0
5,15,18,1.0
5,15,19,1.0
5,15,20,1.0
5,15,21,1.0
5,15,22,1.0
5,15,23,1.0
5,15,24,1.0
5,15,25,1.0
5,16,17,1.0
5,16,18,1.0
5,16,19,1.0
5,16,20,1.0
5,16,21,1.0
5,16,22,1.0
5,16,23,1.0
5,16,24,1.0
