Top_K,Run,Selected_Features
5,1,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,2,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,3,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,4,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,5,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,6,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,7,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,8,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,9,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,10,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,11,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,12,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,13,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,14,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,15,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,16,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,17,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,18,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,19,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,20,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,21,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,22,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,23,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,24,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
5,25,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth']"
10,1,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth', 'HighChol', 'Income', 'MentHlth', 'Smoker', 'Education']"
10,2,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth', 'HighChol', 'Income', 'MentHlth', 'Smoker', 'Education']"
10,3,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth', 'HighChol', 'Income', 'MentHlth', 'Smoker', 'Education']"
10,4,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth', 'HighChol', 'Income', 'MentHlth', 'Smoker', 'Education']"
10,5,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth', 'HighChol', 'Income', 'MentHlth', 'Smoker', 'Education']"
10,6,"['BMI', 'GenHlth', 'Age', 'HighBP', 'PhysHlth', 'HighChol', 'Income', 'MentHlth', 'Smoker', 'Education']"
