Method,Top_K,Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
ANOVA,5,Logistic Regression,1,0.8502015470094781,0.5438489646772229,0.12722610058412878,0.2062117538390486,0.788804053249495,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,Logistic Regression,2,0.8502233358753677,0.5421756835369401,0.13278244764211425,0.21332112611581597,0.785973723138939,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,Logistic Regression,3,0.8498747140211352,0.5401730531520396,0.1245014245014245,0.20236165779115536,0.7841270563662847,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,Logistic Regression,4,0.8496132476304609,0.5340646651270208,0.13176638176638178,0.2113802559414991,0.7866024532571156,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,Logistic Regression,5,0.85026365102192,0.5446265938069217,0.12779598233366576,0.20701592430186938,0.7934762044592788,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,Random Forest,1,0.8513127791698442,0.5591267434808975,0.13135774326827182,0.2127365020766036,0.7870692403980254,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,Random Forest,2,0.8495914587645713,0.5353227771010962,0.1252315144607494,0.20297887080013854,0.7845850156750465,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,Random Forest,3,0.8506155354613792,0.5535248041775457,0.1207977207977208,0.19831618334892423,0.7804776028068633,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,Random Forest,4,0.8503104913389258,0.5455097087378641,0.12806267806267807,0.2074296262113521,0.7842894110533982,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,Random Forest,5,0.8511570139887566,0.5594936708860759,0.1259438666476706,0.20560530294220258,0.7896876324207743,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,XGBoost,1,0.8525329556596579,0.586971586971587,0.12067246046445362,0.20018908059560386,0.7940286625335924,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,XGBoost,2,0.8509859461815013,0.5563204005006258,0.12665621883459183,0.20633631194151097,0.7910610952345609,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,XGBoost,3,0.8506809020590478,0.5567641060503059,0.11666666666666667,0.19291014014839242,0.7898779142734125,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,XGBoost,4,0.8516831898899663,0.5671077504725898,0.1282051282051282,0.20913210177762287,0.7920433634723022,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,5,XGBoost,5,0.853575630801412,0.601908657123381,0.12580139621028635,0.20810747112891823,0.798378173345751,"HighBP, HighChol, BMI, GenHlth, DiffWalk"
ANOVA,10,Logistic Regression,1,0.8502233358753677,0.5402107598447032,0.13876620601225245,0.2208116073452732,0.8031693379959186,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,Logistic Regression,2,0.849373570105676,0.528281750266809,0.14104573301040035,0.22264702575059034,0.79927959381369,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,Logistic Regression,3,0.8496132476304609,0.5323464912280702,0.13831908831908832,0.2195838986883763,0.7996495488315425,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,Logistic Regression,4,0.8491774703126702,0.5259809119830329,0.1413105413105413,0.2227711655064002,0.8007103690878612,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,Logistic Regression,5,0.8499803895934109,0.5362162162162162,0.14133067388516882,0.2237005299357312,0.8070083746047132,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,Random Forest,1,0.8334241202745397,0.4153596538669551,0.2188345918221969,0.28664738266305867,0.7515067982175466,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,Random Forest,2,0.832247521516505,0.4109947643979058,0.22367858669326116,0.2896946212750254,0.7468167499175908,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,Random Forest,3,0.8330319206885282,0.4113592500689275,0.21253561253561254,0.28026674180520333,0.7476225538424897,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,Random Forest,4,0.8320514217234993,0.4057017543859649,0.21082621082621084,0.27746531683539555,0.7508746365460192,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,Random Forest,5,0.8336165947618425,0.4169582772543742,0.22068670750819205,0.28861561393702256,0.7524594089813181,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,XGBoost,1,0.854341431528489,0.5880801687763713,0.1588545376834307,0.2501402131239484,0.811969027712633,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,XGBoost,2,0.8526418999891056,0.5679405520169851,0.15244336800113975,0.24036841514096371,0.8076816812144878,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,XGBoost,3,0.8517049787558557,0.5593784683684795,0.14358974358974358,0.22851961006574473,0.8091556654849259,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,XGBoost,4,0.8536659766859135,0.5794148380355277,0.157977207977208,0.24826505484665323,0.8097332802008043,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,10,XGBoost,5,0.854251100361703,0.587953091684435,0.15714489243481977,0.2480044969083755,0.8147865934860318,"HighBP, HighChol, BMI, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,Logistic Regression,1,0.8505501688637106,0.5425531914893617,0.14531984613192764,0.22923924036408586,0.8060761402388159,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,Logistic Regression,2,0.8499618694846933,0.5339458907605922,0.14902407750391794,0.23301403430608153,0.8034300366147118,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,Logistic Regression,3,0.8494607255692341,0.529505582137161,0.14188034188034188,0.22379507920458375,0.8031484999221334,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,Logistic Regression,4,0.849787558557577,0.5322415557830092,0.14814814814814814,0.23178069979942054,0.8042724984197653,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,Logistic Regression,5,0.8504379657471565,0.5405122843700993,0.14731443225530702,0.2315270935960591,0.8110587972288354,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,Random Forest,1,0.8393289029306025,0.44250080984774864,0.1946146174668756,0.270334454779339,0.765877004709968,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
