Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
ANOVA,5,Logistic Regression,"thal, ca, exang, thalach, cp",0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.9199134199134199
ANOVA,5,Random Forest,"thal, ca, exang, thalach, cp",0.8688524590163934,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.9334415584415584
ANOVA,5,XGBoost,"thal, ca, exang, thalach, cp",0.8524590163934426,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.9307359307359307
ANOVA,8,Logistic Regression,"thal, ca, exang, thalach, cp, oldpeak, slope, sex",0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9350649350649352
ANOVA,8,Random Forest,"thal, ca, exang, thalach, cp, oldpeak, slope, sex",0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9393939393939394
ANOVA,8,XGBoost,"thal, ca, exang, thalach, cp, oldpeak, slope, sex",0.819672131147541,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.9296536796536796
ANOVA,10,Logistic Regression,"thal, ca, exang, thalach, cp, oldpeak, slope, sex, age, restecg",0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9372294372294372
ANOVA,10,Random Forest,"thal, ca, exang, thalach, cp, oldpeak, slope, sex, age, restecg",0.8360655737704918,0.75,0.9642857142857143,0.84375,0.9512987012987012
ANOVA,10,XGBoost,"thal, ca, exang, thalach, cp, oldpeak, slope, sex, age, restecg",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.933982683982684
ANOVA,13,Logistic Regression,"thal, ca, exang, thalach, cp, oldpeak, slope, sex, age, restecg, trestbps, chol, fbs",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987013
ANOVA,13,Random Forest,"thal, ca, exang, thalach, cp, oldpeak, slope, sex, age, restecg, trestbps, chol, fbs",0.9016393442622951,0.84375,0.9642857142857143,0.9,0.95508658008658
ANOVA,13,XGBoost,"thal, ca, exang, thalach, cp, oldpeak, slope, sex, age, restecg, trestbps, chol, fbs",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9101731601731602
