Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Boruta,5,Logistic Regression,"age, ca, cp, oldpeak, thal",0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9258658008658008
Boruta,5,Random Forest,"age, ca, cp, oldpeak, thal",0.8032786885245902,0.7352941176470589,0.8928571428571429,0.8064516129032258,0.9312770562770563
Boruta,5,XGBoost,"age, ca, cp, oldpeak, thal",0.8360655737704918,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.9431818181818182
Boruta,8,Logistic Regression,"age, ca, cp, oldpeak, thal, thalach, chol, exang",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9372294372294372
Boruta,8,Random Forest,"age, ca, cp, oldpeak, thal, thalach, chol, exang",0.9016393442622951,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9431818181818181
Boruta,8,XGBoost,"age, ca, cp, oldpeak, thal, thalach, chol, exang",0.7868852459016393,0.7419354838709677,0.8214285714285714,0.7796610169491526,0.8917748917748917
Boruta,10,Logistic Regression,"age, ca, cp, oldpeak, thal, thalach, chol, exang, trestbps, slope",0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.9491341991341992
Boruta,10,Random Forest,"age, ca, cp, oldpeak, thal, thalach, chol, exang, trestbps, slope",0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9329004329004329
Boruta,10,XGBoost,"age, ca, cp, oldpeak, thal, thalach, chol, exang, trestbps, slope",0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.8993506493506493
Boruta,13,Logistic Regression,"age, ca, cp, oldpeak, thal, thalach, chol, exang, trestbps, slope, sex, restecg, fbs",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9502164502164503
Boruta,13,Random Forest,"age, ca, cp, oldpeak, thal, thalach, chol, exang, trestbps, slope, sex, restecg, fbs",0.9016393442622951,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9512987012987013
Boruta,13,XGBoost,"age, ca, cp, oldpeak, thal, thalach, chol, exang, trestbps, slope, sex, restecg, fbs",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.906926406926407
