Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
LASSO,5,Logistic Regression,"ca, thal, cp, exang, sex",0.819672131147541,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.8982683982683982
LASSO,5,Random Forest,"ca, thal, cp, exang, sex",0.819672131147541,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.9047619047619047
LASSO,5,XGBoost,"ca, thal, cp, exang, sex",0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.9242424242424242
LASSO,8,Logistic Regression,"ca, thal, cp, exang, sex, thalach, slope, oldpeak",0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9318181818181819
LASSO,8,Random Forest,"ca, thal, cp, exang, sex, thalach, slope, oldpeak",0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.9431818181818181
LASSO,8,XGBoost,"ca, thal, cp, exang, sex, thalach, slope, oldpeak",0.819672131147541,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.9307359307359307
LASSO,10,Logistic Regression,"ca, thal, cp, exang, sex, thalach, slope, oldpeak, restecg, chol",0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9329004329004329
LASSO,10,Random Forest,"ca, thal, cp, exang, sex, thalach, slope, oldpeak, restecg, chol",0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9415584415584416
LASSO,10,XGBoost,"ca, thal, cp, exang, sex, thalach, slope, oldpeak, restecg, chol",0.8360655737704918,0.78125,0.8928571428571429,0.8333333333333334,0.9134199134199135
LASSO,13,Logistic Regression,"ca, thal, cp, exang, sex, thalach, slope, oldpeak, restecg, chol, trestbps, age, fbs",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9502164502164503
LASSO,13,Random Forest,"ca, thal, cp, exang, sex, thalach, slope, oldpeak, restecg, chol, trestbps, age, fbs",0.9016393442622951,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9512987012987013
LASSO,13,XGBoost,"ca, thal, cp, exang, sex, thalach, slope, oldpeak, restecg, chol, trestbps, age, fbs",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.906926406926407
