Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
mRMR,5,Logistic Regression,"thal, ca, exang, cp, sex",0.819672131147541,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.8982683982683982
mRMR,5,Random Forest,"thal, ca, exang, cp, sex",0.819672131147541,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.9047619047619047
mRMR,5,XGBoost,"thal, ca, exang, cp, sex",0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.9242424242424242
mRMR,8,Logistic Regression,"thal, ca, exang, cp, sex, thalach, oldpeak, slope",0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9318181818181819
mRMR,8,Random Forest,"thal, ca, exang, cp, sex, thalach, oldpeak, slope",0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.9431818181818181
mRMR,8,XGBoost,"thal, ca, exang, cp, sex, thalach, oldpeak, slope",0.819672131147541,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.9307359307359307
mRMR,10,Logistic Regression,"thal, ca, exang, cp, sex, thalach, oldpeak, slope, restecg, age",0.8360655737704918,0.78125,0.8928571428571429,0.8333333333333334,0.935064935064935
mRMR,10,Random Forest,"thal, ca, exang, cp, sex, thalach, oldpeak, slope, restecg, age",0.8360655737704918,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.9458874458874459
mRMR,10,XGBoost,"thal, ca, exang, cp, sex, thalach, oldpeak, slope, restecg, age",0.8360655737704918,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.9253246753246753
mRMR,13,Logistic Regression,"thal, ca, exang, cp, sex, thalach, oldpeak, slope, restecg, age, trestbps, chol, fbs",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9502164502164503
mRMR,13,Random Forest,"thal, ca, exang, cp, sex, thalach, oldpeak, slope, restecg, age, trestbps, chol, fbs",0.9016393442622951,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9512987012987013
mRMR,13,XGBoost,"thal, ca, exang, cp, sex, thalach, oldpeak, slope, restecg, age, trestbps, chol, fbs",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.906926406926407
