Top_K,Run,Selected_Features
5,1,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,2,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,3,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,4,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,5,"['cp', 'oldpeak', 'ca', 'thal', 'thalach']"
5,6,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,7,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,8,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,9,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,10,"['cp', 'oldpeak', 'ca', 'thal', 'thalach']"
5,11,"['cp', 'oldpeak', 'ca', 'thal', 'thalach']"
5,12,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,13,"['cp', 'oldpeak', 'ca', 'thal', 'thalach']"
5,14,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,15,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,16,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,17,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,18,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,19,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,20,"['cp', 'exang', 'oldpeak', 'ca', 'thal']"
5,21,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,22,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,23,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,24,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
5,25,"['cp', 'oldpeak', 'ca', 'thal', 'age']"
8,1,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'trestbps']"
8,2,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'exang']"
8,3,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol']"
8,4,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps']"
8,5,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'age', 'exang', 'trestbps']"
8,6,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol']"
8,7,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps']"
8,8,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps']"
8,9,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps']"
8,10,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'age', 'exang', 'trestbps']"
8,11,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'exang', 'age', 'trestbps']"
8,12,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'chol']"
8,13,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'exang', 'age', 'trestbps']"
8,14,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol']"
8,15,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol']"
8,16,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'exang']"
8,17,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'chol']"
8,18,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'slope']"
8,19,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'trestbps']"
8,20,"['cp', 'exang', 'oldpeak', 'ca', 'thal', 'trestbps', 'thalach', 'age']"
8,21,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps']"
8,22,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'trestbps']"
8,23,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'trestbps', 'exang', 'thalach']"
8,24,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol']"
8,25,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps']"
10,1,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'trestbps', 'chol', 'slope']"
10,2,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'exang', 'chol', 'slope']"
10,3,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol', 'trestbps', 'slope']"
10,4,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'chol', 'slope']"
10,5,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'age', 'exang', 'trestbps', 'chol', 'slope']"
10,6,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol', 'slope', 'trestbps']"
10,7,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'chol', 'slope']"
10,8,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'slope', 'chol']"
10,9,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'slope', 'chol']"
10,10,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'age', 'exang', 'trestbps', 'slope', 'chol']"
10,11,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'exang', 'age', 'trestbps', 'chol', 'slope']"
10,12,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'chol', 'exang', 'slope']"
10,13,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'exang', 'age', 'trestbps', 'slope', 'chol']"
10,14,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol', 'trestbps', 'slope']"
10,15,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol', 'slope', 'trestbps']"
10,16,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'exang', 'slope', 'chol']"
10,17,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'chol', 'exang', 'slope']"
10,18,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'slope', 'trestbps', 'chol']"
10,19,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'trestbps', 'slope', 'chol']"
10,20,"['cp', 'exang', 'oldpeak', 'ca', 'thal', 'trestbps', 'thalach', 'age', 'slope', 'chol']"
10,21,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'slope', 'chol']"
10,22,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'trestbps', 'slope', 'chol']"
10,23,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'trestbps', 'exang', 'thalach', 'slope', 'chol']"
10,24,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol', 'trestbps', 'slope']"
10,25,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'chol', 'slope']"
13,1,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'trestbps', 'chol', 'slope', 'sex', 'restecg', 'fbs']"
13,2,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'exang', 'chol', 'slope', 'restecg', 'sex', 'fbs']"
13,3,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol', 'trestbps', 'slope', 'restecg', 'sex', 'fbs']"
13,4,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'chol', 'slope', 'restecg', 'sex', 'fbs']"
13,5,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'age', 'exang', 'trestbps', 'chol', 'slope', 'restecg', 'sex', 'fbs']"
13,6,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol', 'slope', 'trestbps', 'restecg', 'sex', 'fbs']"
13,7,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'chol', 'slope', 'restecg', 'sex', 'fbs']"
13,8,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'slope', 'chol', 'restecg', 'sex', 'fbs']"
13,9,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'slope', 'chol', 'restecg', 'sex', 'fbs']"
13,10,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'age', 'exang', 'trestbps', 'slope', 'chol', 'restecg', 'sex', 'fbs']"
13,11,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'exang', 'age', 'trestbps', 'chol', 'slope', 'sex', 'restecg', 'fbs']"
13,12,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'chol', 'exang', 'slope', 'restecg', 'sex', 'fbs']"
13,13,"['cp', 'oldpeak', 'ca', 'thal', 'thalach', 'exang', 'age', 'trestbps', 'slope', 'chol', 'restecg', 'sex', 'fbs']"
13,14,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol', 'trestbps', 'slope', 'restecg', 'sex', 'fbs']"
13,15,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol', 'slope', 'trestbps', 'restecg', 'sex', 'fbs']"
13,16,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'exang', 'slope', 'chol', 'restecg', 'sex', 'fbs']"
13,17,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'trestbps', 'chol', 'exang', 'slope', 'restecg', 'sex', 'fbs']"
13,18,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'slope', 'trestbps', 'chol', 'restecg', 'sex', 'fbs']"
13,19,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'trestbps', 'slope', 'chol', 'restecg', 'sex', 'fbs']"
13,20,"['cp', 'exang', 'oldpeak', 'ca', 'thal', 'trestbps', 'thalach', 'age', 'slope', 'chol', 'restecg', 'sex', 'fbs']"
13,21,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'slope', 'chol', 'restecg', 'sex', 'fbs']"
13,22,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'exang', 'thalach', 'trestbps', 'slope', 'chol', 'restecg', 'sex', 'fbs']"
13,23,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'trestbps', 'exang', 'thalach', 'slope', 'chol', 'restecg', 'sex', 'fbs']"
13,24,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'chol', 'trestbps', 'slope', 'restecg', 'sex', 'fbs']"
13,25,"['cp', 'oldpeak', 'ca', 'thal', 'age', 'thalach', 'exang', 'trestbps', 'chol', 'slope', 'restecg', 'sex', 'fbs']"
