Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
ANOVA + Rank Fusion DODA,5,Logistic Regression,"thal, ca, exang, cp, oldpeak",0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9404761904761906
ANOVA + Rank Fusion DODA,5,Random Forest,"thal, ca, exang, cp, oldpeak",0.7213114754098361,0.6666666666666666,0.7857142857142857,0.7213114754098361,0.8777056277056277
ANOVA + Rank Fusion DODA,5,XGBoost,"thal, ca, exang, cp, oldpeak",0.7868852459016393,0.7586206896551724,0.7857142857142857,0.7719298245614035,0.8793290043290043
ANOVA + Rank Fusion DODA,8,Logistic Regression,"thal, ca, exang, cp, oldpeak, thalach, slope, age",0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9393939393939393
ANOVA + Rank Fusion DODA,8,Random Forest,"thal, ca, exang, cp, oldpeak, thalach, slope, age",0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9507575757575757
ANOVA + Rank Fusion DODA,8,XGBoost,"thal, ca, exang, cp, oldpeak, thalach, slope, age",0.8360655737704918,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.922077922077922
ANOVA + Rank Fusion DODA,10,Logistic Regression,"thal, ca, exang, cp, oldpeak, thalach, slope, age, sex, trestbps",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9448051948051949
ANOVA + Rank Fusion DODA,10,Random Forest,"thal, ca, exang, cp, oldpeak, thalach, slope, age, sex, trestbps",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.961038961038961
ANOVA + Rank Fusion DODA,10,XGBoost,"thal, ca, exang, cp, oldpeak, thalach, slope, age, sex, trestbps",0.8524590163934426,0.7714285714285715,0.9642857142857143,0.8571428571428571,0.9415584415584415
ANOVA + Rank Fusion DODA,13,Logistic Regression,"thal, ca, exang, cp, oldpeak, thalach, slope, age, sex, trestbps, restecg, chol, fbs",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987013
ANOVA + Rank Fusion DODA,13,Random Forest,"thal, ca, exang, cp, oldpeak, thalach, slope, age, sex, trestbps, restecg, chol, fbs",0.9180327868852459,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.9642857142857143
ANOVA + Rank Fusion DODA,13,XGBoost,"thal, ca, exang, cp, oldpeak, thalach, slope, age, sex, trestbps, restecg, chol, fbs",0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9101731601731601
