Top_K,Run_A,Run_B,Jaccard_Similarity
5,1,2,0.6666666666666666
5,1,3,1.0
5,1,4,1.0
5,1,5,0.6666666666666666
5,1,6,1.0
5,1,7,1.0
5,1,8,1.0
5,1,9,1.0
5,1,10,0.6666666666666666
5,1,11,1.0
5,1,12,1.0
5,1,13,1.0
5,1,14,1.0
5,1,15,1.0
5,1,16,0.6666666666666666
5,1,17,1.0
5,1,18,1.0
5,1,19,1.0
5,1,20,1.0
5,1,21,1.0
5,1,22,1.0
5,1,23,1.0
5,1,24,1.0
5,1,25,1.0
5,2,3,0.6666666666666666
5,2,4,0.6666666666666666
5,2,5,0.6666666666666666
5,2,6,0.6666666666666666
5,2,7,0.6666666666666666
5,2,8,0.6666666666666666
5,2,9,0.6666666666666666
5,2,10,0.6666666666666666
5,2,11,0.6666666666666666
5,2,12,0.6666666666666666
5,2,13,0.6666666666666666
5,2,14,0.6666666666666666
5,2,15,0.6666666666666666
5,2,16,0.6666666666666666
5,2,17,0.6666666666666666
5,2,18,0.6666666666666666
5,2,19,0.6666666666666666
5,2,20,0.6666666666666666
5,2,21,0.6666666666666666
5,2,22,0.6666666666666666
5,2,23,0.6666666666666666
5,2,24,0.6666666666666666
5,2,25,0.6666666666666666
5,3,4,1.0
5,3,5,0.6666666666666666
5,3,6,1.0
5,3,7,1.0
5,3,8,1.0
5,3,9,1.0
5,3,10,0.6666666666666666
5,3,11,1.0
5,3,12,1.0
5,3,13,1.0
5,3,14,1.0
5,3,15,1.0
5,3,16,0.6666666666666666
5,3,17,1.0
5,3,18,1.0
5,3,19,1.0
5,3,20,1.0
5,3,21,1.0
5,3,22,1.0
5,3,23,1.0
5,3,24,1.0
5,3,25,1.0
5,4,5,0.6666666666666666
5,4,6,1.0
5,4,7,1.0
5,4,8,1.0
5,4,9,1.0
5,4,10,0.6666666666666666
5,4,11,1.0
5,4,12,1.0
5,4,13,1.0
5,4,14,1.0
5,4,15,1.0
5,4,16,0.6666666666666666
5,4,17,1.0
5,4,18,1.0
5,4,19,1.0
5,4,20,1.0
5,4,21,1.0
5,4,22,1.0
5,4,23,1.0
5,4,24,1.0
5,4,25,1.0
5,5,6,0.6666666666666666
5,5,7,0.6666666666666666
5,5,8,0.6666666666666666
5,5,9,0.6666666666666666
5,5,10,1.0
5,5,11,0.6666666666666666
5,5,12,0.6666666666666666
5,5,13,0.6666666666666666
5,5,14,0.6666666666666666
5,5,15,0.6666666666666666
