Top_K,Model,Metric,ANOVA_Mean,DODA_Mean,Mean_Difference_DODA_minus_ANOVA,Paired_SD,Cohens_d,Wilcoxon_Statistic,P_Value,Holm_Adjusted_P,Significant,Better_Method
5,LR,Accuracy,0.825,0.8303,0.0053,0.015,0.354,6.5,0.1065,1.0,False,DODA
5,LR,Precision,0.8385,0.8465,0.0079,0.02,0.398,7.0,0.0663,1.0,False,DODA
5,LR,Recall,0.7711,0.7739,0.0029,0.021,0.1361,7.0,0.8918,1.0,False,DODA
5,LR,F1,0.8006,0.806,0.0054,0.0173,0.3098,8.0,0.0858,1.0,False,DODA
5,LR,ROC_AUC,0.8915,0.8965,0.0051,0.0085,0.5947,6.0,0.0096,0.5587,False,DODA
5,RF,Accuracy,0.7742,0.7893,0.0152,0.0441,0.3434,70.5,0.1165,1.0,False,DODA
5,RF,Precision,0.7659,0.7772,0.0113,0.0654,0.1721,91.0,0.3945,1.0,False,DODA
5,RF,Recall,0.7412,0.7596,0.0184,0.0429,0.4295,21.0,0.1546,1.0,False,DODA
5,RF,F1,0.7498,0.766,0.0162,0.0401,0.4045,60.5,0.0559,1.0,False,DODA
5,RF,ROC_AUC,0.8624,0.8726,0.0102,0.0215,0.4747,73.0,0.048,1.0,False,DODA
5,XGB,Accuracy,0.79,0.7946,0.0046,0.0362,0.1264,66.5,0.4072,1.0,False,DODA
5,XGB,Precision,0.7869,0.7932,0.0063,0.0496,0.1272,83.0,0.6292,1.0,False,DODA
5,XGB,Recall,0.7468,0.7481,0.0013,0.0453,0.0292,38.0,0.5938,1.0,False,DODA
5,XGB,F1,0.764,0.7677,0.0037,0.0395,0.0941,79.0,0.5197,1.0,False,DODA
5,XGB,ROC_AUC,0.8628,0.8822,0.0194,0.0266,0.7279,32.5,0.0008,0.0463,True,DODA
8,LR,Accuracy,0.8395,0.8375,-0.002,0.0153,-0.1288,36.0,0.5007,1.0,False,ANOVA
8,LR,Precision,0.8541,0.8609,0.0068,0.0238,0.2867,65.0,0.2273,1.0,False,DODA
8,LR,Recall,0.7884,0.774,-0.0144,0.0292,-0.4921,20.0,0.0354,1.0,False,ANOVA
8,LR,F1,0.8169,0.8126,-0.0043,0.0188,-0.2279,71.0,0.3341,1.0,False,ANOVA
8,LR,ROC_AUC,0.9029,0.896,-0.0069,0.0085,-0.8179,20.0,0.0005,0.0327,True,ANOVA
8,RF,Accuracy,0.8243,0.8217,-0.0026,0.0268,-0.0967,97.0,0.7647,1.0,False,ANOVA
8,RF,Precision,0.8318,0.8362,0.0044,0.0408,0.1082,105.0,0.4851,1.0,False,DODA
8,RF,Recall,0.777,0.7639,-0.0132,0.0388,-0.3394,31.5,0.0555,1.0,False,ANOVA
8,RF,F1,0.8014,0.7957,-0.0057,0.0301,-0.189,95.0,0.3065,1.0,False,ANOVA
8,RF,ROC_AUC,0.8943,0.893,-0.0013,0.0139,-0.0919,139.0,0.5424,1.0,False,ANOVA
8,XGB,Accuracy,0.8052,0.7972,-0.008,0.0327,-0.2449,75.5,0.1633,1.0,False,ANOVA
8,XGB,Precision,0.8119,0.7966,-0.0153,0.0358,-0.4282,68.0,0.0575,1.0,False,ANOVA
8,XGB,Recall,0.7527,0.7524,-0.0003,0.0632,-0.005,102.5,0.6501,1.0,False,ANOVA
8,XGB,F1,0.7781,0.7707,-0.0074,0.0415,-0.1786,96.0,0.3221,1.0,False,ANOVA
8,XGB,ROC_AUC,0.8859,0.8801,-0.0058,0.0169,-0.346,106.0,0.1284,1.0,False,ANOVA
10,LR,Accuracy,0.8349,0.8349,-0.0,0.0135,-0.0008,25.5,0.8373,1.0,False,ANOVA
10,LR,Precision,0.8502,0.8499,-0.0003,0.017,-0.0179,32.5,0.9645,1.0,False,ANOVA
10,LR,Recall,0.7842,0.7842,-0.0,0.0232,-0.0,13.5,0.932,1.0,False,ANOVA
10,LR,F1,0.8123,0.812,-0.0002,0.016,-0.0148,32.0,0.9292,1.0,False,ANOVA
10,LR,ROC_AUC,0.9022,0.9031,0.001,0.0069,0.1397,42.0,0.5098,1.0,False,DODA
10,RF,Accuracy,0.8308,0.8302,-0.0007,0.0147,-0.0445,42.5,0.8331,1.0,False,ANOVA
10,RF,Precision,0.8376,0.8397,0.0022,0.0257,0.0842,69.0,0.7226,1.0,False,DODA
10,RF,Recall,0.787,0.7827,-0.0043,0.0264,-0.1625,17.0,0.273,1.0,False,ANOVA
10,RF,F1,0.8087,0.8073,-0.0014,0.0161,-0.0867,64.0,0.554,1.0,False,ANOVA
10,RF,ROC_AUC,0.9033,0.9022,-0.0011,0.0098,-0.1114,162.0,0.9893,1.0,False,ANOVA
10,XGB,Accuracy,0.8031,0.8091,0.0059,0.0217,0.2736,64.0,0.2101,1.0,False,DODA
10,XGB,Precision,0.8137,0.8161,0.0024,0.0279,0.0865,85.0,0.6873,1.0,False,DODA
10,XGB,Recall,0.7453,0.7582,0.0129,0.0373,0.3466,17.0,0.0818,1.0,False,DODA
10,XGB,F1,0.7754,0.7835,0.008,0.026,0.3097,51.5,0.08,1.0,False,DODA
10,XGB,ROC_AUC,0.8919,0.8883,-0.0037,0.0102,-0.3615,103.0,0.1135,1.0,False,ANOVA
13,LR,Accuracy,0.8375,0.8375,0.0,0.0,0.0,0.0,1.0,1.0,False,Equal
13,LR,Precision,0.8506,0.8506,0.0,0.0,0.0,0.0,1.0,1.0,False,Equal
13,LR,Recall,0.7914,0.7914,0.0,0.0,0.0,0.0,1.0,1.0,False,Equal
13,LR,F1,0.8165,0.8165,0.0,0.0,0.0,0.0,1.0,1.0,False,Equal
13,LR,ROC_AUC,0.9059,0.9059,0.0,0.0,0.0,0.0,1.0,1.0,False,Equal
13,RF,Accuracy,0.8335,0.8355,0.002,0.0204,0.0986,102.5,0.9247,1.0,False,DODA
13,RF,Precision,0.8511,0.8485,-0.0026,0.0302,-0.0854,103.0,0.9405,1.0,False,ANOVA
13,RF,Recall,0.7784,0.7871,0.0087,0.0239,0.3655,13.5,0.0383,1.0,False,DODA
13,RF,F1,0.8095,0.8133,0.0038,0.0225,0.1675,83.0,0.4115,1.0,False,DODA
13,RF,ROC_AUC,0.9066,0.903,-0.0036,0.0075,-0.4814,74.0,0.0299,1.0,False,ANOVA
13,XGB,Accuracy,0.821,0.817,-0.0039,0.0167,-0.2368,38.0,0.2001,1.0,False,ANOVA
13,XGB,Precision,0.828,0.8284,0.0005,0.0256,0.0178,75.0,0.9434,1.0,False,DODA
13,XGB,Recall,0.7754,0.7654,-0.0101,0.022,-0.4573,5.5,0.076,1.0,False,ANOVA
13,XGB,F1,0.7977,0.7923,-0.0054,0.0194,-0.2801,51.0,0.2273,1.0,False,ANOVA
13,XGB,ROC_AUC,0.8883,0.8912,0.003,0.0079,0.3753,96.0,0.1228,1.0,False,DODA
