Method,Top_K,Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
ANOVA,5,Logistic Regression,1,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9312770562770563,"cp, exang, oldpeak, ca, thal"
ANOVA,5,Logistic Regression,2,0.819672131147541,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.8820346320346321,"thalach, exang, oldpeak, ca, thal"
ANOVA,5,Logistic Regression,3,0.8360655737704918,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9155844155844156,"cp, exang, oldpeak, ca, thal"
ANOVA,5,Logistic Regression,4,0.8166666666666667,0.8076923076923077,0.7777777777777778,0.7924528301886793,0.8843995510662177,"thalach, exang, oldpeak, ca, thal"
ANOVA,5,Logistic Regression,5,0.8333333333333334,0.875,0.75,0.8076923076923077,0.8571428571428571,"cp, thalach, exang, ca, thal"
ANOVA,5,Random Forest,1,0.7868852459016393,0.8,0.7142857142857143,0.7547169811320755,0.9128787878787878,"cp, exang, oldpeak, ca, thal"
ANOVA,5,Random Forest,2,0.7704918032786885,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.8327922077922079,"thalach, exang, oldpeak, ca, thal"
ANOVA,5,Random Forest,3,0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.9080086580086579,"cp, exang, oldpeak, ca, thal"
ANOVA,5,Random Forest,4,0.7333333333333333,0.6896551724137931,0.7407407407407407,0.7142857142857143,0.8383838383838385,"thalach, exang, oldpeak, ca, thal"
ANOVA,5,Random Forest,5,0.7333333333333333,0.75,0.6428571428571429,0.6923076923076923,0.8431919642857142,"cp, thalach, exang, ca, thal"
ANOVA,5,XGBoost,1,0.8032786885245902,0.8076923076923077,0.75,0.7777777777777778,0.8998917748917749,"cp, exang, oldpeak, ca, thal"
ANOVA,5,XGBoost,2,0.819672131147541,0.84,0.75,0.7924528301886793,0.854978354978355,"thalach, exang, oldpeak, ca, thal"
ANOVA,5,XGBoost,3,0.8360655737704918,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.9080086580086579,"cp, exang, oldpeak, ca, thal"
ANOVA,5,XGBoost,4,0.7166666666666667,0.6923076923076923,0.6666666666666666,0.6792452830188679,0.8058361391694725,"thalach, exang, oldpeak, ca, thal"
ANOVA,5,XGBoost,5,0.7666666666666667,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.8482142857142857,"cp, thalach, exang, ca, thal"
ANOVA,8,Logistic Regression,1,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9426406926406926,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,Logistic Regression,2,0.819672131147541,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.908008658008658,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,Logistic Regression,3,0.8360655737704918,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9231601731601732,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,Logistic Regression,4,0.8,0.8,0.7407407407407407,0.7692307692307693,0.9034792368125701,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,Logistic Regression,5,0.85,0.9130434782608695,0.75,0.8235294117647058,0.8761160714285714,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,Random Forest,1,0.8360655737704918,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.9253246753246753,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,Random Forest,2,0.819672131147541,0.8148148148148148,0.7857142857142857,0.8,0.8722943722943723,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,Random Forest,3,0.8360655737704918,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.9166666666666666,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,Random Forest,4,0.7833333333333333,0.7692307692307693,0.7407407407407407,0.7547169811320755,0.8849607182940517,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,Random Forest,5,0.8333333333333334,0.875,0.75,0.8076923076923077,0.9012276785714285,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,XGBoost,1,0.8524590163934426,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.9274891774891775,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,XGBoost,2,0.7868852459016393,0.7586206896551724,0.7857142857142857,0.7719298245614035,0.8571428571428572,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,XGBoost,3,0.819672131147541,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.908008658008658,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,XGBoost,4,0.8,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8585858585858586,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,8,XGBoost,5,0.8,0.8636363636363636,0.6785714285714286,0.76,0.8895089285714286,"sex, cp, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,Logistic Regression,1,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9415584415584416,"age, sex, cp, trestbps, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,Logistic Regression,2,0.819672131147541,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.8993506493506493,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,Logistic Regression,3,0.8524590163934426,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.922077922077922,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,Logistic Regression,4,0.8,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9012345679012346,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,Logistic Regression,5,0.85,0.9130434782608695,0.75,0.8235294117647058,0.8850446428571428,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,Random Forest,1,0.8360655737704918,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.941017316017316,"age, sex, cp, trestbps, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,Random Forest,2,0.819672131147541,0.8148148148148148,0.7857142857142857,0.8,0.8923160173160173,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,Random Forest,3,0.8360655737704918,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.9177489177489179,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
