Method,Top_K,Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
ANOVA,5,Logistic Regression,0.8381967213114754,0.027606717460347808,0.85209606735094,0.027093467369172362,0.7841269841269842,0.06690951610892855,0.8152933321284277,0.03664353905639514,0.8940877024210356,0.029365009331255784
ANOVA,5,Random Forest,0.7720218579234972,0.04277400723226348,0.7617771883289125,0.045601013905786074,0.7338624338624339,0.07793239499630623,0.7459274670725549,0.05159599849393598,0.8670510912698413,0.03981972022520712
ANOVA,5,XGBoost,0.7884699453551913,0.047668944053535264,0.7861318681318681,0.05852586727629054,0.7404761904761905,0.05671966309319808,0.7623290406309274,0.05479011358890842,0.8633858425525093,0.0416434541641092
ANOVA,8,Logistic Regression,0.8381967213114754,0.03224761427940444,0.8534944438450751,0.04164878892971894,0.7838624338624338,0.08483983035225218,0.8146489307007752,0.04333517213943955,0.9106809664101331,0.024652042553903925
ANOVA,8,Random Forest,0.8216939890710382,0.022495483138248444,0.8203805453805455,0.03752585274522038,0.7838624338624338,0.038183777914601175,0.8010532863363051,0.027488832649975682,0.900094822230239,0.02187670563218853
ANOVA,8,XGBoost,0.8118032786885246,0.025565362215892375,0.8089980262394055,0.0463330763253743,0.776984126984127,0.05855023920927945,0.7906177565124933,0.030875513828768766,0.8881470959595961,0.030737864246900174
ANOVA,10,Logistic Regression,0.8381967213114754,0.02776983373521104,0.8449476650563608,0.05209456828423043,0.7984126984126985,0.08264073484475758,0.8177302436125965,0.03704210573018542,0.9098532447490781,0.022106079871033232
ANOVA,10,Random Forest,0.828360655737705,0.019149477782125994,0.829698642742121,0.05000113578491206,0.7912698412698413,0.030558132235203924,0.8088328664799252,0.019847733335098604,0.9100242253888087,0.021393835747746084
ANOVA,10,XGBoost,0.8053005464480874,0.013295094320123449,0.8177188158057722,0.0157273445660978,0.7407407407407407,0.032656155808541,0.7769895178197065,0.019709942158714727,0.8930881232964566,0.019885077883229404
ANOVA,13,Logistic Regression,0.831584699453552,0.05540879866674195,0.8304375589982786,0.07190643976888551,0.7984126984126985,0.07452503506607634,0.8126165681583638,0.06125628201080847,0.9116306918390251,0.01989406338099111
ANOVA,13,Random Forest,0.8217486338797814,0.03779025347607682,0.8318964449399232,0.06424898200072635,0.7695767195767196,0.03371589074720836,0.7987469216769993,0.040642534921622384,0.9103629298941799,0.025947484592908035
ANOVA,13,XGBoost,0.8284153005464482,0.014118044462036976,0.8366679986679987,0.05118248751788206,0.7841269841269841,0.04388465492364841,0.8074078284423113,0.011302840612318581,0.8918052048260382,0.019215579877817357
DODA,5,Logistic Regression,0.8315300546448088,0.03664951998645878,0.8444037596586321,0.04340313833380927,0.7767195767195767,0.06977685621882955,0.8077461623171068,0.04537070290583801,0.8954345037678371,0.0289612345063493
DODA,5,Random Forest,0.7885792349726776,0.031244695569396762,0.7889771959898187,0.04797323683493447,0.741005291005291,0.07732383819056655,0.7616265009684751,0.04110776273356351,0.8706598474827641,0.03671278324986463
DODA,5,XGBoost,0.7918579234972678,0.03584466205926166,0.7949020544672718,0.058013451540431304,0.741005291005291,0.04639445376632885,0.7656945492128622,0.03765763839189422,0.8723404681738016,0.028933818761042826
DODA,8,Logistic Regression,0.8348633879781421,0.03760013554759834,0.851172990427863,0.04628781364073949,0.7767195767195767,0.06977685621882954,0.8108209352032005,0.04647696285556993,0.9003710217251883,0.025883082160157618
DODA,8,Random Forest,0.831584699453552,0.030334391067494543,0.8499487629922413,0.039470620993236775,0.769047619047619,0.06443985048916365,0.8061901124085997,0.042636731489210766,0.9039609888568222,0.02042405220392891
DODA,8,XGBoost,0.7851912568306011,0.043896654780004776,0.7753604488078542,0.03291235709052131,0.7476190476190476,0.10323563518418474,0.7588105110622789,0.061172502915897195,0.8809082892416225,0.019972535825195016
DODA,10,Logistic Regression,0.8415300546448087,0.019340132620844986,0.8508779264214047,0.04417751154442827,0.7984126984126985,0.07452503506607629,0.8210312062254349,0.027938009922616976,0.9099431818181818,0.023218183792895503
DODA,10,Random Forest,0.8316939890710383,0.021322856705926277,0.8362211751267223,0.04678230319171222,0.7910052910052909,0.04882547308278239,0.8114182515111308,0.02541617880332729,0.9085102012185345,0.02707799549951706
DODA,10,XGBoost,0.8184153005464481,0.03533030940056812,0.8186206896551724,0.03577522734053565,0.7764550264550264,0.07973349235545249,0.795318767483392,0.047212766827993954,0.8901951058201059,0.021080308513400328
DODA,13,Logistic Regression,0.831584699453552,0.05540879866674195,0.8304375589982786,0.07190643976888551,0.7984126984126985,0.07452503506607634,0.8126165681583638,0.06125628201080847,0.9116306918390251,0.01989406338099111
DODA,13,Random Forest,0.8415846994535519,0.029761611700480542,0.849815044858523,0.051321619177633136,0.7984126984126985,0.041562606262781465,0.8222183698654287,0.03200408771825413,0.9063882876382877,0.027512463949844336
DODA,13,XGBoost,0.825136612021858,0.02142675838983352,0.8425798605321747,0.06186025857763532,0.7695767195767196,0.0421250090910199,0.8018581293157565,0.014451370910460377,0.8964080286996954,0.01978157275003346
